n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
47.8,52.55,53.89999999999999,48.725,53.12,55.08333333333334,54.64285714285714,55.5375,55.82222222222224
41.8,40.4,49.63333333333333,51.2,54.98,53.35,54.6,55.0375,54.67777777777778
52.5,45.5,47.1,48.475,52.14,53.71666666666666,55.12857142857144,56.7125,56.03333333333333
32.3,47.5,47.43333333333333,47.9,52.7,49.98333333333334,56.67142857142858,56.8625,56.94444444444445
39.3,49.25,51.0,49.8,51.1,52.75,53.71428571428574,55.6875,57.244444444444454
27.7,43.8,43.76666666666667,43.975,47.56,48.30000000000001,51.27142857142858,52.0125,55.888888888888886
44.6,51.05,52.73333333333335,52.475,52.98,52.1,50.02857142857144,56.625,57.13333333333333
53.7,48.35,53.33333333333333,50.9,56.64,57.48333333333334,57.72857142857144,58.0375,55.43333333333334
43.9,47.3,44.39999999999999,52.1,52.4,51.63333333333333,53.74285714285714,56.0,53.877777777777794
53.9,45.35,46.23333333333332,50.45,53.34,53.80000000000001,53.41428571428572,54.8,56.11111111111112
33.9,47.9,49.7,47.1,56.58,55.06666666666667,53.99999999999999,54.625,55.67777777777778
32.2,44.7,46.36666666666666,49.6,55.26,56.18333333333334,56.68571428571428,56.35,56.75555555555556
51.4,45.6,49.69999999999999,46.575,54.6,49.31666666666668,54.71428571428571,56.2875,55.555555555555564
52.8,54.4,52.099999999999994,49.4,49.14,55.08333333333334,55.22857142857143,55.75,56.722222222222214
36.1,42.85,47.5,49.125,56.74,56.51666666666667,55.77142857142858,55.325,54.18888888888889
49.1,51.0,53.03333333333334,51.45,49.66,49.05,53.14285714285714,53.2375,53.75555555555556
63.5,43.5,49.8,50.075,51.4,55.79999999999999,55.98571428571429,57.2125,58.03333333333333
35.1,44.7,50.1,50.15,52.96,50.68333333333335,54.05714285714285,55.9,56.23333333333334
44.4,43.0,42.86666666666667,49.625,54.14,54.06666666666666,55.62857142857143,57.025,56.7888888888889
32.0,36.45,51.9,49.125,53.18,53.88333333333333,57.0,57.2,57.22222222222223
28.7,37.1,41.93333333333334,55.475,58.72,56.25,58.028571428571425,57.425,56.08888888888889
45.9,52.25,55.5,52.15,54.12,54.51666666666666,58.37142857142856,57.7625,56.57777777777778
41.3,45.75,49.26666666666667,49.225,54.58,54.38333333333332,54.642857142857146,53.8375,56.52222222222222
34.5,38.25,42.6,50.25,51.42,55.70000000000001,54.57142857142857,56.5375,55.83333333333333
49.9,59.6,55.93333333333333,57.725,59.62,56.11666666666667,56.87142857142857,57.05,56.322222222222216
31.8,44.4,47.03333333333334,47.0,55.0,53.7,55.914285714285704,56.1125,56.83333333333332
36.1,44.05,48.53333333333334,50.2,55.26,53.66666666666667,53.028571428571425,54.9875,56.03333333333333
39.7,49.85,47.53333333333334,52.975,52.26,52.76666666666666,53.7,54.85,56.94444444444444
45.6,52.35,55.63333333333333,53.675,53.3,55.04999999999999,55.57142857142857,56.3,55.50000000000001
51.5,46.6,45.13333333333333,49.9,55.1,54.56666666666668,57.957142857142856,56.05,54.644444444444446
39.6,39.7,47.5,48.675,49.08,46.45,51.614285714285714,52.7125,54.8
44.2,55.95,48.13333333333333,45.675,50.04,50.74999999999999,52.72857142857144,55.05,55.87777777777777
36.1,44.15,46.5,45.725,51.7,51.58333333333333,53.32857142857143,53.45,54.45555555555555
37.9,51.9,51.66666666666668,53.8,55.24,54.31666666666666,54.21428571428571,56.8875,56.544444444444444
46.1,42.8,46.66666666666666,53.475,55.66,56.51666666666665,55.985714285714295,56.6875,56.7111111111111
