n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
52.9,60.9,60.49999999999999,64.675,68.02,72.85,72.94285714285715,73.3,73.53333333333335
42.3,51.1,59.66666666666667,61.125,65.62,70.06666666666666,70.97142857142855,71.8125,73.37777777777778
50.5,54.85,58.0,64.175,62.9,67.76666666666667,71.74285714285715,73.5375,72.97777777777777
38.8,55.3,61.19999999999999,63.8,68.06,69.44999999999999,71.87142857142857,73.9625,75.57777777777778
49.7,61.25,60.8,62.225,62.3,68.78333333333333,69.71428571428572,72.4625,73.27777777777777
37.9,46.45,55.73333333333334,64.8,69.7,72.43333333333334,73.67142857142856,72.675,74.37777777777778
48.3,59.1,65.4,66.925,64.06,63.68333333333334,70.41428571428573,72.625,73.83333333333334
61.0,58.75,72.0,71.55,75.66,75.78333333333335,74.92857142857143,74.5,72.7
52.1,55.75,58.93333333333333,69.05,72.24,71.83333333333333,71.49999999999999,72.4125,73.1
57.2,57.45,67.50000000000001,70.325,69.48,73.68333333333334,73.37142857142858,74.9,74.56666666666666
37.4,57.9,60.23333333333332,61.65,66.44,71.06666666666666,70.45714285714286,71.825,73.08888888888887
55.5,54.25,58.96666666666667,61.525,65.58,70.66666666666667,69.98571428571428,72.3,74.28888888888889
44.9,59.15,63.26666666666666,63.575,66.8,66.38333333333333,70.80000000000001,73.85,74.62222222222222
50.3,63.55,64.4,65.3,67.96,70.9,71.38571428571427,72.5,74.34444444444445
51.3,54.05,64.19999999999999,66.15,68.84,73.11666666666667,72.0,71.65,73.04444444444444
52.1,54.1,60.43333333333334,65.0,65.42,71.38333333333333,71.65714285714286,72.175,73.46666666666667
64.3,55.25,60.83333333333334,65.475,65.08,72.88333333333333,73.34285714285714,73.475,72.75555555555556
39.9,54.8,57.4,62.05,67.96,69.85,73.47142857142858,75.0625,73.7111111111111
49.1,57.15,61.5,66.35,71.14,74.94999999999999,74.98571428571428,74.35,74.2
47.8,53.6,60.29999999999999,59.4,63.68,69.91666666666666,71.91428571428573,72.6875,72.28888888888889
44.6,59.25,61.96666666666666,66.7,73.8,72.18333333333334,74.27142857142857,75.0,75.31111111111112
51.0,63.85,64.53333333333333,62.625,62.98,70.6,72.88571428571429,74.0,73.24444444444444
46.0,64.45,67.83333333333333,67.875,70.58,72.98333333333333,72.61428571428571,74.425,74.65555555555555
42.0,55.55,63.53333333333334,68.6,69.2,69.83333333333333,69.02857142857142,72.2,73.61111111111111
56.8,70.15,70.16666666666666,72.65,75.74,74.25000000000001,73.75714285714284,74.5875,74.43333333333334
40.8,56.2,63.033333333333324,61.85,66.94,67.95,69.6142857142857,71.85,72.63333333333333
49.8,54.95,60.5,63.625,68.14,69.41666666666667,71.65714285714286,73.4375,75.48888888888888
42.9,51.85,60.36666666666666,62.375,69.44,69.73333333333333,73.02857142857144,73.3,73.3
51.2,54.2,63.8,68.175,70.68,71.13333333333333,71.24285714285715,74.15,74.2
48.4,56.55,56.93333333333334,59.6,70.24,73.63333333333333,75.65714285714286,75.175,74.27777777777777
57.2,56.15,60.93333333333334,60.25,66.68,69.16666666666666,73.22857142857141,72.725,73.21111111111111
43.3,55.2,61.06666666666666,64.925,67.02,68.53333333333333,72.74285714285716,74.4125,74.73333333333333
41.4,54.25,59.06666666666667,61.875,64.3,63.94999999999999,70.42857142857143,73.05,72.4
62.1,62.25,65.89999999999999,70.825,70.74,69.18333333333334,72.35714285714285,74.3875,74.04444444444444
49.9,51.6,64.86666666666666,70.275,71.4,71.46666666666665,73.75714285714285,74.3375,75.88888888888889
49.5,59.55,64.4,62.95,70.9,71.65,71.94285714285714,71.8625,73.48888888888888
48.4,50.1,52.56666666666666,62.425,71.16,74.46666666666665,74.01428571428572,74.275,73.21111111111111
38.0,54.55,61.16666666666666,65.8,71.42,71.06666666666666,71.31428571428572,72.9875,72.35555555555557
53.7,57.3,62.13333333333333,63.725,62.82,67.9,70.89999999999999,71.5,72.25555555555555
51.2,54.55,59.66666666666667,70.1,71.32,71.06666666666665,71.1857142857143,73.2875,73.34444444444443
44.6,57.5,60.4,66.6,70.54,73.76666666666667,73.9,75.475,74.4888888888889
53.8,60.05,60.76666666666668,67.725,72.2,73.25,73.48571428571428,75.7875,74.53333333333335
37.8,50.8,54.46666666666666,62.0,68.5,71.3,73.38571428571429,73.5125,72.38888888888889
54.2,65.9,67.69999999999999,73.15,71.04,71.55,71.45714285714286,72.65,73.4
49.8,59.95,66.66666666666666,68.075,66.74,71.9,71.38571428571429,74.1,72.85555555555555
52.8,58.5,59.2,59.75,71.38,74.85,74.44285714285715,73.9,74.13333333333334
50.4,65.15,63.36666666666667,66.475,64.38,70.4,72.08571428571427,72.9625,72.92222222222223
42.3,47.6,57.83333333333333,61.7,67.68,71.80000000000001,73.82857142857144,74.8625,73.2
39.6,52.3,63.9,62.425,71.16,71.23333333333333,72.71428571428572,73.75,74.05555555555557
40.6,56.4,58.93333333333332,60.0,71.16,71.36666666666666,72.54285714285714,73.475,73.44444444444443
42.7,56.7,56.69999999999999,59.7,69.1,72.78333333333333,72.27142857142857,72.85,72.51111111111112
54.1,57.05,58.56666666666665,62.0,67.54,71.33333333333334,72.11428571428571,72.175,73.38888888888889
45.5,58.1,65.6,68.05,69.32,71.31666666666666,73.45714285714287,74.625,73.93333333333332
43.4,56.55,60.43333333333333,69.575,71.98,71.9,72.88571428571429,73.2125,72.82222222222222
49.1,57.9,61.73333333333333,67.725,70.16,70.25,72.51428571428572,73.05,73.3111111111111
44.5,53.3,56.66666666666666,59.7,63.72,68.43333333333334,71.44285714285715,73.075,73.86666666666666
47.6,53.0,64.93333333333334,67.625,68.18,72.08333333333333,72.60000000000001,72.3875,73.73333333333333
60.9,56.6,59.16666666666667,61.5,66.42,69.5,72.41428571428571,74.1,74.30000000000001
49.7,57.05,62.76666666666666,61.95,70.26,70.06666666666668,72.54285714285714,73.4875,74.28888888888889
45.7,51.05,61.23333333333333,67.375,67.52,72.24999999999999,73.4,73.8625,73.8
45.2,54.5,56.16666666666666,59.275,66.08,68.76666666666668,72.42857142857143,73.5375,73.45555555555556
40.5,47.05,56.66666666666666,61.925,70.1,67.68333333333332,71.71428571428572,72.5125,73.13333333333334
42.9,52.0,62.33333333333334,62.0,65.9,70.95,71.82857142857145,72.7,72.28888888888889
54.2,53.15,59.43333333333334,64.325,66.44,70.88333333333333,74.67142857142856,71.8625,74.07777777777778
63.3,59.0,66.7,69.525,72.0,72.7,71.87142857142857,74.1375,73.87777777777778
52.3,48.9,57.2,68.275,67.74,72.3,73.82857142857144,74.4875,73.8
54.9,59.85,62.73333333333333,62.525,69.7,69.91666666666666,72.68571428571427,74.0625,74.16666666666666
51.7,56.4,62.53333333333333,62.4,69.44,72.51666666666667,72.75714285714287,73.4125,72.95555555555556
55.5,54.8,66.63333333333333,67.675,69.98,72.81666666666666,71.67142857142858,72.4625,73.7
39.4,50.65,59.46666666666666,64.35,70.08,73.13333333333335,73.68571428571428,73.1,73.26666666666667
51.7,61.4,68.16666666666666,68.75,66.18,72.14999999999999,72.12857142857142,74.3875,74.33333333333333
47.6,52.5,60.99999999999998,59.925,71.24,72.56666666666666,73.52857142857142,73.7,73.8
52.9,63.35,59.50000000000001,59.725,69.88,72.48333333333332,71.57142857142858,72.425,73.65555555555555
56.5,57.0,61.66666666666666,64.975,68.02,70.35,72.42857142857143,73.625,73.71111111111111
40.9,55.95,62.66666666666666,71.725,72.68,74.88333333333333,75.47142857142858,74.4,74.48888888888888
49.4,61.3,63.03333333333334,63.075,70.26,71.23333333333333,70.77142857142856,72.95,74.00000000000001
47.2,59.05,60.13333333333334,64.225,68.7,73.48333333333333,72.84285714285714,73.675,72.58888888888889
44.1,58.2,61.43333333333333,65.175,72.6,74.9,74.27142857142857,73.475,73.9
61.3,59.05,67.43333333333334,69.25,69.18,69.28333333333332,71.35714285714285,72.375,73.4
