n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
24.7,53.85,65.1,65.7,71.38,73.9,74.80000000000001,74.6875,78.06666666666665
21.8,50.8,58.16666666666666,63.575,69.04,71.86666666666666,72.14285714285714,74.1875,75.07777777777778
28.9,52.95,62.79999999999999,67.5,68.54,72.03333333333333,72.28571428571428,74.8,75.67777777777778
30.2,50.8,59.66666666666667,64.25,70.3,73.51666666666667,74.4,75.6375,77.35555555555557
24.6,52.5,59.6,64.45,68.62,72.21666666666667,75.35714285714285,76.15,76.98888888888888
22.4,51.7,62.36666666666666,65.15,67.78,71.94999999999999,73.88571428571427,76.6125,76.78888888888889
33.2,56.4,64.23333333333333,66.825,71.2,72.73333333333335,74.31428571428572,75.0875,77.1
33.3,56.5,66.2,69.675,74.52,76.16666666666666,75.6,75.225,75.68888888888888
22.5,44.55,59.13333333333334,65.75,68.18,71.03333333333333,71.87142857142857,73.825,76.73333333333333
44.7,50.0,60.33333333333333,65.275,66.78,69.65,74.14285714285714,76.075,76.98888888888888
34.1,58.1,65.0,68.15,68.16,69.93333333333334,71.62857142857143,75.0375,76.72222222222223
27.1,48.9,57.16666666666667,64.325,68.88,71.81666666666666,72.68571428571428,74.7875,76.4111111111111
46.2,49.7,58.46666666666666,65.0,69.54,71.75000000000001,74.82857142857144,76.95,77.25555555555556
24.5,53.2,55.1,62.6,66.62,68.88333333333333,72.55714285714288,76.1875,76.56666666666666
35.8,50.7,58.5,65.3,68.48,73.21666666666667,73.38571428571429,75.65,76.16666666666667
41.5,48.9,61.23333333333333,67.4,70.3,72.23333333333333,73.75714285714285,75.5125,76.55555555555554
36.8,60.05,61.23333333333333,63.475,69.06,71.74999999999999,73.32857142857142,74.9875,76.4888888888889
24.7,48.85,63.56666666666667,67.7,69.38,71.33333333333333,73.27142857142857,76.1375,77.41111111111111
31.7,53.65,64.23333333333333,68.625,71.3,73.18333333333332,75.18571428571427,75.9125,76.87777777777778
28.7,48.65,61.86666666666666,61.525,65.88,69.05,72.52857142857142,73.575,76.63333333333334
44.0,55.75,66.30000000000001,70.2,72.76,73.81666666666668,74.94285714285714,74.3,76.57777777777778
28.4,51.2,63.53333333333333,64.7,69.22,72.83333333333331,77.27142857142857,76.9125,75.56666666666666
29.1,55.95,62.66666666666666,64.675,65.74,70.76666666666667,72.67142857142858,73.175,76.17777777777778
25.3,50.65,57.33333333333334,66.55,67.04,72.5,72.5,75.125,77.85555555555555
28.9,59.25,66.3,68.25,71.92,75.25,76.04285714285714,76.35,76.72222222222223
30.3,50.4,60.89999999999999,64.45,68.78,71.81666666666666,73.97142857142858,75.1625,75.18888888888888
25.1,44.65,61.13333333333332,63.15,67.8,72.56666666666666,72.67142857142858,75.775,76.82222222222222
32.1,59.7,62.1,68.575,69.48,72.43333333333334,75.84285714285714,76.575,75.7
25.2,51.65,64.6,67.85,71.64,72.03333333333335,73.9,75.4875,77.36666666666667
25.5,53.35,64.6,68.475,72.7,73.35,77.05714285714285,77.85,77.85555555555555
34.8,53.6,60.19999999999998,64.475,68.96,70.96666666666665,73.38571428571429,75.3375,76.3888888888889
25.6,51.55,54.96666666666666,61.725,69.58,73.03333333333335,73.84285714285714,75.85,75.80000000000001
26.1,54.55,60.73333333333332,67.625,72.12,72.58333333333333,75.75714285714287,75.3625,75.8
31.0,57.35,69.0,67.85,71.62,72.43333333333334,75.1142857142857,76.325,77.53333333333332
37.6,53.0,60.93333333333334,61.65,68.52,72.03333333333335,74.28571428571428,76.375,78.00000000000001
27.2,53.25,55.76666666666667,64.375,66.72,71.11666666666667,72.30000000000001,75.7375,75.61111111111111
35.8,54.8,58.76666666666667,65.45,68.64,69.48333333333332,71.31428571428572,74.275,75.84444444444445
31.2,53.0,65.23333333333333,71.7,76.2,76.25,76.21428571428572,76.9125,77.66666666666669
27.2,55.5,62.9,66.725,66.86,70.41666666666666,72.27142857142857,76.4125,76.76666666666667
23.7,42.8,55.9,64.05,68.0,70.53333333333335,74.08571428571429,76.3875,75.94444444444444
31.3,52.15,62.06666666666667,64.0,68.56,74.08333333333333,73.41428571428571,75.075,76.54444444444445
39.0,50.5,54.7,64.575,69.08,72.03333333333333,74.62857142857142,76.1,77.51111111111112
32.8,50.95,59.93333333333334,64.45,68.96,71.28333333333335,73.35714285714286,74.8375,75.8
28.5,50.25,58.93333333333333,65.65,69.94,71.01666666666667,71.75714285714285,73.45,75.14444444444445
