n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
59.5,72.7,79.03333333333333,76.5,78.22,80.46666666666667,81.27142857142857,79.6125,79.42222222222222
55.8,68.45,71.8,74.6,76.24,77.43333333333334,78.45714285714286,78.1375,78.27777777777779
56.0,66.9,74.6,74.375,77.12,77.25,78.21428571428571,79.05,78.87777777777778
47.0,64.2,69.93333333333332,73.725,77.04,77.68333333333334,77.32857142857144,80.2375,81.1
58.5,65.65,72.2,73.8,75.76,74.98333333333333,77.30000000000001,78.95,81.52222222222221
62.2,66.55,73.36666666666667,74.7,76.46,78.75000000000001,80.98571428571428,80.55,80.94444444444446
63.7,74.2,75.8,77.45,77.92,79.4,78.67142857142858,78.1625,78.2
64.5,70.65,77.36666666666666,77.425,81.62,82.38333333333334,79.55714285714286,79.45,78.44444444444444
56.7,69.4,75.36666666666667,76.45,77.88,77.33333333333334,79.07142857142858,79.0,79.85555555555555
64.5,73.8,75.13333333333333,76.2,76.8,77.46666666666667,79.07142857142857,80.225,81.26666666666667
58.1,66.25,73.13333333333333,72.6,75.52,74.9,77.38571428571429,79.625,79.34444444444445
49.3,62.25,70.53333333333335,74.95,74.2,76.13333333333333,76.57142857142856,79.0125,80.7
78.1,70.15,70.6,70.125,74.32,76.56666666666665,81.38571428571429,81.225,81.04444444444444
52.2,69.3,72.43333333333332,74.15,75.9,78.76666666666668,77.85714285714285,78.2625,79.72222222222221
62.1,65.45,72.6,77.825,79.78,76.65,78.7,79.3375,79.24444444444444
62.5,68.35,70.43333333333334,76.95,79.42,79.8,77.5857142857143,79.0,80.51111111111112
69.4,78.15,78.56666666666666,75.3,77.7,79.01666666666667,79.4,78.0125,77.55555555555556
70.0,66.65,72.8,77.525,77.8,78.06666666666668,78.57142857142857,79.25,79.25555555555556
57.0,70.95,73.86666666666666,78.475,79.46,78.61666666666666,79.42857142857143,79.6,80.17777777777778
58.8,66.9,70.86666666666666,71.525,76.64,77.85,77.37142857142857,80.0625,79.02222222222221
58.7,71.4,76.56666666666668,80.725,81.28,79.76666666666667,80.05714285714285,80.225,79.96666666666667
62.4,74.65,75.86666666666667,77.35,77.98,80.28333333333335,80.0,79.075,78.95555555555556
59.4,72.55,75.7,77.775,78.54,76.73333333333333,78.58571428571429,79.6375,79.3
60.7,70.05,70.76666666666667,76.825,76.52,77.18333333333334,78.24285714285713,79.7,79.8777777777778
66.3,78.85,76.46666666666665,75.4,78.18,80.06666666666666,80.45714285714286,80.1625,80.05555555555556
53.7,68.55,71.16666666666666,74.15,75.52,76.1,77.51428571428572,79.3375,79.3
47.6,68.25,74.3,74.525,73.48,77.46666666666667,77.24285714285715,79.075,80.81111111111112
57.3,72.4,74.69999999999999,78.2,78.18,77.51666666666667,80.1,80.7875,79.47777777777779
52.8,70.25,74.86666666666666,78.925,78.8,78.8,78.3,78.2875,79.21111111111111
57.7,70.15,78.10000000000001,80.825,82.78,80.1,80.11428571428571,80.3625,79.55555555555554
65.2,71.0,76.43333333333334,74.95,74.56,79.25,79.92857142857143,80.225,79.89999999999999
61.1,71.2,72.03333333333333,73.725,77.16,78.80000000000001,79.41428571428571,81.225,79.57777777777778
55.6,73.7,71.7,75.5,78.42,77.81666666666666,79.67142857142856,80.0125,79.68888888888888
71.8,74.05,76.93333333333334,77.65,79.86,79.71666666666665,78.85714285714285,78.3625,79.64444444444445
50.7,70.0,76.13333333333334,75.85,76.9,79.43333333333334,80.9,80.6,80.78888888888888
58.5,69.8,70.73333333333333,72.75,77.12,77.56666666666668,77.67142857142856,78.8625,79.98888888888888
59.1,71.7,73.56666666666666,73.15,77.38,76.96666666666668,75.68571428571428,78.3625,78.84444444444445
55.6,73.65,79.0,80.775,81.08,78.43333333333334,76.64285714285715,77.7875,78.45555555555556
69.4,70.3,75.5,75.8,74.14,75.50000000000001,76.25714285714284,77.4875,78.50000000000001
53.6,65.5,73.13333333333333,74.925,74.48,75.88333333333333,77.54285714285714,79.1875,78.2
54.6,68.4,74.1,75.45,76.38,78.71666666666668,80.27142857142857,79.825,79.68888888888891
62.7,66.45,70.60000000000001,77.775,79.18,78.03333333333335,79.05714285714288,78.8875,79.13333333333333
61.3,65.9,69.80000000000001,76.75,76.14,77.4,78.15714285714286,79.4875,78.69999999999999
62.1,69.1,80.4,82.55,80.32,77.38333333333333,77.61428571428573,78.95,80.14444444444445
62.2,70.15,72.23333333333332,76.725,75.8,79.06666666666666,79.17142857142856,78.725,77.94444444444444
65.1,74.7,73.6,72.35,76.22,78.46666666666667,80.85714285714285,79.525,79.98888888888888
57.7,73.8,71.26666666666667,73.225,73.82,78.13333333333334,77.74285714285713,79.5125,79.34444444444445
56.8,67.95,74.60000000000002,77.8,76.3,78.35000000000001,80.11428571428571,80.5,78.93333333333334
54.9,74.1,76.23333333333333,75.975,77.38,77.6,78.92857142857143,78.2125,80.01111111111112
61.1,68.55,75.76666666666667,78.025,80.96,80.93333333333334,80.14285714285715,78.45,79.03333333333335
46.8,69.3,73.23333333333332,74.775,74.92,77.91666666666667,79.57142857142858,80.35,79.97777777777777
64.0,71.4,69.06666666666666,74.65,75.14,75.01666666666668,76.22857142857143,77.0,79.2
61.8,66.95,69.86666666666667,73.7,74.84,76.83333333333334,78.57142857142858,78.15,79.13333333333334
58.0,65.65,70.03333333333333,73.725,76.8,78.35,78.68571428571427,78.6375,79.3
53.3,68.95,73.13333333333333,75.275,77.2,79.18333333333334,79.18571428571427,78.3125,78.93333333333334
51.7,67.55,73.63333333333333,74.35,76.0,78.58333333333333,78.30000000000001,79.475,79.95555555555556
54.2,71.55,73.53333333333333,75.275,78.42,79.78333333333335,77.61428571428573,77.85,79.17777777777778
69.1,70.6,68.6,70.0,76.32,77.88333333333333,79.3,79.7125,79.14444444444445
54.2,66.9,74.73333333333333,76.425,76.06,76.93333333333334,77.7,79.0125,78.97777777777779
55.8,66.3,73.86666666666667,73.0,75.94,78.7,77.88571428571429,79.0125,78.86666666666667
55.6,74.25,77.23333333333333,76.65,78.6,78.91666666666669,79.94285714285715,79.9625,80.87777777777777
46.2,59.2,71.1,77.05,79.28,75.85,77.01428571428572,77.225,78.74444444444444
47.9,62.55,72.8,74.85,77.5,77.53333333333333,79.07142857142858,79.9375,78.56666666666668
63.6,66.4,72.46666666666665,78.075,78.92,79.80000000000001,81.05714285714286,77.95,77.84444444444445
73.3,76.6,74.63333333333334,76.25,78.64,78.31666666666666,78.22857142857143,78.35,78.77777777777777
67.9,67.95,73.23333333333333,79.4,78.14,80.78333333333335,79.32857142857144,79.875,80.11111111111113
64.6,69.9,73.26666666666667,71.15,74.44,76.91666666666667,78.1,79.9375,79.23333333333333
60.2,72.95,68.86666666666667,73.35,75.18,77.25,78.7,80.15,80.48888888888888
54.5,65.7,72.96666666666665,76.7,76.5,78.85,78.08571428571427,77.9875,78.24444444444445
66.3,64.45,73.49999999999999,76.2,75.4,78.11666666666667,80.02857142857142,79.8625,79.38888888888889
65.2,74.4,79.83333333333334,80.2,79.64,80.1,81.08571428571429,78.675,79.17777777777779
61.8,59.5,68.93333333333334,72.65,76.74,76.36666666666667,77.64285714285714,79.0875,80.28888888888886
58.8,70.45,70.06666666666666,71.625,76.68,77.26666666666667,76.98571428571428,79.025,78.93333333333334
68.1,70.75,68.73333333333333,70.55,72.92,77.46666666666667,79.75714285714285,79.5625,80.22222222222223
57.8,67.8,69.23333333333333,73.125,75.72,76.1,78.97142857142856,79.5125,79.64444444444443
61.1,70.7,76.4,74.025,76.4,79.08333333333334,79.25714285714287,80.3125,80.17777777777778
56.5,69.7,71.86666666666667,74.1,73.7,77.05000000000001,76.58571428571429,77.075,78.72222222222221
64.5,71.95,70.16666666666667,76.825,78.94,76.89999999999999,79.05714285714286,80.2375,80.68888888888891
70.3,75.1,79.6,81.325,81.1,79.11666666666667,79.31428571428572,79.85,79.14444444444445
