n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
47.9,63.95,73.89999999999999,73.8,77.12,79.96666666666667,79.41428571428573,78.75,80.26666666666667
48.5,61.5,64.8,71.525,75.32,77.78333333333333,77.0142857142857,77.15,78.8
53.7,64.15,72.93333333333334,71.1,72.28,77.03333333333333,78.45714285714284,78.5125,80.3
35.7,64.6,67.26666666666667,71.925,77.06,78.93333333333334,79.57142857142857,80.2375,80.93333333333334
47.5,60.25,65.3,70.775,75.06,75.66666666666666,77.65714285714286,78.7125,80.52222222222221
45.6,62.35,71.00000000000001,72.95,74.54,77.58333333333334,77.88571428571429,79.9375,80.5777777777778
52.1,64.1,72.03333333333333,73.975,76.98,79.23333333333333,78.44285714285715,77.75,78.93333333333334
53.0,66.85,75.93333333333334,76.4,79.84,80.88333333333333,79.45714285714287,78.9875,79.4222222222222
45.4,60.5,65.89999999999999,71.25,75.02,72.86666666666667,76.15714285714286,77.5125,80.0111111111111
58.6,66.3,70.53333333333333,74.875,76.58,77.63333333333334,78.87142857142858,79.175,79.97777777777777
53.5,63.15,68.36666666666667,71.75,71.24,74.2,76.85714285714285,77.775,80.3111111111111
42.7,63.3,65.36666666666665,70.325,73.68,75.5,76.58571428571429,79.45,80.58888888888889
69.7,61.9,66.56666666666666,72.025,73.6,75.78333333333333,78.65714285714286,79.9125,80.9
43.6,64.45,65.43333333333334,70.95,72.68,75.75,76.47142857142858,79.2,79.64444444444445
50.1,63.0,69.30000000000001,74.8,74.24,77.21666666666668,78.47142857142858,78.1875,80.0888888888889
55.0,59.4,67.89999999999999,74.175,76.44,75.75,76.91428571428571,79.575,78.95555555555555
60.4,67.7,71.23333333333333,73.325,76.1,78.30000000000001,78.4,77.6875,78.62222222222222
56.6,64.2,67.13333333333333,75.6,75.94,76.21666666666667,78.87142857142857,79.6125,81.37777777777778
56.2,67.2,69.03333333333333,73.325,77.12,78.08333333333336,78.65714285714286,79.675,80.0
48.2,61.85,72.73333333333333,70.3,75.34,77.28333333333333,77.04285714285714,79.175,79.67777777777778
65.6,68.7,74.6,78.05,77.34,80.11666666666666,78.64285714285715,78.8375,80.72222222222223
46.4,59.6,69.06666666666665,71.775,75.54,80.46666666666667,79.82857142857144,79.5375,80.46666666666665
49.1,64.8,70.06666666666666,70.975,74.58,77.23333333333333,77.95714285714286,78.525,80.06666666666666
53.1,61.8,66.7,73.0,74.34,75.5,76.67142857142856,79.3,80.84444444444443
53.8,71.8,71.9,73.25,78.34,78.83333333333334,78.61428571428571,79.9125,79.94444444444446
47.1,60.3,67.53333333333333,72.025,74.4,75.58333333333333,78.27142857142857,79.4375,79.23333333333333
39.7,60.5,70.56666666666666,69.9,71.94,75.63333333333334,76.78571428571429,80.0875,80.41111111111111
53.0,70.9,73.03333333333333,74.05,75.18,75.98333333333333,77.91428571428571,80.1875,80.08888888888887
43.2,61.5,70.7,77.1,77.9,77.31666666666666,76.28571428571429,78.05,79.39999999999999
44.1,60.7,71.1,74.3,78.12,79.06666666666665,81.04285714285714,81.225,80.54444444444444
57.2,63.25,69.99999999999999,70.4,74.16,74.4,76.72857142857144,78.3375,79.42222222222223
45.0,63.9,68.16666666666666,71.55,78.06,77.7,78.27142857142857,78.875,80.11111111111111
48.4,65.85,68.60000000000001,74.875,77.0,76.14999999999999,78.94285714285715,79.6875,80.92222222222223
59.4,69.35,73.66666666666666,77.675,76.32,77.49999999999999,78.67142857142856,79.225,80.97777777777777
53.2,62.65,70.66666666666669,70.6,73.8,76.64999999999999,77.52857142857142,80.3,81.13333333333333
48.0,67.45,63.599999999999994,72.3,72.9,75.21666666666668,77.8142857142857,78.0375,79.62222222222222
57.7,65.9,69.49999999999999,70.925,72.2,72.91666666666666,75.39999999999999,77.775,79.1
58.3,68.1,75.13333333333333,76.825,78.28,79.45,79.0,80.25,80.06666666666666
61.1,65.55,70.9,70.625,71.46,74.11666666666667,77.45714285714286,77.7875,80.55555555555554
43.9,54.85,64.96666666666665,72.35,73.2,75.38333333333334,78.32857142857144,79.2875,80.06666666666666
49.8,63.75,74.63333333333334,75.65,75.78,77.6,78.82857142857144,79.95,80.22222222222221
51.1,64.35,64.63333333333333,73.4,75.3,76.21666666666667,78.4,79.275,79.51111111111112
51.8,62.75,68.6,72.25,75.5,77.36666666666666,78.42857142857143,78.025,78.82222222222222
53.5,67.2,75.3,74.85,75.3,76.83333333333333,77.52857142857141,76.8,78.14444444444445
64.2,67.1,69.1,74.625,75.48,78.43333333333334,79.60000000000001,79.425,79.71111111111111
53.0,63.7,72.76666666666667,73.575,74.02,76.91666666666666,79.05714285714286,79.5375,80.9111111111111
44.0,66.05,68.23333333333332,73.25,73.62,77.78333333333335,76.5142857142857,79.6875,79.83333333333334
47.0,63.75,68.06666666666665,72.975,74.2,78.41666666666667,79.87142857142857,80.725,79.97777777777776
53.8,67.0,75.7,73.325,77.24,76.5,76.82857142857144,79.075,79.2888888888889
48.6,62.7,69.63333333333334,76.05,78.1,77.3,79.35714285714285,78.975,79.62222222222222
42.6,68.35,71.7,74.475,74.36,76.39999999999999,76.78571428571428,78.5875,78.97777777777779
53.9,59.4,66.93333333333332,73.45,74.5,76.98333333333333,77.02857142857142,78.5125,79.47777777777777
42.9,60.05,68.6,72.3,73.54,76.00000000000001,77.41428571428571,78.325,78.47777777777779
40.3,60.85,67.56666666666666,70.35,76.58,76.66666666666666,77.99999999999999,78.025,79.3111111111111
48.2,63.65,67.13333333333333,71.3,74.82,78.63333333333334,79.9,79.5625,79.81111111111112
50.3,63.2,69.66666666666666,71.6,76.66,75.88333333333333,76.74285714285715,78.8125,79.94444444444446
47.2,64.35,66.53333333333335,72.475,73.82,75.25000000000001,75.89999999999998,76.7375,78.46666666666667
65.1,65.4,64.9,69.8,74.08,76.36666666666666,79.97142857142858,82.075,81.93333333333334
43.1,61.5,70.3,72.475,75.2,76.45,78.1142857142857,78.0,79.57777777777778
48.7,62.5,67.43333333333334,71.35,74.86,78.11666666666666,77.05714285714285,79.05,79.44444444444444
48.7,64.45,68.83333333333331,74.875,76.38,76.91666666666667,78.18571428571428,78.5375,80.14444444444445
43.9,56.4,67.8,72.1,74.86,74.83333333333331,76.08571428571427,78.575,81.12222222222222
43.9,57.05,67.7,72.075,74.56,77.08333333333333,79.69999999999999,80.425,81.86666666666666
48.9,57.95,67.63333333333333,72.35,77.6,78.21666666666667,80.30000000000001,78.85,78.58888888888889
60.8,70.15,72.4,74.25,74.28,76.0,77.84285714285714,79.8625,81.44444444444446
53.9,58.5,67.66666666666667,74.175,74.94,77.71666666666667,78.25714285714284,79.5375,81.15555555555555
49.7,66.8,69.1,66.95,72.84,73.60000000000001,75.81428571428573,78.3375,79.65555555555555
52.0,70.65,65.6,69.575,75.0,74.36666666666667,76.02857142857142,79.1875,80.93333333333334
56.0,63.25,66.5,70.925,72.06,77.86666666666666,77.8142857142857,78.725,80.0888888888889
53.3,55.15,68.0,73.05,74.2,77.14999999999999,79.2,77.9875,80.36666666666667
61.5,71.35,73.69999999999999,77.225,75.8,77.65,79.4857142857143,78.175,79.27777777777779
43.9,53.6,62.33333333333333,68.1,73.12,76.05,77.51428571428572,79.3125,79.45555555555556
59.9,65.3,66.80000000000001,71.1,76.04,76.71666666666667,76.45714285714286,79.35,80.28888888888889
53.4,69.15,64.19999999999999,67.075,72.0,76.55,78.05714285714285,78.9,80.24444444444444
45.1,57.45,67.83333333333334,72.175,72.3,74.96666666666665,78.77142857142857,79.875,81.51111111111112
43.2,69.85,70.00000000000001,71.225,75.14,77.63333333333334,78.24285714285713,79.075,80.52222222222221
49.9,63.3,67.49999999999999,73.4,74.14,76.63333333333333,78.24285714285715,78.025,78.57777777777777
49.4,59.0,68.56666666666665,73.625,76.32,74.56666666666666,77.7857142857143,78.575,80.37777777777778
70.4,70.7,73.26666666666668,77.575,79.14,78.6,80.57142857142857,79.8875,80.14444444444445
45.8,58.8,65.89999999999999,72.6,76.58,75.58333333333331,77.1,77.15,80.5888888888889
67.2,69.7,72.9,78.2,77.86,79.9,79.9857142857143,79.2875,80.15555555555555
41.0,57.5,62.29999999999999,69.025,74.28,76.4,78.10000000000002,79.6625,80.36666666666667
54.1,68.9,73.16666666666667,78.975,79.8,78.85,77.6857142857143,78.6625,80.91111111111113
40.5,55.6,68.06666666666666,72.05,75.24,76.11666666666667,76.44285714285714,79.225,80.1
62.8,68.95,68.66666666666666,70.275,75.2,78.4,79.00000000000001,78.975,79.3
48.9,63.9,72.56666666666666,74.2,75.3,76.6,78.1,78.525,79.37777777777778
61.5,65.6,73.86666666666666,74.35,75.8,77.5,77.81428571428572,78.8125,79.67777777777778
42.2,60.65,66.8,71.8,74.68,75.91666666666666,77.88571428571427,79.875,80.75555555555556
54.8,64.3,70.76666666666667,72.825,74.42,77.58333333333334,76.38571428571427,78.3625,79.67777777777778
55.8,65.95,75.96666666666667,77.6,78.06,79.98333333333333,79.72857142857143,80.0875,80.91111111111111
51.8,69.25,66.2,73.725,77.18,77.53333333333335,78.52857142857142,79.1375,79.77777777777779
67.5,67.3,70.46666666666667,72.15,74.5,75.35,79.61428571428571,79.3375,80.28888888888889
46.9,67.55,70.26666666666667,73.4,74.66,75.51666666666667,76.54285714285714,78.4125,79.7
50.3,64.6,68.53333333333332,72.3,74.6,74.75,75.45714285714286,77.4625,78.84444444444445
51.6,52.55,63.73333333333332,69.625,72.58,75.21666666666668,76.1857142857143,78.0875,80.3888888888889
40.1,62.3,65.6,73.275,75.0,79.95,81.64285714285714,79.875,80.0888888888889
53.2,74.5,72.46666666666665,74.05,77.94,77.36666666666666,77.71428571428571,79.0,80.22222222222223
53.4,64.9,71.79999999999998,74.0,74.5,75.8,77.2,78.55,80.07777777777778
45.3,61.4,71.13333333333333,74.5,76.44,77.23333333333333,78.2,79.2125,80.07777777777777
57.2,58.0,67.5,71.075,72.08,73.83333333333334,76.91428571428571,78.05,79.67777777777776
