,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,3858720416939.029,3869538784884.756,10818367945.72705
dim11,2793829523912.313,2837972628834.563,44143104922.25
dim12,2329694441460.101,2363656189957.5903,33961748497.489258
dim13,2206833820957.3613,2241381464184.2617,34547643226.90039
dim14,2096099141246.5527,2120846152562.2937,24747011315.740967
dim15,2008811064522.381,2035640129544.36,26829065021.97852
dim16,1984762077426.196,2014419194709.171,29657117282.974854
dim17,1952823627594.0745,1983218591320.6453,30394963726.5708
dim18,1915294443247.299,1945649411738.8496,30354968491.550537
dim19,1878610224001.4507,1905528527057.9863,26918303056.535645
dim20,1856587690069.4512,1881626976047.74,25039285978.28882
dim21,1820352367904.524,1843194745511.5647,22842377607.04126
dim22,1796261270466.039,1817404654020.213,21143383554.17383
dim23,1779392737922.795,1800703902458.2966,21311164535.50171
dim24,1764278697391.0735,1782629835368.3706,18351137977.29712
dim25,1746918123937.3586,1763207711168.4746,16289587231.115969
dim26,1729374742606.8103,1745013879286.064,15639136679.253662
dim27,1720983926943.2856,1734537922523.3835,13553995580.0979
dim28,1707739536461.4707,1719705402521.2812,11965866059.810549
dim29,1710237832929.596,1723831599597.4858,13593766667.889893
dim30,1699693932171.5415,1712324615257.8728,12630683086.3313
dim31,1700786181663.7534,1713263239793.8655,12477058130.11206
dim32,1683709047186.975,1694146743178.7568,10437695991.781738
dim33,1674429043798.7073,1684624492748.7876,10195448950.080322
dim34,1664601481191.317,1673081132930.3582,8479651739.04126
dim35,1646047111627.472,1652033278336.0815,5986166708.609619
dim36,1650328895624.9807,1657215820800.012,6886925175.03125
dim37,1655781005568.6997,1662376835936.7668,6595830368.067139
dim38,1640429084891.729,1644156626940.624,3727542048.89502
dim39,1637602006617.3394,1640841672411.8872,3239665794.547852
dim40,1633144992270.1775,1636080619229.296,2935626959.118408
dim41,1627217775250.6335,1629163739642.91,1945964392.2763672
dim42,1623539505959.4744,1623628233348.518,88727389.04370117
dim43,1615101067244.39,1613934445804.876,-1166621439.513916
dim44,1616273826372.8125,1614537050161.4463,-1736776211.366211
dim45,1624343896263.8115,1622277763091.2622,-2066133172.5493164
dim46,1623486572158.9329,1621374843334.1978,-2111728824.735108
dim47,1610925823062.314,1607330888368.175,-3594934694.138916
dim48,1610335036594.9814,1608465681533.809,-1869355061.1723635
dim49,1613087041223.9,1610638305588.619,-2448735635.281006
dim50,1606213189381.0466,1602460202604.047,-3752986776.999512
dim51,1613188373203.181,1609962987406.624,-3225385796.556885
dim52,1614756424390.6086,1611982395384.1494,-2774029006.4592285
dim53,1606843056851.6577,1602761628754.3003,-4081428097.357422
dim54,1605829452329.587,1602006154575.085,-3823297754.501953
dim55,1605209124000.489,1600277386722.195,-4931737278.293945
dim56,1608548020731.285,1604503493985.3818,-4044526745.903076
dim57,1601528399584.0254,1595922839712.0166,-5605559872.008789
dim58,1599242356629.9128,1593316230096.4443,-5926126533.468506
dim59,1596540491296.628,1591072664519.305,-5467826777.322998
dim60,1601021610393.5444,1595398713663.75,-5622896729.794434
dim61,1593764562505.0293,1588397256848.1316,-5367305656.897705
dim62,1600753603636.7288,1596003218175.308,-4750385461.420654
dim63,1606092095777.7634,1601055131571.0125,-5036964206.750977
dim64,1605522268014.2607,1601671431959.6282,-3850836054.632568
dim65,1610027273769.856,1604769577056.7334,-5257696713.122559
dim66,1609239473822.8594,1604864970611.5164,-4374503211.343018
dim67,1608781813393.0984,1604370032422.5093,-4411780970.589111
dim68,1610682668037.9573,1606202999050.2012,-4479668987.756104
dim69,1617542775560.7258,1612611186055.5972,-4931589505.128662
dim70,1612149236164.4656,1606282422159.988,-5866814004.477539
dim71,1615292289309.3257,1610404550723.825,-4887738585.500732
dim72,1617183616669.0369,1611358484308.0818,-5825132360.955078
dim73,1625154136221.5488,1621299484116.856,-3854652104.692871
dim74,1623725767763.3428,1618139687414.713,-5586080348.629883
dim75,1625212046506.1086,1619264070900.7307,-5947975605.37793
dim76,1630272189917.8484,1625210019185.9468,-5062170731.901611
dim77,1632108548230.338,1626466493207.2954,-5642055023.04248
dim78,1639171735145.8582,1634550124448.5637,-4621610697.294434
dim79,1641124741041.8523,1635054692651.172,-6070048390.680176
dim80,1633511077849.28,1628254465852.2932,-5256611996.986816
dim81,1643931101330.4675,1637968401475.172,-5962699855.29541
dim82,1640934356466.6863,1634668446674.9968,-6265909791.689453
dim83,1648473211976.0818,1643239404567.5054,-5233807408.576416
