,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,3254450136287.2544,3294915232527.504,40465096240.24951
dim11,2452889971674.8657,2461204184926.021,8314213251.155273
dim12,2344200296166.493,2341154438910.698,-3045857255.794922
dim13,2308004732660.6504,2324952904437.449,16948171776.798828
dim14,2156019783053.645,2169082592702.4563,13062809648.81128
dim15,2135290812227.1755,2147723911937.838,12433099710.662354
dim16,2097129495288.778,2111542964562.517,14413469273.739014
dim17,2104367496876.4688,2121950766472.0105,17583269595.541016
dim18,2083222927622.191,2098861359157.7104,15638431535.519531
dim19,2042664557914.4016,2064665378446.8013,22000820532.399902
dim20,2007678368872.6577,2027603169150.0195,19924800277.361816
dim21,1985813053766.5537,2006141814106.6167,20328760340.06299
dim22,1950588287955.136,1969945445003.8025,19357157048.666504
dim23,1946847693235.425,1967272269061.148,20424575825.7229
dim24,1924309860427.838,1946016959529.786,21707099101.948
dim25,1908061824944.8047,1928432994799.7632,20371169854.958008
dim26,1886108488754.7344,1905980446441.3064,19871957686.57202
dim27,1851392465644.7976,1868462887533.38,17070421888.582031
dim28,1827267860273.011,1842760596908.924,15492736635.913086
dim29,1809662351586.4253,1823638911742.9905,13976560156.565186
dim30,1801806475670.3013,1816899364514.112,15092888843.810793
dim31,1784479873485.9675,1797469498326.2583,12989624840.290771
dim32,1760284310212.2937,1771891447974.006,11607137761.712402
dim33,1751156435811.6028,1762041450324.3062,10885014512.70337
dim34,1732232532199.4866,1742423384601.9824,10190852402.49585
dim35,1711796388477.441,1721380717477.239,9584328999.798096
dim36,1698755606792.2432,1706630232711.6082,7874625919.36499
dim37,1688315727918.8296,1696119552257.63,7803824338.800293
dim38,1684833500221.837,1691996676307.3257,7163176085.48877
dim39,1674037582426.1152,1680291720458.8848,6254138032.769531
dim40,1664342995139.651,1669772245165.9497,5429250026.298828
dim41,1657640523538.5945,1664187852966.1003,6547329427.505859
dim42,1654201052608.3,1656143813646.5547,1942761038.254639
dim43,1652526380454.3228,1656596823469.7383,4070443015.4155273
dim44,1647386612978.294,1650748793175.0466,3362180196.752685
dim45,1637088161217.3962,1640418416995.001,3330255777.6047363
dim46,1625407012081.0857,1629370922993.324,3963910912.238281
dim47,1616151716920.5828,1618270757504.225,2119040583.642334
dim48,1613678509274.1372,1615214590194.0613,1536080919.9240725
dim49,1611779334830.475,1612844629635.9165,1065294805.4414062
dim50,1607796646166.3096,1608335872546.748,539226380.4384766
dim51,1599861694999.4077,1600215132433.8506,353437434.4428711
dim52,1591134673635.0774,1591424326828.6353,289653193.5578613
dim53,1581697461512.1304,1581365535884.3638,-331925627.7666016
dim54,1576943372245.6023,1576510400164.2744,-432972081.32788086
dim55,1568812926732.8865,1567348013498.414,-1464913234.472412
dim56,1563993828936.4707,1563779801664.9534,-214027271.517334
dim57,1562950604792.2002,1561414256600.1765,-1536348192.0236816
dim58,1557209131884.5146,1555742866997.2073,-1466264887.307373
dim59,1552501658032.5024,1550515357961.9126,-1986300070.589844
dim60,1549751150437.3225,1547403949981.2854,-2347200456.0371094
dim61,1546313942211.1216,1543603749407.4475,-2710192803.6740723
dim62,1547361123141.7158,1545318873130.5967,-2042250011.1191409
