,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.67,0.4702127178203495,84.31054879378188,1.2759668787707288,1931255165476.9204,1931272934197.26,880818382412.8527,880988106938.8168,17768720.34008545,237752476.04223183,0.0940394048068533,48365463078.648125,40758335148.71225,756085314998.0386,267187171078.60733,98409682586.71785,115696046119.82797,66364196294.01702,58602479865.09068,36432924593.129105,443353551714.13086,48366945719.72942,40758684557.92618,756098547760.5142,267173007131.1005,98411008771.37749,115699536308.78029,66363998628.20221,58602460805.4737,36433538985.92302,443365205528.2332,0.9063321598578493,0.9063316122197855,-5.476380637770006e-07,1.0671885822045837e-05,0.42305657051311696
80.5%,2.84,0.36660605559646753,84.8951828782633,0.995628451621782,2009637535386.0713,2009634164037.413,928083143497.1722,928223285859.6895,-3371348.6574365236,262740895.35685846,0.09136948544321029,48810461911.28746,40849657487.417656,827238658615.3951,272168084040.22855,98955981642.65164,115768048050.09718,66470561883.13668,58623826787.66702,37914904760.39737,442837350207.7918,48812329520.39633,40851688869.915634,827237734117.9185,272149574681.59363,98958085778.29341,115774163183.26382,66470348173.989716,58624131975.06656,37915611687.79468,442840496049.18195,0.9039006239771099,0.9039007465251104,1.2254800028976832e-07,1.294601516654399e-05,0.4981839177712257
81.0%,2.96,0.19595917942265403,85.30239976442765,0.6566888321425648,2056905429753.2915,2056887767992.8528,926535357762.3025,926670104655.9875,-17661760.43802246,286699460.66877156,0.09608261214226986,49057774407.92933,41178045344.71717,873089074788.1792,269951146667.28403,99131733150.8642,116640051598.76215,66419417579.73385,58695470894.933426,40006592867.0194,442736122453.86835,49059750987.02758,41180282088.19498,873070949069.3209,269932297986.77066,99134191464.96408,116649338158.52986,66419163771.0522,58696122099.90597,40007521255.86416,442738151111.2237,0.9023199425351716,0.9023202655448566,3.2300968472731564e-07,1.316147048058273e-05,0.615670737630266
81.5%,2.99,0.09949874371066196,85.38965210598708,0.5769580543061622,2069596183628.5981,2069584648263.8953,926707356918.9723,926844455313.253,-11535364.702646485,290173689.3914671,0.23963200276016683,49053007743.16654,41158533299.3997,884900313302.7256,270549809223.5197,99349837272.27338,116959973023.59558,66429855964.92443,58720139586.46009,40327447891.60804,442147266320.92474,49055097554.34555,41160731030.32526,884886782027.7828,270531351815.94177,99352433993.86955,116970002696.92738,66429415748.12231,58720824928.34099,40328766282.36213,442149242185.8782,0.9019111654028805,0.9019113779039907,2.125011100428953e-07,1.3180303413860386e-05,0.7965038710035247
82.0%,3.02,0.13999999999999987,85.49200589719568,0.6146472686902595,2127472419160.2913,2127464676905.0947,995671667311.7739,995817308392.2894,-7742255.196743164,294723755.83201826,0.2536519936353009,50620282310.16967,41517215900.19289,936367630332.9778,275112718187.2753,99438987051.88121,116535572128.51045,66555479473.196625,58683886910.08614,40579138369.77643,442061508496.2244,50622079689.24914,41519268458.23285,936353312593.2504,275100080294.48114,99441578558.69118,116545913432.2622,66555030948.766716,58684617483.9368,40580226216.166504,442062569230.0582,0.899988819878563,0.8999888178706956,-2.0078679618951155e-09,1.3733780016579275e-05,0.6976233342391592
82.5%,3.13,0.33630343441600447,85.85648597933711,0.8517238201469314,2558851511269.4453,2558341243238.6343,1803223600595.7087,1800251572954.8225,-510268030.81073976,4874282639.478729,0.09471656727210129,57778033323.003555,42117596547.61948,1345401631383.7505,292034618045.4467,99873829220.12096,115431970519.03319,66656600804.682594,59426194480.48061,42272582827.32089,437858454117.9872,57779613730.2733,42119024381.616325,1345258060621.4333,292010858410.05927,99876256141.48602,115442250373.33469,66656118620.08196,59426995362.991104,42273724599.841995,437498340997.51685,0.8928699326427263,0.8928942485057882,2.4315863061408206e-05,0.00023463737862433024,0.34438360047551575
83.0%,3.27,0.4439594576084625,86.27459333003398,1.0229671588125095,2952067333666.5757,2951556814300.511,1941553207741.6072,1938892879743.6008,-510519366.0649243,4877232793.936555,0.15964252201389462,65218025024.47343,43217929750.69506,1691022052419.0366,321101694670.4871,100287532874.25055,115144234701.84673,66803212935.53403,60742633508.24222,44987913414.0114,443542104367.9991,65220903941.70878,43220453464.456184,1690880940828.713,321075464625.92035,100289709956.09932,115153855541.15572,66802791335.85336,60744081909.33534,44988914611.05838,443179698086.21063,0.8825859954201647,0.8826101475804833,2.4152160318451353e-05,0.00023478475815261218,0.5635081585027861
83.5%,3.65,0.4769696007084726,87.37319000161055,1.0570291339597253,4424854331977.697,4424091405587.419,3343020067345.2075,3340182441026.9805,-762926390.2777295,5419143175.142074,0.20699728974792586,96007942558.15543,46621577672.16777,3044568098332.805,391230646817.67365,101428161030.95042,112417292488.00262,67237219721.9346,63433371623.14253,51779691251.65678,450130330481.2072,96028989830.05421,46618440776.67569,3044153534780.198,391214675862.95056,101431197354.9142,112425684100.06754,67235854073.04513,63436427908.401794,51780854242.37673,449765746658.73193,0.8541368034420492,0.8541591648941163,2.236145206693796e-05,0.00023590043142194408,0.4310615640798099
84.0%,3.9,0.2999999999999998,88.04801843573627,0.6521352481094191,5299938444060.841,5299119818321.82,3364097111635.545,3361392948249.5527,-818625739.0217578,5459222657.644037,0.34438360047551575,114825152884.44469,47815735494.850655,3836495741633.955,449403287234.1431,101798552322.56007,109998488570.57219,67697666110.44833,64521684234.88884,53685691698.309105,453696443876.66833,114850777662.0063,47809394211.422615,3836034887841.217,449379792912.3605,101801891548.05676,110002243191.4096,67696426421.621185,64523817676.43903,53686748909.377975,453333837947.90594,0.835715657074438,0.8357378934910836,2.2236416645655675e-05,0.0002359150112046559,0.36950402743405597
84.5%,3.98,0.13999999999999987,88.25059202893824,0.4287185643550752,5609044260204.854,5608330819825.025,3365474435633.5503,3362981352871.5215,-713440379.8282275,5543270268.617751,0.3658472492089394,122325031707.67632,49117209560.10937,4120795150699.8643,462497977094.7854,101712210362.40195,109870965180.31903,67699699903.59625,64996775481.873405,54153174844.626045,455876065369.60065,122350881865.11246,49111626065.91274,4120388795624.7017,462471496053.1664,101715474437.27052,109874299366.21455,67698606615.44116,65052195614.1355,54153723578.75027,455513720604.3173,0.8297931121952179,0.8298096911482817,1.6578953063667302e-05,0.00024291204901078457,0.5224792307772006
