,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,2601430722173.809,2607074527548.055,5643805374.246094
dim11,2146383896319.25,2143582991681.665,-2800904637.584961
dim12,2213427503970.326,2219442213857.314,6014709886.987793
dim13,2237658821029.094,2245938053357.0254,8279232327.931152
dim14,2138483631744.736,2148733823391.84,10250191647.104004
dim15,2076121929761.0093,2083944746214.692,7822816453.682617
dim16,2078492836975.7737,2090107996723.919,11615159748.145264
dim17,2143620208454.7185,2157983754837.272,14363546382.553469
dim18,2108473222974.7983,2126944410924.271,18471187949.472656
dim19,2083665403380.3489,2104505987249.852,20840583869.503174
dim20,2092650458546.021,2115217077384.3608,22566618838.339844
dim21,2080887539859.975,2100866922353.3289,19979382493.35376
dim22,2067921516774.809,2087395331452.709,19473814677.899902
dim23,2057984667844.4368,2077357592992.6987,19372925148.261963
dim24,2033074117883.108,2051829710511.66,18755592628.552
dim25,1999439962366.1875,2021106539661.3408,21666577295.15332
dim26,1971311530732.42,1992067302220.2368,20755771487.81689
dim27,1938573159896.38,1956970615908.354,18397456011.97412
dim28,1912386950098.5056,1930197016400.686,17810066302.18042
dim29,1888190277127.3784,1904428736702.0945,16238459574.716064
dim30,1859889153436.912,1877388163577.3853,17499010140.473145
dim31,1839049366177.744,1854804003679.295,15754637501.551023
dim32,1815493538841.328,1829827205929.7048,14333667088.376951
dim33,1800547162130.1504,1813336541768.1428,12789379637.992432
dim34,1774985024829.2605,1787820842697.3057,12835817868.045166
dim35,1767015717307.2637,1776383554938.129,9367837630.865234
dim36,1753035481334.706,1763442162163.5305,10406680828.824465
dim37,1749794294293.661,1759256542916.5264,9462248622.86548
dim38,1739291845114.2546,1747428889621.4773,8137044507.222656
dim39,1729163738994.4326,1738185657232.3335,9021918237.90088
dim40,1720007503397.4734,1726979038576.811,6971535179.337647
dim41,1708304674861.8547,1716044225239.48,7739550377.625244
dim42,1698628464540.182,1705668427721.628,7039963181.446045
dim43,1688901998642.015,1693757394528.663,4855395886.648193
dim44,1681329249862.003,1687195819617.2693,5866569755.266357
dim45,1668326318486.586,1673783651609.3184,5457333122.732422
dim46,1656307912169.1497,1660725002567.8894,4417090398.739746
dim47,1653459243629.9185,1658404989207.7617,4945745577.843262
dim48,1643543618308.3118,1647181408165.849,3637789857.5373535
dim49,1639363225735.1338,1641224094290.6665,1860868555.5327148
dim50,1636506535001.128,1639525659315.5662,3019124314.4382324
dim51,1631218310840.252,1633831855094.857,2613544254.6049805
dim52,1625320661530.3562,1627988626816.3977,2667965286.041504
dim53,1622287426028.4807,1624725912074.1929,2438486045.712158
dim54,1620005230959.9756,1622409571011.2498,2404340051.27417
dim55,1609743970671.2903,1611295560594.781,1551589923.490723
dim56,1603388464710.4014,1604899438716.868,1510974006.4665527
dim57,1598764765238.0923,1602870916689.8984,4106151451.806152
dim58,1595837710249.861,1597242927966.1882,1405217716.3271484
dim59,1587439562162.0815,1587557084564.1152,117522402.0336914
dim60,1580065249089.1362,1579005056384.739,-1060192704.3972168
dim61,1572643838061.542,1572672492465.787,28654404.245117188
dim62,1569256482453.699,1568450217166.757,-806265286.9418945
dim63,1565008545579.5566,1564135187184.1594,-873358395.3972168
dim64,1564551217755.8003,1563330702028.27,-1220515727.5302734
dim65,1558316143856.819,1557098231033.2312,-1217912823.5878906
dim66,1555362368812.4197,1554140357079.473,-1222011732.946777
dim67,1552253421715.0017,1550237913216.9126,-2015508498.089112
dim68,1547160666971.5493,1545004333011.4524,-2156333960.096924
dim69,1544231252225.9597,1542441467477.6443,-1789784748.3154297
dim70,1541145430875.4702,1539221523689.472,-1923907185.998291
dim71,1538209509321.3357,1535708505902.9863,-2501003418.349365
dim72,1535860932279.806,1532927260258.3909,-2933672021.415039
dim73,1532959565383.821,1530036903017.9175,-2922662365.9035645
dim74,1526662480512.5527,1522897937251.8608,-3764543260.691895
dim75,1521936614051.9404,1518830974199.897,-3105639852.043457
dim76,1517863984404.958,1514677968570.767,-3186015834.190918
dim77,1514744208472.6938,1511300660287.6577,-3443548185.036133
dim78,1513660329559.885,1510392806700.3137,-3267522859.571289
dim79,1511750673962.1462,1507945072260.693,-3805601701.453125
dim80,1507886868438.8003,1504736111683.7417,-3150756755.0585938
dim81,1507652510516.829,1504894999617.5178,-2757510899.31128
dim82,1508011393171.7678,1504851052398.6047,-3160340773.163086
dim83,1506076646311.5632,1502908947959.3462,-3167698352.217041
dim84,1504425070263.9707,1500966453011.261,-3458617252.709717
dim85,1500704265779.684,1497355105809.1492,-3349159970.534912
dim86,1497792884491.5996,1493868827745.3745,-3924056746.2250977
dim87,1494567354638.7463,1490727587061.825,-3839767576.921386
dim88,1494013721584.1492,1490276902053.382,-3736819530.76709
dim89,1491798967012.3806,1487781775666.6453,-4017191345.735352
dim90,1487265369846.9072,1482988039904.623,-4277329942.28418
dim91,1485891912265.782,1482315428829.682,-3576483436.1000977
dim92,1483273599874.5862,1479400449020.872,-3873150853.7141113
dim93,1482985366499.2654,1478984161639.0725,-4001204860.192871
dim94,1482689521442.2268,1478326588966.8047,-4362932475.422119
dim95,1482486705929.4763,1478044942728.696,-4441763200.780273
dim96,1482074691131.8474,1477679259943.035,-4395431188.8125
dim97,1481776723694.749,1477307146622.191,-4469577072.558105
dim98,1478826075746.6997,1474666430438.084,-4159645308.615722
dim99,1478034206494.054,1473205480907.107,-4828725586.9470215
dim100,1476441048763.8884,1472209764265.0457,-4231284498.842773
dim101,1474968468953.5806,1471375273249.143,-3593195704.4375
dim102,1472384832751.1816,1468155375153.5923,-4229457597.589356
dim103,1472964064823.6355,1469250628891.2893,-3713435932.346192
dim104,1474893731174.4517,1470548704644.318,-4345026530.133545
dim105,1474428910566.4814,1470222383468.5237,-4206527097.957764
dim106,1477716949987.679,1473206579421.137,-4510370566.541992
dim107,1476783983257.0784,1472486321433.8271,-4297661823.251221
dim108,1475119903613.1887,1470585137265.8906,-4534766347.298096
dim109,1476026065043.0952,1471889296555.804,-4136768487.29126
dim110,1474508802214.2324,1470425344236.1008,-4083457978.131592
dim111,1475230514648.7783,1470896759442.7085,-4333755206.069824
dim112,1475363758969.3806,1471078039395.872,-4285719573.508545
dim113,1478068577444.2446,1472857708072.9656,-5210869371.279053
dim114,1475396802954.929,1471322070564.278,-4074732390.650879
dim115,1476952472391.1135,1472841186678.5205,-4111285712.5930176
dim116,1478000869954.971,1473757379827.1462,-4243490127.824707
dim117,1479847248344.7075,1475370341288.7012,-4476907056.006348
dim118,1481474038799.5483,1477584340905.985,-3889697893.563232
dim119,1481105579901.5845,1478361775357.2346,-2743804544.349853
dim120,1484213212382.19,1480539457742.7566,-3673754639.4333496
dim121,1486249334597.3027,1481665517990.9412,-4583816606.361572
dim122,1487652443426.7017,1484043035244.6335,-3609408182.068115
dim123,1490700440210.6765,1486059560677.6282,-4640879533.04834
dim124,1491424889343.4038,1487945250190.1404,-3479639153.263428
dim125,1491691587708.0588,1488334876284.6465,-3356711423.412353
dim126,1491235796023.1023,1487746652851.6484,-3489143171.4538574
dim127,1491878021377.2185,1488546814162.035,-3331207215.1835938
dim128,1495373900802.3926,1491978822632.7295,-3395078169.663086
dim129,1493939634950.7598,1490682749699.1643,-3256885251.595459
dim130,1496934853853.2976,1494048688394.9895,-2886165458.308105
dim131,1497781581085.3037,1495172822366.5718,-2608758718.7319336
dim132,1498687296023.8835,1495883282076.9229,-2804013946.9606934
dim133,1500301256380.282,1497034327835.0657,-3266928545.2163086
dim134,1500977676886.185,1498261805660.7266,-2715871225.458496
dim135,1501308609476.38,1498495578413.1228,-2813031063.25708
dim136,1502239659620.788,1499343091349.2422,-2896568271.5458984
dim137,1502948403437.7231,1500747841580.5042,-2200561857.218994
dim138,1503154853397.3416,1500886727918.7117,-2268125478.629883
dim139,1504941275299.8088,1502746482253.7676,-2194793046.04126
dim140,1504021358980.3184,1501196877917.8428,-2824481062.475586
dim141,1505639753244.9456,1502742826635.3225,-2896926609.623047
dim142,1505014351953.5996,1502273525375.1748,-2740826578.4248047
dim143,1505682816066.2314,1503567757198.912,-2115058867.319336
dim144,1507973928213.36,1505445107333.1235,-2528820880.2365723
dim145,1506663545617.3284,1503801224644.09,-2862320973.238281
dim146,1509353196532.6118,1506429140224.6592,-2924056307.9526367
dim147,1509903327171.2163,1507585495985.734,-2317831185.482422
dim148,1511065142404.6326,1508737320176.379,-2327822228.253662
dim149,1510139122204.2493,1507741116319.4014,-2398005884.8479004
dim150,1510240052965.598,1508021786369.1106,-2218266596.4873047
