,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.49,0.49989998999799995,86.8475848475246,1.2511647928547804,1965437617289.8857,1963421938900.4417,367909509229.57227,367525704137.2408,-2015678389.4446826,21376481401.924404,0.19488989682868574,56769509369.731026,43850200603.066986,738038638305.3523,270918486657.3026,92875709985.14406,123372983060.72972,69705852971.51523,62911162418.00334,36770069683.40833,470225004235.63257,56769166049.83559,43850559241.20484,738175023183.7728,270849740548.8882,92852422383.68794,123395764330.40302,69704428461.4159,62923093867.46309,36775287683.80601,468126453149.96423,0.9043970239962685,0.9044993008995685,0.00010227690329996819,0.0010614653733939546,0.22748913819262873
80.5%,2.63,0.5413871073455666,87.37365489827462,1.2164164676392295,2084158308651.1995,2080428915703.424,649488698224.619,641981931906.3456,-3729392947.7762623,26276934774.08723,0.1555994829260015,58929512729.693665,45375947985.17629,841060056549.2792,276117448538.4783,95849521412.39902,122048072963.75975,69584480165.0531,62596148242.14542,37936895834.775566,474660224230.43976,58929745108.64569,45375884408.83622,839506371804.6066,276051160685.6985,95831114561.4641,122077973277.69115,69586048282.78146,62607385107.590164,37941657376.330894,472521575089.77966,0.9000924410685931,0.9002041249690788,0.0001116839004857506,0.001061452361636824,0.8473143893644655
81.0%,2.73,0.563116329012044,87.74441178106892,1.1635458217777468,2116812228345.2769,2111153553320.84,653194842189.4231,647140946394.4274,-5658675024.437583,32635007660.496033,0.2943212430119939,59502071425.98855,46229690615.03178,867579906961.5118,279750483456.48834,96470547503.58336,121393796092.19722,69195453190.24924,63186257117.237976,39901682048.37379,473602339934.6147,59505932349.50006,46228857086.34936,866080505130.8872,277706244460.20966,96449342947.84335,121424399620.27994,69198548616.3627,63197156971.01437,39911293686.59724,471451272451.796,0.8986457942007128,0.8989182803901343,0.0002724861894216746,0.0019233402404479738,0.8258300417006286
81.5%,2.85,0.5361902647381809,88.2031420531222,1.0559165769263295,2176736460771.5193,2171011413593.4404,665901348665.3048,660286803948.4384,-5725047178.080003,32640143834.911213,0.5940748720051938,61144776540.59779,46208343035.6749,915053376551.7303,282493738483.48193,98403177851.23949,120668920361.80377,69056520756.54173,63314573061.67668,41456691650.05351,478936342478.7196,61151539280.15653,46209996538.668724,913454854960.7277,280436077668.1662,98393947694.72408,120712465983.547,69061668825.88055,63329887192.47957,41467137005.70425,476793838443.3857,0.8959151903452303,0.8961873904177325,0.0002722000725018259,0.0019234576081367657,0.6849466319950608
82.0%,2.93,0.5701754116059368,88.46887895192076,1.070623866858032,2278691333627.12,2272992698426.295,850159836136.9717,846576971977.2358,-5698635200.825237,32645974271.442055,0.817806007749672,65510849041.86244,47174694005.04266,1003453919787.8239,284245749181.72876,99055103903.81796,120829255797.62172,68696942967.13366,63770206115.468956,42807336532.01981,483147276294.6,65518262344.94608,47192079497.18976,1001844957421.4937,282206092330.0608,99048840490.11554,120879310750.77948,68700633070.71024,63786030857.37042,42816818303.57166,480999673360.05774,0.8927352120789008,0.8930020086018812,0.000266796522979772,0.0019248429328120275,0.5473692910808176
82.5%,3.0,0.5477225575051661,88.69888194939016,1.0405695891192377,2326045560790.083,2320246912953.637,870535583510.5675,867377535272.3523,-5798647836.446611,32663983725.51625,0.6900069147093293,65899380419.94839,47269197147.30904,1041534799846.3203,289889106270.1959,98803041774.55641,121002677341.98459,68865035234.07407,63778343316.78013,43534393180.60573,485469586258.3083,65907094035.39679,47286181752.65779,1039821325314.9615,287852719761.2797,98796602609.70059,121063096099.52129,68867249693.90364,63795088678.028946,43543868993.40387,483313686014.7827,0.8913464376680865,0.8916177212613805,0.0002712835932933622,0.0019245282878706982,0.9205734335120058
83.0%,3.19,0.5038849074937651,89.28863818353442,0.9137953981247935,2563824513818.5005,2557924107648.5146,1058433323784.1727,1056350833426.0795,-5900406169.987205,32963416271.556236,0.7648376056140332,70794782580.29759,48635143444.22503,1242000970533.2485,302989598955.46686,102808690638.88783,120358783617.45708,68695009274.06312,64039361952.3141,44803282864.621086,498698889957.9191,70814965074.90996,48652137680.89389,1240080126303.8752,300930615266.03357,102836312530.96526,120418223340.23761,68698187484.00604,64042557226.55905,44813612728.3696,496637370012.6641,0.8846255714889597,0.8848919648064304,0.0002663933174704414,0.0019268495164991733,0.35501304550262447
83.5%,3.33,0.5487257967327572,89.70763306419232,0.9424911697533578,2756653158614.832,2754743698828.256,1252710647668.9607,1254392637306.8147,-1909459786.5773096,20498830551.501877,0.14871185095600323,85505683149.88821,49326415719.0904,1397796627545.6729,321300223368.8758,105334595766.06259,119620981270.5558,68882127317.26976,64496437591.92588,46305557059.606224,498084509825.8848,85614681601.11449,49340217599.55925,1397571530642.5986,319330727537.7443,105376580811.44449,119667442111.01408,68885734343.33533,64497873146.94881,46315059378.81202,498143851655.6848,0.8791075462059958,0.8792543487781108,0.00014680257211452497,0.0016211670374295301,0.04726549096365713
84.0%,3.51,0.5915234568468106,90.21397469943007,0.8946634719759488,3043215551088.605,3042400120068.8213,1428701242325.3567,1430395433942.2903,-815431019.7847241,22347815668.43974,0.04650396992562074,97351179967.12569,51594029456.313934,1627672712554.3157,334883096117.5073,106837633841.34189,121384024876.75298,68809732832.34883,66291787203.86921,53479976763.802444,514911377475.22705,97470316767.5429,51615776537.7984,1628217671056.1677,332920446820.4802,106886162682.21307,121418863123.9338,68811786737.33508,66293326148.39782,53480062714.93547,515285707480.01556,0.8705402588687662,0.870650000590213,0.00010974172144678773,0.0016395330543331013,0.004366821956689125
84.5%,3.63,0.610819122163018,90.52724219150254,0.8760152146946885,3245425998554.84,3244832597923.4,1507865856083.8298,1509659854967.9521,-593400631.4434375,22451994925.671143,0.04356037195358306,101908744778.11111,55567084214.49885,1799988226697.2878,350896887221.04596,107247895809.01393,120426885794.85608,69165393672.83867,66345916223.4621,55254295359.78199,518624668783.9454,102031908623.56078,55591586005.29851,1800684157136.7253,349032994702.1902,107289928191.26585,120477368874.24493,69168475573.60413,66345610762.479416,55269472139.1724,518941095914.8567,0.8648048001774886,0.8649132922473197,0.00010849206983106208,0.0016452115722459183,0.0013209204674027345
