,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.59,0.49183330509431733,84.63386537630022,1.1795613467359258,1915425246216.4185,1915146864792.8586,518688605881.1662,517342431161.7817,-278381423.5598071,2754960219.260484,0.49600544229157995,49755215567.86521,41073494469.436935,738249984975.6925,261937757266.9798,97468495507.7454,117424520688.62921,66660427222.834366,59299247840.95134,35284323959.13704,448271778717.1464,49757005677.976746,41073956039.54771,737983462491.8062,261923905136.02048,97470017658.50766,117428997395.79453,66660129427.632774,59298650178.744026,35285175333.13259,448265565453.6954,0.9060043652903487,0.9060066603234515,2.2950331027360437e-06,2.3069016113507642e-05,0.8635033772834252
80.5%,2.72,0.44899888641287283,85.09187042177929,1.073404079139827,1963802260631.771,1963524791785.9297,561425862916.4396,560186782739.1536,-277468845.84165037,2756637997.1721883,0.9369678210300386,50580044289.566826,40917443784.867455,779979609297.2488,268516122171.76392,97637181379.68915,117248110850.87408,66550982043.83387,59524972100.538925,35837102534.7306,447010692178.65735,50582213157.52526,40918376872.59695,779707018686.7725,268506305739.7885,97638865998.85703,117252754920.66571,66551293210.4443,59525032969.675095,35838090540.741066,447004839688.86255,0.9043533723504885,0.9043548834729889,1.5111225005914885e-06,2.356730853810323e-05,0.7078260175355122
81.0%,2.87,0.3363034344160044,85.62286388074186,0.8987793479876076,2009391447302.2693,2009120391490.7053,578449648264.7769,577260687317.0068,-271055811.56438965,2760006679.2033644,0.7885535816793301,50634250706.69467,41118504959.06099,823508242523.3799,267922619198.9796,98353380702.74866,117588647431.15408,66549525665.78921,59432689553.13665,37672726429.28077,446610860132.045,50636779650.742256,41119803493.092186,823223548937.0142,267917469060.3759,98355825793.3686,117595978077.81912,66550496615.2374,59433186483.74247,37673892947.83302,446613410431.47974,0.9027590528679168,0.902759559131916,5.062639988728801e-07,2.5072631715790592e-05,0.6723580402630482
81.5%,2.92,0.271293199325011,85.78184753596382,0.8197513270985217,2182656723979.8374,2182072482579.932,1675558015094.375,1672255999802.0317,-584241399.9053491,4137263773.556677,0.7361501939167332,50785472038.56706,41336206025.16672,996802465029.3628,267867759254.56985,98448866087.70764,117725186805.289,66477031604.682724,59403733591.81973,38313803900.35579,445496199642.31604,50788006507.57987,41337712579.73505,996241380576.3259,267861735132.18872,98451368722.58078,117733268262.1783,66477813854.43353,59404732979.69199,38314981217.03133,445461482748.18634,0.9020367859188696,0.9020388817179361,2.0957990664283167e-06,3.0045021155729913e-05,0.603630307822939
82.0%,3.05,0.2958039891549811,86.2173113227886,0.8845979322872604,2507443616575.177,2506888330590.4424,2067672024990.67,2065031362555.1252,-555285984.7337768,4187401679.969598,0.6623526798628128,53661308805.51038,42033344213.774734,1298849184623.2708,281045116471.18524,98799251222.73286,116803267436.65802,66840524809.060295,60091383039.75981,40480837103.726265,448839398849.498,53664827850.47258,42034823121.57509,1298332195752.5886,281040105518.2981,98802017228.50085,116810192403.90854,66841276867.48232,60092834753.081635,40482050727.59034,448788006366.9444,0.8960032831724969,0.8960065517806377,3.268608140601925e-06,3.236677808289335e-05,0.5450825418754992
82.5%,3.15,0.3570714214271427,86.5308526127108,0.9107603797706352,2890997755033.3687,2890461483745.8496,3224246589538.948,3222597885555.2017,-536271287.51901126,4196112953.399215,0.6623526798628128,59486524644.516365,42606668347.149796,1658674635764.9397,292917723470.718,99200235495.5549,116156060281.57506,66951515955.23386,61283485316.48224,42163778931.089874,451557126826.1083,59490246331.050095,42608439981.832794,1658151311173.992,292938338204.9576,99202730269.24896,116162141723.42836,66952259512.6047,61285712378.68999,42165256633.43668,451505047536.6083,0.8901932208975798,0.8901946899157602,1.4690181800458557e-06,3.621398199937531e-05,0.9042127340742919
83.0%,3.36,0.4800000000000002,87.1596944035461,0.9905153960225477,3455942867700.582,3455626829053.2573,3365421033491.018,3363926042974.619,-316038647.32414794,3491244985.9719667,0.8635033772834252,72751126258.90515,42761323352.88212,2165304590702.914,326282401875.0675,100353078431.93854,115984367242.30635,66936524283.38371,63278528935.60833,45930854794.36126,456360071823.21405,72757450448.83337,42762506588.32696,2164959798725.1,326325153966.247,100355717572.30234,115991737814.4857,66937124017.11048,63282612561.94487,45932193970.901405,456322533388.0061,0.8757606668992441,0.8757574793670818,-3.187532162750584e-06,3.254804416766835e-05,0.3976487523328709
83.5%,3.53,0.49909918853871105,87.65208735890002,0.9451663120523833,3916730508313.0083,3916412939168.09,3379144284600.985,3377700807347.4736,-317569144.916853,3526161608.0158415,0.9151157833041156,87770670655.28308,44087569875.05727,2573610190292.273,351451801006.573,101361703374.31593,114548804079.30127,67341115361.04586,64814266530.72255,51280914529.11468,460463472609.31995,87775061296.56992,44090902553.308846,2573271329931.65,351487383284.11176,101364396327.95863,114551996788.07542,67340859317.84488,64826962480.04764,51282100208.881035,460421946979.6425,0.8643382277462682,0.864335207725087,-3.0200211812936307e-06,3.541732514365122e-05,0.29116666608101216
84.0%,3.71,0.4537620521815368,88.1588739431429,0.8338699659680016,5112242546159.162,5112264045579.039,7224726610489.884,7227439851790.704,21499419.87886963,5037877857.694291,0.9314997084840357,97376613308.1425,45946596928.32173,3701790990489.163,396741786406.7382,102475087944.86674,114776937434.74396,67788750633.35727,65233901957.707245,53946146398.83292,466165734657.28656,97383571655.34659,45949779685.568535,3701796855547.334,396725704123.4982,102483094831.64986,114785889279.56084,67788466184.11139,65246385058.11999,53947254946.41615,466157044267.4341,0.8514450294910376,0.8514424082818998,-2.6212091379107514e-06,3.4535260168637746e-05,0.5337204302967387
84.5%,3.88,0.3249615361854386,88.59970486945467,0.6727106960819548,5605924333593.908,5605747549102.895,7116264583213.72,7118975713581.321,-176784491.01311278,5479454177.017029,0.8554012757415651,108730806590.07329,48768496079.93116,4133842675753.857,433404456114.21875,102661119736.74985,114024274346.35277,68089434998.95466,66199107135.280495,55139496286.25454,475064466552.23596,108740813301.79762,48772080789.246735,4133662544722.107,433382185161.88165,102669702011.6976,114031071426.41508,68088757295.05442,66213161687.03745,55140497529.988525,475046735177.6705,0.8397685537978998,0.8397680470587371,-5.067391628554852e-07,4.036214415321606e-05,0.7622156087305044
