,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.7,0.4582575694955841,83.52665614428966,1.2372865990016075,1802471548584.367,1802464978695.2783,274259805991.06644,274264930165.8054,-6569889.088037109,31040864.93938981,0.00010967973695762148,45712422388.64205,39973110399.42567,648938929331.8766,258208627957.3866,100057399984.80481,114916111999.50053,65526200169.09561,57640741873.8928,35976600322.55284,435521404157.1889,45712416151.072754,39973399119.98349,648933258764.5038,258206756756.77914,100057564436.42795,114918834777.03107,65526192544.72053,57640744025.41685,35976708053.1686,435519104066.17377,0.9084561415014443,0.9084562670329904,1.2553154668748512e-07,1.851660321664121e-06,0.17117023411272703
80.5%,2.9,0.29999999999999993,84.19548440481842,0.8388622483351925,1876250088198.6611,1876243518136.7913,326692398088.08636,326700344509.18176,-6570061.869780273,39098432.20702657,0.011611693025983272,45930844245.30956,39940796872.059685,721710981873.5288,256040885874.3492,100142822294.75934,115619646729.54402,65517980230.59487,57759033880.47639,38719732208.52296,434867363989.51636,45930908786.62342,39941265129.25649,721703886813.4702,256037763876.8993,100143241070.40094,115624713539.77834,65517984739.40779,57759127210.78687,38719904808.140114,434864722162.0276,0.906044054973826,0.9060440560282349,1.0544089756869824e-09,2.0825925800646324e-06,0.9725715413852294
81.0%,3.0,0.0,84.52367255853264,0.4141354213013133,1900053483748.2734,1900046656748.249,326637357301.2979,326646004754.0999,-6827000.024338379,39799342.1420346,0.018855482982991948,46003183457.29374,39894689456.35483,743413079983.2684,257098918775.70966,100082803654.41757,116237875838.81662,65586917451.58003,57771413866.29231,39944326681.6519,434020274582.8885,46003322498.9725,39895165612.70562,743404234659.0809,257095325957.59204,100083337979.42838,116245133984.19748,65586997918.96778,57771537452.66384,39944544738.157074,434017055946.4835,0.9050612832432621,0.9050612591157319,-2.4127530271478293e-08,2.1128262620233227e-06,0.8446222853530765
81.5%,3.0,0.0,84.52367255853264,0.4141354213013133,1900053483748.2734,1900046656748.249,326637357301.2979,326646004754.0999,-6827000.024338379,39799342.1420346,0.018855482982991948,46003183457.29374,39894689456.35483,743413079983.2684,257098918775.70966,100082803654.41757,116237875838.81662,65586917451.58003,57771413866.29231,39944326681.6519,434020274582.8885,46003322498.9725,39895165612.70562,743404234659.0809,257095325957.59204,100083337979.42838,116245133984.19748,65586997918.96778,57771537452.66384,39944544738.157074,434017055946.4835,0.9050612832432621,0.9050612591157319,-2.4127530271478293e-08,2.1128262620233227e-06,0.8446222853530765
82.0%,3.0,0.0,84.52367255853264,0.4141354213013133,1900053483748.2734,1900046656748.249,326637357301.2979,326646004754.0999,-6827000.024338379,39799342.1420346,0.018855482982991948,46003183457.29374,39894689456.35483,743413079983.2684,257098918775.70966,100082803654.41757,116237875838.81662,65586917451.58003,57771413866.29231,39944326681.6519,434020274582.8885,46003322498.9725,39895165612.70562,743404234659.0809,257095325957.59204,100083337979.42838,116245133984.19748,65586997918.96778,57771537452.66384,39944544738.157074,434017055946.4835,0.9050612832432621,0.9050612591157319,-2.4127530271478293e-08,2.1128262620233227e-06,0.8446222853530765
82.5%,3.06,0.23748684174075796,84.7187316680926,0.6821433596580347,2115957131472.7278,2115948578492.1157,892128708096.474,892126634076.0808,-8552980.612473145,42296755.95213192,0.016551932705929733,49910277408.322205,40566701311.82233,942881882440.7714,267971157481.35663,100139931140.0486,115341674326.65152,65711960524.32168,58262388863.90848,40965091465.89352,434206066509.6318,49910737586.36216,40566810814.64169,942871478311.5969,267967662340.56586,100140534835.42357,115348890434.89049,65712001839.0083,58262541415.771095,40965310356.19239,434202610557.66327,0.9000519005565819,0.9000518598293429,-4.072723880144125e-08,2.2745567810308663e-06,0.9042127340742919
83.0%,3.33,0.47021271782034957,85.55088471802706,1.174305122672638,3169726550179.426,3169692752231.584,1994536542119.5266,1994507880078.1897,-33797947.84356445,179761032.3182262,0.012311058482235878,68944543945.59872,43521929347.87558,1920950666582.0962,317508828206.5874,100558405673.09052,111257681519.83257,66175096586.85766,60982839747.336464,45471817230.0006,434354741340.15173,68947407496.28304,43522551820.00835,1920917868015.1306,317498087694.4895,100558960034.32121,111263874205.33278,66175136729.82581,60983582354.37807,45471939477.01332,434353344404.8015,0.8782194847915907,0.8782193219546217,-1.6283696893548694e-07,4.858759355517619e-06,0.817806007749672
83.5%,3.76,0.42708313008125287,86.78238100053778,0.9736977994355254,4914079804637.807,4914016140129.036,2264440627066.662,2264415692677.3154,-63664508.76886963,492387092.1664752,0.02346019694692216,103530467019.98135,47135909897.21007,3532368594803.538,401339330730.1995,100763645672.06285,106522347554.78113,66948818145.13918,64718423300.02554,50436471182.54877,440315796332.3187,103539395662.71172,47136482573.26461,3532333483587.243,401317310170.8544,100764417129.40912,106528912573.02762,66928961433.6461,64721605623.21969,50436576718.03829,440308994657.6192,0.8441249582317389,0.844128339448671,3.3812169320290853e-06,4.575489119235074e-05,0.6132542176643868
84.0%,3.97,0.1705872210923198,87.35811275714573,0.4328712724097103,5658151625288.716,5658084685230.074,1751931203052.4507,1751915929261.212,-66940058.640129395,497837730.4857287,0.03977111892032125,120360921119.05042,49277954399.39153,4209726260040.596,441365413281.0862,100761716849.14445,104800831997.97783,67330014957.42909,66903697135.772606,52316526372.49588,445308289135.76953,120373473198.55844,49278103109.19081,4209691912379.317,441336923048.3936,100762348108.44385,104804364823.5628,67310077561.98971,66907712668.58909,52316553292.76117,445303217039.26874,0.8271869078948506,0.8271901868521041,3.2789572533598045e-06,4.585639844692503e-05,0.7232283767760339
84.5%,4.0,0.0,87.43335170770348,0.2781808228564058,5806491173798.464,5806439549785.213,1672197346208.9702,1672211524187.273,-51624013.24861328,513515624.0329485,0.08250125240378868,123924716039.24078,50025927866.702225,4347308421679.4873,447355982947.65326,100745765540.9712,104293638887.49638,67345533285.885475,67041002458.03523,52324612371.86174,446125572721.12854,123938079830.66566,50026056131.2992,4347281696322.8975,447334934699.54767,100746406159.08504,104296734034.16464,67325521982.654205,67045232712.58083,52324609439.15912,446120278473.1607,0.8243930667623719,0.8243960160716552,2.9493092833965395e-06,4.601493428080642e-05,0.817806007749672
