,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,2502930363381.57,2506158549565.183,3228186183.613281
dim11,2045214573912.924,2045057562373.0105,-157011539.91357422
dim12,2216249510459.074,2221348870636.5664,5099360177.492188
dim13,2206878029793.427,2213702684971.3867,6824655177.959961
dim14,2139826597508.4768,2148433949349.6853,8607351841.208496
dim15,2060442712068.23,2065797810074.5728,5355098006.342773
dim16,2072318971497.2483,2082546457674.188,10227486176.939695
dim17,2164774595498.0984,2176707454152.4656,11932858654.367188
dim18,2149451003642.2896,2167728608086.9304,18277604444.64087
dim19,2145828252480.7263,2165522214693.275,19693962212.548584
dim20,2164068347608.48,2184467712443.031,20399364834.551025
dim21,2141718873419.4355,2161332819757.3784,19613946337.94287
dim22,2151091363614.2275,2174181833510.586,23090469896.3584
dim23,2141709325843.408,2162472825366.216,20763499522.808105
dim24,2105503813683.9104,2129461144723.08,23957331039.16968
dim25,2075039760161.3296,2096944609231.738,21904849070.408447
dim26,2032420983501.8704,2053139219579.9976,20718236078.1272
dim27,1996673722690.2368,2017298121489.9536,20624398799.7168
dim28,1952741933612.472,1970595525097.7407,17853591485.2688
dim29,1916756594513.9329,1933538516078.213,16781921564.280272
dim30,1884340627566.7607,1898649547413.244,14308919846.482666
dim31,1868045101207.496,1883121488486.096,15076387278.600342
dim32,1846343324064.152,1860797154666.3784,14453830602.226318
dim33,1828360924923.671,1840771519340.171,12410594416.5
dim34,1809588211117.0488,1820239261421.592,10651050304.542725
dim35,1790057311344.2258,1800049852180.7363,9992540836.510498
dim36,1775800988239.6924,1786381198278.2031,10580210038.510742
dim37,1755470764275.753,1763995551136.404,8524786860.651123
dim38,1736319175992.8855,1744386857296.1438,8067681303.258301
dim39,1722959661285.0637,1729700310253.3435,6740648968.279785
dim40,1715319949464.9175,1721826349805.8271,6506400340.909668
dim41,1712655676264.9104,1715670541159.555,3014864894.6445312
dim42,1696607470653.2234,1703519354010.1316,6911883356.908203
dim43,1695228935562.173,1700783522733.6504,5554587171.477295
dim44,1691440016736.202,1697274787367.1265,5834770630.924561
dim45,1680744910671.335,1686208912894.7732,5464002223.438232
dim46,1669449877739.6306,1673334778092.8884,3884900353.257813
dim47,1666355394229.481,1670863496950.9578,4508102721.476807
dim48,1656512830018.3562,1660278022918.3215,3765192899.965332
dim49,1652017131623.7837,1655417608241.7937,3400476618.01001
dim50,1645720705654.8357,1649841463246.4688,4120757591.6330566
dim51,1643667364713.651,1646563125954.895,2895761241.2441406
dim52,1636202179964.6208,1638363636305.493,2161456340.8720703
dim53,1630171619340.48,1632543616164.7173,2371996824.2373047
dim54,1622223317239.411,1623753919480.5022,1530602241.0913086
dim55,1618810317556.577,1618529441045.8928,-280876510.68408203
dim56,1615342918635.0234,1617078054726.025,1735136091.0014648
dim57,1612642829388.8457,1614774525985.0122,2131696596.166504
dim58,1607114395143.2517,1608763124142.581,1648728999.3293457
dim59,1600933139238.743,1603541534398.6562,2608395159.91333
dim60,1594454359032.829,1595057136780.7903,602777747.9611816
dim61,1584904770476.6365,1585872011945.39,967241468.753418
dim62,1583068615521.0237,1582988950631.883,-79664889.140625
dim63,1574695372059.1672,1572923878928.7295,-1771493130.437744
dim64,1567836320315.9958,1567417721410.9812,-418598905.0146485
dim65,1563613106407.2466,1563474428556.6482,-138677850.59838867
dim66,1563398779922.6548,1562545884258.0537,-852895664.6010742
dim67,1558190854974.0107,1556893149088.8894,-1297705885.121338
dim68,1552147934922.1482,1550866753639.9998,-1281181282.1484375
dim69,1546546223952.4763,1544610328903.788,-1935895048.6882324
dim70,1543132666639.9773,1541607274122.6638,-1525392517.3134766
dim71,1537624166938.275,1535928543601.0889,-1695623337.1860352
dim72,1534131599966.7725,1532871636159.9932,-1259963806.7792969
dim73,1529676086165.094,1527245580672.6086,-2430505492.485352
