,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
87.5%,5.18,0.38418745424597045,89.62763851373212,0.42632813473651826,7759346392412.385,7759780792572.78,4319041840473.218,4318229303000.852,434400160.3919336,12644458051.278147,0.5496607761509097,310215566496.3283,154075570616.50027,5707814896324.34,553948766016.7042,108107773653.48735,149131295167.55554,61816692058.48762,57778006606.72451,47486927084.05377,608970898388.2029,309702271206.767,155136417411.4028,5707768549100.253,553915330464.153,108109322354.40816,149131208915.91327,61817118766.68829,57795885888.313385,47486755817.74294,608917932647.1401,0.7894756534026363,0.7894645375514429,-1.1115851193820302e-05,7.358032800214954e-05,0.010216073840651393
88.0%,5.68,0.4664761515876235,90.3248107353922,0.4421657254020483,9733866729898.992,9734567439242.162,10014570651716.064,10014961285395.871,700709343.171045,12966599219.992622,0.02952090946987056,363250995120.2569,256914961973.9574,6307379056583.133,1791761829272.37,105896983360.46407,178254274807.06738,46748417521.48762,46074648983.69023,50655313411.0918,586930248865.4728,362783885852.6633,258035933583.37082,6307122227259.322,1792062496236.3818,105897922058.2022,178268469719.79407,46748614958.00925,46082747645.15769,50655149551.72403,586909992377.5342,0.7833651465174813,0.7833498658200446,-1.5280697437353163e-05,6.55122841545693e-05,0.0017343431991457034
88.5%,6.01,0.09949874371066199,90.75291069792812,0.2400544331181255,12381019570157.678,12382547650819.42,15516844296268.516,15526592569452.873,1528080661.742207,25961732983.719593,0.0015973939300420173,423111896066.60236,437357679908.78326,7784241587913.84,2669648337082.656,115057012688.16888,205334573127.8998,38412915406.224655,39066349320.74525,64260193624.3488,604529025018.4111,422680882855.05237,437091661288.37805,7785243854784.473,2670041520344.774,115051869356.19476,205362411445.52292,38412975057.53589,39069125417.16458,64282986517.04538,605310363753.2764,0.7694557195776599,0.7694269780183797,-2.8741559280155426e-05,0.00012578388535162773,1.4566472957384038e-06
89.0%,6.28,0.4489988864128727,90.98553183238126,0.2614737715593318,138441177013215.66,136970652177367.1,523432734417378.2,523691364756069.9,-1470524835848.5745,19199372932200.617,0.00017121594938104075,924080614524.9714,1588706079323.5527,91088172782473.78,17956561318559.863,283773580739.7696,1773811268036.955,37159698869.97322,39391552703.65166,23710620281789.906,1038899836193.2811,909825084811.1427,1657662744985.6418,91160132337034.6,15880338474484.432,283706081261.0068,1757487255327.1494,37159184809.15962,39390393376.46558,24219668215203.547,1025282406073.94,0.7258504819345342,0.7258026809949328,-4.780093960134235e-05,0.0003735336833374578,3.45489866160799e-06
89.5%,6.86,0.4247352116319063,91.47265749508792,0.2322515946547826,865987806769096.5,881719199482691.5,2424677551536219.0,2489097044545601.0,15731392713595.19,131860106567265.66,0.003960181076166498,990671196992.9548,9524716431161.842,642118586549799.6,44045127453339.48,468025792097.5996,21176791996912.2,32796320569.660484,40068349538.6142,26757947231448.477,120833075447236.34,976509677346.9318,9101190424379.39,644993733907602.9,42977897689515.01,467896883352.54407,20893115618063.6,32795653057.55226,40030841038.14194,27225334307315.215,135010694481020.94,0.6513313280682627,0.6509744660023236,-0.0003568620659386773,0.002887461677857212,0.0014880079912308391
90.0%,7.48,0.5564171097297419,91.84686743766157,0.15209543986614962,911584349642562.8,918469292444976.5,2923461423783344.5,2950567016850962.5,6884942802413.715,166485267172746.66,0.004608747355857628,412353412268.17633,7272033461214.638,667086144553594.4,109461745810097.3,525954209293.4098,19575054726893.28,30921703698.92882,48224787395.87068,3436171510478.9785,103735745467627.92,413350301508.3855,6639480438128.151,669489680994095.5,97208142557764.2,526180551291.765,19305475603946.11,30918856160.51152,48178161956.53676,3403070602879.74,121404814377245.81,0.7213492325385255,0.7211151872695949,-0.00023404526893106681,0.0008966092852812907,0.0005021915186106701
90.5%,8.38,0.7039886362719214,92.24410943923546,0.12556691811067258,253882565011824.53,257681158356955.75,1872738974948605.5,1880359191528018.8,3798593345131.2773,41434683857764.28,6.325119948951001e-10,209363021346.33093,300833455191.27045,232553449821790.47,17664830226603.58,346601658597.2264,121896909011.76402,30817204773.860287,60805573485.45048,926207626344.5284,1667759514680.1047,209960615660.9492,302978941320.17316,233167488984718.75,17089661968517.822,347329230442.8272,122414637176.63701,30819828357.465378,60637050088.52776,928811064714.8564,5421056035957.863,0.8252322668566715,0.8248858723395789,-0.0003463945170924992,0.0013312592451117289,0.007549543368832742
91.0%,9.58,0.7372923436466705,92.68000316170563,0.09667142664385502,3248515528642.6533,3259660651690.357,2214681322758.1294,2213098803748.102,11145123047.702559,43497979588.22913,7.046698255609004e-05,79644375291.81552,84815812046.40875,1517285849856.0288,735255116738.638,108568525554.95032,86981980194.71078,30228696073.37523,56305717236.18497,99444340636.08989,449985115014.451,80103266359.8783,84646549001.05338,1526595984838.9512,736664599839.5927,109161659000.85088,87319672935.1899,30237653094.579357,56224273604.128494,100037044673.56223,448669948342.56995,0.8647476475417966,0.8647382748371164,-9.372704679969646e-06,0.0011396898445614743,0.2637995846253631
91.5%,11.05,0.8986100377805711,93.11956868129177,0.07874498602219232,2314493115315.1245,2311811079186.897,662239048411.9797,660002756544.4435,-2682036128.2284985,45550300088.36647,0.07660439763601899,63837700085.17292,84859362485.28091,1100801993123.36,358776029954.94745,83074604034.03917,68648833955.27971,28681371259.971603,45775410470.013565,80515439337.98857,399522370609.0717,63988252259.06949,84655200145.0816,1103813602036.0999,358550356341.9796,83234012409.53644,68708154221.286896,28680303140.2601,45754027236.61746,80706529483.17487,393720641913.7911,0.8842640414792924,0.884628693976827,0.00036465249753432903,0.0026694720479254436,0.1294431942035884
92.0%,12.84,1.0071742649611333,93.55466098781295,0.0651941713666538,2196548392958.2485,2203597366723.957,421606099173.55914,429410921647.355,7048973765.708222,13553908621.203348,8.30615910994768e-08,64618622022.42417,84570594739.79265,1068280147596.4031,362027528118.9002,79538853873.1893,61504019364.479935,28059750034.563915,44225836160.946365,75973502321.15878,327749538726.38916,64821545867.97216,84942119996.3016,1072647818044.9489,363594024932.65985,79642379014.76535,61620988981.87562,28064982083.121994,44225579766.84657,76156983063.98958,327880944971.4748,0.886418698054998,0.8862089731306313,-0.00020972492436626466,0.000672924022614219,3.9184456390337567e-05
