,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.69,0.46249324319388696,83.94177572183449,1.2610888408196292,1836987949141.5544,1836971013217.8367,296664321106.92804,296652122509.54596,-16935923.717185058,70766329.30180235,0.005947536126421813,46952135333.19943,40258024661.50748,668443146671.1404,265502521564.36008,99559073705.87463,116008105806.13434,66431407364.572655,58164467576.15813,35670782032.64372,439998284425.96204,46952181298.6492,40258223028.64873,668429314086.7095,265499547943.19345,99558424770.91463,116008159103.53455,66431446038.908104,58164573097.08608,35671093973.3639,439998049876.8281,0.9072470002424482,0.907247332202406,3.319599578599508e-07,3.995135372956893e-06,0.027526719487495813
80.5%,2.89,0.3128897569432405,84.6370529253343,0.876862693778014,1876331485077.309,1876316559720.794,311931897366.57825,311918974983.51886,-14925356.514433594,74485225.93701968,0.0563562911131693,46902074288.13284,40078046646.786255,697989214347.4911,271355040784.81946,99838015052.7173,116854980630.62787,66449571675.26956,58187129361.42408,37762026422.52887,440915385867.51154,46902250865.62452,40078205615.03699,697971548486.3293,271351518763.29437,99837857080.04333,116860301164.14368,66450194260.87888,58187423616.11472,37762410626.69936,440914849242.62976,0.9053227592193278,0.9053229680443777,2.0882505010977326e-07,4.172148223447785e-06,0.25080326830824096
81.0%,2.98,0.13999999999999987,84.93959462855472,0.5861721750209059,1919304532632.1838,1919289956537.725,337783769510.2471,337774689093.3094,-14576094.458171386,78590121.93353926,0.06533746225071208,47109352377.72493,40207213068.00399,741036940568.1494,269863341974.54892,99873952795.27928,117236750552.78914,66486279168.09559,58193541576.97765,39199588625.06638,440097571925.5486,47109608581.74079,40207571789.83152,741018296825.0837,269859030698.64172,99873979363.20801,117243914159.49245,66487119169.55744,58194140822.600784,39200058010.842636,440096237116.7273,0.9039921424277358,0.9039921516803453,9.252609689536228e-09,4.397238930580192e-06,0.6598606407090197
81.5%,3.0,0.0,85.00040728291422,0.5265467077870096,1921525042991.915,1921510205170.9795,336753662499.0784,336744730777.9838,-14837820.935109863,78559480.93099627,0.05082332653297752,47151032711.83867,40176125053.16853,742809607402.9297,270748307670.0284,99797852121.1381,117414948167.36093,66481040697.90459,58207948513.18195,39295578479.403564,439442602174.9606,47151304181.75677,40176471463.959236,742790616292.3207,270743746548.2074,99797857896.55429,117422614103.88269,66481875063.165276,58208552906.69258,39296064762.47806,439441101951.9637,0.9039201935584248,0.9039202140195536,2.0461129141002844e-08,4.397951184675023e-06,0.6132542176643868
82.0%,3.04,0.1959591794226541,85.13504968853412,0.6065865698735622,2032493294749.6252,2032473504898.9355,659951028283.8783,659931225569.0847,-19789850.689731445,96322493.18941987,0.04284956892471004,49475488482.33943,40139523776.83445,846111862298.0289,276067516704.6076,99938159736.82619,116948243166.73114,66561670849.955246,58795135538.86078,39688812439.922516,438766881755.5193,49475850115.89873,40140631022.034874,846094778812.3573,276056564304.5737,99938130492.83617,116955248715.35841,66562528258.43362,58795832924.530205,39689299877.02289,438764640375.88983,0.9016301241168955,0.9016305285635805,4.044466852726192e-07,5.458663950509814e-06,0.5157933846475856
82.5%,3.11,0.3128897569432405,85.36575264887324,0.8037512622791628,2312943388943.071,2312923041180.15,1271237139561.569,1271297836066.1426,-20347762.92164795,190233690.1873376,0.018002461636592713,53709007958.78717,41453954493.63364,1106857533782.1958,289229056522.96216,100036869629.58603,116041745717.09367,66681975566.96903,59103465294.619865,41065581224.03257,438764198753.1914,53709713401.07079,41455086011.37273,1106853097492.928,289207292968.51263,100036921747.54124,116048884720.92427,66682747014.11771,59104385866.20259,41066074355.22401,438758837602.2556,0.8954297977784366,0.8954310846294024,1.2868509663011006e-06,6.965773007787798e-06,0.15360733419330938
83.0%,3.35,0.4769696007084725,86.08423813826045,1.1318755423618905,3120806805349.5996,3120750907938.1826,1920561959627.8088,1920429397994.2039,-55897411.41755127,490129868.89216685,0.08009979252151697,69407320019.85849,43270680714.60103,1845249941249.2075,330847749429.2466,100672650837.15092,114166713017.79826,66861203905.91909,61172158369.24192,45553040598.40872,443605347208.1668,69411352045.33382,43271677293.53449,1845215915848.7344,330813168857.6536,100672658287.56384,114177572774.1812,66861831302.74656,61173764243.93164,45553439342.3439,443599527942.1584,0.8774848424001821,0.8774861314016116,1.2890014300348528e-06,8.147726049578076e-06,0.19846627399600303
83.5%,3.69,0.46249324319388696,87.06570862481254,1.0094657555526008,4462012633153.836,4461965452768.468,2432725160737.594,2432638968801.563,-47180385.37356201,529091112.0994588,0.31207984904087294,94409568180.392,46161427933.2139,3086216135687.9604,396240364415.6704,101345114719.2716,110476442320.30092,67716332535.82966,63811533121.188324,50059529708.27994,445576184531.7315,94417513290.80559,46161434172.86626,3086200980117.92,396194083788.8243,101346771424.95018,110485132149.87933,67716949388.065285,63814971168.11355,50059770450.573944,445567846816.4677,0.8520641554988316,0.8520660282160104,1.8727171793431197e-06,1.3839625342454242e-05,0.19488989682868574
84.0%,3.91,0.2861817604250836,87.67498027391736,0.6494537704594944,5293468667204.5625,5293460593371.355,2366908293497.854,2366918558842.5684,-8073833.212480469,580074300.7118396,0.8231532975996094,112706329104.54375,49306099411.37924,3846368888914.3457,436333519317.4627,101476364151.03601,108224970982.93399,67957959828.85527,65605776171.90601,52647466223.91235,452841293098.1906,112719407391.0352,49307975765.63347,3846401319447.5967,436273990689.0393,101477951383.01724,108228842952.5835,67957947505.03774,65610579536.09541,52647629016.03987,452834949685.2743,0.8336231010084595,0.8336244503730663,1.3493646074203003e-06,1.5184793479722973e-05,0.288034904457934
84.5%,4.0,0.0,87.90926382376712,0.38085054402906793,5593990964772.335,5594015949303.508,2199667145561.731,2199718311651.7275,24984531.168955076,655762515.8227179,0.8124671821144986,120174607168.83447,50053028595.60705,4119455109578.911,453688218580.8848,101369920195.4627,107701217355.86603,67964575998.35507,66406985174.46387,53184142947.3561,453993159176.5954,120189370351.3423,50055463585.4819,4119523860118.967,453624478136.6855,101371341093.87234,107703750062.59122,67964359495.42587,66411000223.06244,53184221505.34082,453988104730.7372,0.8273399822796756,0.8273411072987321,1.1250190568745655e-06,1.5731841732948447e-05,0.358601729152343
