,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,2357616248284.5483,2362738084124.7,5121835840.151855
dim11,1884739907400.3992,1882122968074.2888,-2616939326.110352
dim12,2109763837323.865,2110351480526.831,587643202.9660645
dim13,2133119373887.6528,2137277606574.9824,4158232687.32959
dim14,2139480672871.128,2144528620108.5376,5047947237.409668
dim15,1997860342877.9104,1997460218196.004,-400124681.9064941
dim16,2037185152354.4224,2046814609683.6584,9629457329.236084
dim17,2234307418317.142,2248430425888.2275,14123007571.08545
dim18,2186772465032.35,2202790483782.73,16018018750.379885
dim19,2207027810989.5747,2226447848908.6265,19420037919.05176
dim20,2262572862682.713,2283897737587.5195,21324874904.80664
dim21,2228737417624.072,2245574934015.819,16837516391.74707
dim22,2275347722968.874,2295228262962.119,19880539993.24512
dim23,2348810104036.378,2373911067286.249,25100963249.871094
dim24,2338261379283.736,2358312709073.251,20051329789.515137
dim25,2237718545784.734,2268037631086.0234,30319085301.28955
dim26,2187221603783.309,2211345249598.8613,24123645815.552246
dim27,2095679443990.4607,2116046748133.62,20367304143.158936
dim28,2006967711680.724,2025491651163.3647,18523939482.640625
dim29,1959510936342.148,1975667560484.7097,16156624142.561768
dim30,1925438534647.9268,1942927610009.5369,17489075361.610107
dim31,1909072214715.1584,1922056505290.9104,12984290575.751951
dim32,1896368975565.7507,1909243751653.3423,12874776087.591553
dim33,1880807000291.8464,1894756898925.025,13949898633.178469
dim34,1868483968676.629,1875544604466.49,7060635789.86084
dim35,1849717133698.772,1858150960227.9287,8433826529.156738
dim36,1820173099240.048,1829518078341.9968,9344979101.94873
dim37,1793680669500.21,1800123636878.7688,6442967378.558838
dim38,1781919669544.2832,1788710522563.3735,6790853019.090332
dim39,1768506492235.7769,1772570809152.0376,4064316916.260742
dim40,1770172012675.2566,1774679102463.416,4507089788.159424
dim41,1755174945622.209,1758165542301.1982,2990596678.989258
dim42,1744463023769.991,1748502700566.6687,4039676796.6777344
dim43,1733252711232.4363,1737672283919.3418,4419572686.905518
dim44,1723010051228.196,1725930563046.2468,2920511818.050781
dim45,1714459577466.1753,1719616657607.4724,5157080141.297119
dim46,1709512507982.9014,1710909080233.18,1396572250.2785645
dim47,1700904666068.4072,1704153793663.9253,3249127595.5180664
dim48,1702321418015.6152,1703595486391.1404,1274068375.5251465
dim49,1706855841764.1316,1710953960583.9373,4098118819.805664
dim50,1708256758433.1072,1710776630188.019,2519871754.911865
dim51,1709651240955.1924,1714952506201.4963,5301265246.303955
dim52,1708933663422.4717,1712734560198.3586,3800896775.886963
dim53,1703887421362.564,1708132952019.7063,4245530657.142334
dim54,1694717704681.1057,1696886495918.537,2168791237.4313965
dim55,1689392928493.8564,1691989768128.3284,2596839634.471924
dim56,1682361572361.6917,1685830238087.7356,3468665726.0439453
dim57,1679186964910.7568,1682336242060.8596,3149277150.102783
dim58,1673666851756.985,1675741145891.4153,2074294134.430176
dim59,1667950175625.9092,1670024784166.074,2074608540.164795
dim60,1663061842073.3938,1665347182522.1816,2285340448.787842
dim61,1656807853961.1997,1658394762639.3982,1586908678.1984863
dim62,1647162174039.0278,1648512536207.1428,1350362168.1149902
dim63,1637681844191.624,1636727815526.2458,-954028665.3781738
dim64,1627606519049.5984,1628392904380.2268,786385330.628418
dim65,1617161145446.5168,1617686457085.7258,525311639.2089844
dim66,1606477461943.5571,1605600292375.2002,-877169568.3569336
dim67,1598951292734.5488,1599337784294.205,386491559.65625
dim68,1595587284074.5862,1595881176519.211,293892444.62475586
dim69,1587689016957.8557,1587990376477.3347,301359519.4790039
dim70,1586049742956.8557,1585742500045.288,-307242911.5676269
dim71,1581171502061.7173,1582627311928.9026,1455809867.1853027
dim72,1579754218107.3906,1579642668263.1643,-111549844.22631836
dim73,1575006963487.4226,1575068851024.6365,61887537.21386719
dim74,1571523986176.471,1571918460399.1978,394474222.7268066
dim75,1570150096851.8235,1569854655675.9832,-295441175.84033203
dim76,1567162613998.9534,1566698934107.9702,-463679890.9831543
dim77,1563313663540.5193,1563586311431.9883,272647891.46899414
dim78,1558548333101.6938,1557895082447.451,-653250654.2429199
dim79,1551302440822.2654,1550693600696.9844,-608840125.2810059
dim80,1540528485572.1453,1538828788774.6248,-1699696797.5205078
dim81,1531465023803.0212,1530808736714.4312,-656287088.5900879
dim82,1523540297390.0264,1523130886975.3877,-409410414.6386719
dim83,1521219110205.2444,1519364149875.4631,-1854960329.78125
dim84,1514086438534.3557,1512942444173.478,-1143994360.8776855
dim85,1511243495461.1912,1508844451034.4775,-2399044426.713623
dim86,1508006431684.7612,1507643093228.8582,-363338455.9030762
dim87,1504796620648.2107,1503391497755.0444,-1405122893.1662598
dim88,1503160201834.4888,1501458801300.378,-1701400534.1108398
dim89,1499875274173.058,1497223837983.685,-2651436189.373047
dim90,1495778896047.855,1493874252040.883,-1904644006.971924
dim91,1491512338750.6565,1489161758985.3865,-2350579765.2700195
dim92,1486552345194.9111,1485219437917.325,-1332907277.5861816
dim93,1482173157906.5518,1479671885713.5002,-2501272193.0515137
dim94,1477825540406.2776,1475787080135.7,-2038460270.5776367
dim95,1474008249227.6252,1470688854345.9822,-3319394881.6430664
dim96,1469954337239.1155,1467813376382.485,-2140960856.630371
dim97,1469379909740.3845,1465907485927.872,-3472423812.512451
dim98,1466455461805.366,1463329558841.626,-3125902963.73999
dim99,1463051834249.8972,1460350703518.4417,-2701130731.4555664
dim100,1461645161197.671,1459295476747.3877,-2349684450.283203
dim101,1458138661279.9668,1455163801680.088,-2974859599.8789062
dim102,1458487287328.4998,1455633781511.2693,-2853505817.2304688
dim103,1460201407584.041,1457011287787.199,-3190119796.842041
dim104,1460846093754.087,1457956150029.2737,-2889943724.8132324
dim105,1460041140184.442,1456712997519.559,-3328142664.8828125
dim106,1460511065980.2087,1458173161617.5298,-2337904362.678955
dim107,1463293201434.2063,1460592436797.607,-2700764636.599365
dim108,1465312573791.5032,1462277697857.6057,-3034875933.897461
dim109,1463102824449.7517,1460127287406.5437,-2975537043.208008
dim110,1463046178588.9502,1460329851276.926,-2716327312.02417
dim111,1461831052651.88,1459720074697.6653,-2110977954.2146
dim112,1461838791134.626,1459057503684.7993,-2781287449.82666
dim113,1462228848099.5288,1458957250329.2344,-3271597770.2944336
dim114,1460834928331.5862,1457833531649.7073,-3001396681.8789062
dim115,1459426895442.6274,1456012298434.809,-3414597007.8183594
dim116,1460596085149.849,1456814156247.1094,-3781928902.739746
dim117,1463268130736.7046,1459772967558.5596,-3495163178.1450195
dim118,1464651332823.185,1461702263394.0984,-2949069429.08667
dim119,1464050862718.4368,1460516899591.219,-3533963127.2177734
dim120,1464300530726.7854,1460532484155.3423,-3768046571.443115
dim121,1465903755213.6306,1462328893695.203,-3574861518.4277344
dim122,1466770144734.4485,1463141504264.9204,-3628640469.528076
dim123,1463504041838.0469,1459877266951.8535,-3626774886.19336
dim124,1461912091841.0488,1458070129405.1057,-3841962435.943115
dim125,1461717341564.8694,1457637413606.5916,-4079927958.277832
dim126,1463495430734.706,1459380637167.479,-4114793567.227051
dim127,1463697073609.0012,1460213539985.0493,-3483533623.9519043
dim128,1461720646078.0913,1458769470266.6897,-2951175811.401612
dim129,1463084287384.2632,1459177583271.6384,-3906704112.624756
dim130,1462835064644.4646,1459323415905.843,-3511648738.621582
dim131,1465618116831.9778,1462575564976.1694,-3042551855.8083496
dim132,1467175710625.8257,1463785537192.579,-3390173433.246582
dim133,1468653848814.392,1465370533975.0732,-3283314839.318848
dim134,1469817894947.2217,1467178186009.1604,-2639708938.06128
dim135,1471423557021.846,1468194367219.3792,-3229189802.466797
dim136,1472350414224.6384,1469285878748.5662,-3064535476.0722656
dim137,1471672527266.8962,1467701706973.531,-3970820293.3652334
dim138,1470895449667.9255,1466983693260.7537,-3911756407.171875
dim139,1472573560030.2195,1469166910603.38,-3406649426.8396
dim140,1471560757228.218,1468049431890.5747,-3511325337.6433105
dim141,1471217307915.5862,1467511740679.4004,-3705567236.185791
dim142,1469803917193.8325,1465505326006.6057,-4298591187.226807
dim143,1469236011686.9497,1465529679989.796,-3706331697.1538086
dim144,1467818291726.9734,1463981568735.4932,-3836722991.4802246
dim145,1467117875264.7112,1464227901672.1726,-2889973592.538574
dim146,1469054486546.007,1466276164373.817,-2778322172.190185
dim147,1468401230285.381,1465164930940.4712,-3236299344.909912
dim148,1470521714718.2812,1468275239091.9138,-2246475626.367432
dim149,1470308046854.9473,1467514137742.9863,-2793909111.960937
dim150,1469872957720.1174,1466929099203.0168,-2943858517.100586
