,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.87,0.33630343441600447,83.79155078047343,0.9940039920189742,1781550128730.6013,1781546889337.8127,100639091852.0556,100644275839.77132,-3239392.7887182618,10217627.041932473,0.00015334083624479904,44910017296.19711,39952487692.633545,641141127708.4214,244883949032.0831,99934225763.66664,116227886505.91658,65207390785.39733,57267655106.60035,38680017284.199646,433345371555.48596,44910029474.14584,39952406523.38848,641134996376.0042,244881794408.054,99934635377.60168,116233277485.1268,65207429203.55473,57267669479.47662,38680014322.75132,433344636687.7097,0.9088666567338431,0.9088667034693647,4.6735521987972816e-08,5.871221047434817e-07,0.12515445955953292
80.5%,2.99,0.09949874371066199,84.19062742157662,0.3362767474545365,1817098368634.4421,1817097091880.8293,117327516857.02989,117335743329.24431,-1276753.6132666015,12877677.745993363,0.04882002072628644,45058324193.53585,40005085477.3454,676623956423.2054,242491676316.97647,99864782169.88481,116832512437.54906,65276972951.83301,57351471096.08064,40628103252.27769,432965484315.7543,45058336010.31104,40005005812.84634,676617134560.6173,242489355824.27158,99865262802.50844,116840483493.82059,65276977516.63655,57351514113.08696,40628133319.03323,432964888427.6976,0.9075718364171977,0.9075717334839162,-1.0293328106980581e-07,7.120881507702689e-07,0.4576765516449649
81.0%,3.0,0.0,84.2236417445916,0.22822456589655207,1820655043298.305,1820654596701.7932,120105831140.04826,120115307467.5802,-446596.5122680664,14513328.565622238,0.09608261214226986,45080143429.80785,40013147365.13625,680111736085.3645,242301280970.77347,99842825834.08098,116937997889.42189,65281864655.96006,57354357079.06564,40830652461.53872,432901037527.156,45080154151.60492,40013067128.05757,680105027755.934,242298941946.7419,99843310812.372,116946685409.42046,65281867390.04321,57354405934.92805,40830690828.40047,432900445344.291,0.9074435357066948,0.9074433925734589,-1.431332353796222e-07,7.752686440941708e-07,0.3055421446183436
81.5%,3.0,0.0,84.2236417445916,0.22822456589655207,1820655043298.305,1820654596701.7932,120105831140.04826,120115307467.5802,-446596.5122680664,14513328.565622238,0.09608261214226986,45080143429.80785,40013147365.13625,680111736085.3645,242301280970.77347,99842825834.08098,116937997889.42189,65281864655.96006,57354357079.06564,40830652461.53872,432901037527.156,45080154151.60492,40013067128.05757,680105027755.934,242298941946.7419,99843310812.372,116946685409.42046,65281867390.04321,57354405934.92805,40830690828.40047,432900445344.291,0.9074435357066948,0.9074433925734589,-1.431332353796222e-07,7.752686440941708e-07,0.3055421446183436
82.0%,3.0,0.0,84.2236417445916,0.22822456589655207,1820655043298.305,1820654596701.7932,120105831140.04826,120115307467.5802,-446596.5122680664,14513328.565622238,0.09608261214226986,45080143429.80785,40013147365.13625,680111736085.3645,242301280970.77347,99842825834.08098,116937997889.42189,65281864655.96006,57354357079.06564,40830652461.53872,432901037527.156,45080154151.60492,40013067128.05757,680105027755.934,242298941946.7419,99843310812.372,116946685409.42046,65281867390.04321,57354405934.92805,40830690828.40047,432900445344.291,0.9074435357066948,0.9074433925734589,-1.431332353796222e-07,7.752686440941708e-07,0.3055421446183436
82.5%,3.0,0.0,84.2236417445916,0.22822456589655207,1820655043298.305,1820654596701.7932,120105831140.04826,120115307467.5802,-446596.5122680664,14513328.565622238,0.09608261214226986,45080143429.80785,40013147365.13625,680111736085.3645,242301280970.77347,99842825834.08098,116937997889.42189,65281864655.96006,57354357079.06564,40830652461.53872,432901037527.156,45080154151.60492,40013067128.05757,680105027755.934,242298941946.7419,99843310812.372,116946685409.42046,65281867390.04321,57354405934.92805,40830690828.40047,432900445344.291,0.9074435357066948,0.9074433925734589,-1.431332353796222e-07,7.752686440941708e-07,0.3055421446183436
83.0%,3.26,0.43863424398922635,85.01866851008977,1.1804351780559161,2804578189791.9805,2804567601824.7954,1636229595458.791,1636210109045.2666,-10587967.187226562,45175017.090429366,0.021240745629242976,63102261598.6561,41908354207.17336,1588911890060.1084,292304924714.32465,99990255777.52113,113118856408.88791,65738695790.268906,59916154221.38964,44857007574.76995,434729789438.8812,63103421339.84646,41907526413.401955,1588896862228.7822,292298555424.1111,99990676075.2092,113128908290.08092,65738660628.13926,59916594397.23434,44857062204.18342,434729334823.8068,0.8856797498750879,0.885679734128408,-1.5746679783434913e-08,1.636613507528726e-06,0.3055421446183436
83.5%,3.92,0.27129319932501095,86.9244114711974,0.6804806757974248,5249283004935.013,5249257895882.751,1128475905380.3188,1128452733512.9663,-25109052.262717284,73961146.72248946,0.00016429462809814895,112756075610.74036,49299270044.74809,3825113522365.3037,428222246347.60266,100011855334.5449,103250729353.22733,67281199144.93555,66011165312.748886,51729839734.35216,445607101686.80914,112763002435.97404,49297309867.50791,3825080814429.37,428217672266.82166,100012199756.66219,103254864948.27795,67281181241.99234,66012815761.31424,51729857640.027336,445608177534.803,0.829908022193464,0.8299072374701311,-7.847233329449921e-07,4.044495930687743e-06,0.1285764395425518
84.0%,4.0,0.0,87.14290624050905,0.1545615659328424,5538802807118.633,5538774156970.104,595633188169.9849,595605798418.0306,-28650148.530239258,74766137.67920455,2.7733863482427985e-05,119392535825.77701,50077958015.11534,4087201902963.0264,445939801823.77795,99917400556.21918,102467357946.75766,67479287139.740295,66971005991.37597,52136044949.51845,447219511907.32477,119400472452.58359,50075976392.02408,4087167559340.6646,445934833036.12024,99917734916.42615,102470244905.46736,67479274112.94194,66972944192.773026,52136040808.27005,447219076812.8312,0.8233375112165072,0.8233367597064779,-7.515100289978704e-07,4.141838190928805e-06,0.170097181820957
84.5%,4.0,0.0,87.14290624050905,0.1545615659328424,5538802807118.633,5538774156970.104,595633188169.9849,595605798418.0306,-28650148.530239258,74766137.67920455,2.7733863482427985e-05,119392535825.77701,50077958015.11534,4087201902963.0264,445939801823.77795,99917400556.21918,102467357946.75766,67479287139.740295,66971005991.37597,52136044949.51845,447219511907.32477,119400472452.58359,50075976392.02408,4087167559340.6646,445934833036.12024,99917734916.42615,102470244905.46736,67479274112.94194,66972944192.773026,52136040808.27005,447219076812.8312,0.8233375112165072,0.8233367597064779,-7.515100289978704e-07,4.141838190928805e-06,0.170097181820957
