,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.74,0.4386342439892262,83.49061837899644,1.2669808922820138,1784240129355.2063,1784237249071.3892,143846795505.30524,143850978436.66833,-2880283.8176293946,13451030.841433778,0.0010374753182760608,45251447505.03418,39977583651.10974,638744868100.4012,251054257157.03064,100522837278.50027,114890714565.12366,65239399606.23721,57405597259.401215,37279578518.69434,433873845713.6741,45251430111.94602,39977707008.165344,638740179888.8527,251051973738.97275,100523259381.37021,114894706910.8116,65239375840.920616,57405601536.05449,37279623073.37133,433873391580.9235,0.9088359195268447,0.9088358605808355,-5.894600925815397e-08,8.102258791551769e-07,0.5202456779483677
80.5%,2.97,0.17058722109231983,84.26153606424525,0.5161279299956697,1829082519727.4922,1829078482187.5242,156419863357.98676,156423129226.86853,-4037539.968293457,41665676.80662491,0.14205948812602384,45267454665.355896,39816415616.42691,683405299906.4945,248225511100.30927,100318412844.35172,116088707907.75822,65396820368.30923,57526253326.971405,40014426035.10603,433023217956.40985,45267471475.740906,39816541926.538574,683398622473.6373,248222412736.13657,100318911411.65646,116098842492.66914,65396806228.14333,57526326029.71114,40014524706.04426,433018022707.2467,0.9071325681252858,0.9071326053955505,3.727026467781336e-08,2.95724364929775e-06,0.10461306570522193
81.0%,3.0,0.0,84.3585077048765,0.3148188982680837,1839705044007.7654,1839699971452.4197,161908859533.09454,161911664814.5123,-5072555.345964355,42482792.12034279,0.09608261214226986,45312069776.31219,39862830085.43967,693886582079.7864,247611290240.80353,100284958195.42444,116496523177.1059,65397336568.35398,57552284054.894905,40483582675.72973,432817587153.9155,45312114246.029884,39862978081.640495,693878592108.3972,247608228928.15036,100285486648.16882,116506919397.96196,65397320108.45645,57552362636.73183,40483687572.72843,432812281724.15454,0.906770963518377,0.9067710100079697,4.648959244346607e-08,2.9679390381231467e-06,0.15065555303262182
81.5%,3.0,0.0,84.3585077048765,0.3148188982680837,1839705044007.7654,1839699971452.4197,161908859533.09454,161911664814.5123,-5072555.345964355,42482792.12034279,0.09608261214226986,45312069776.31219,39862830085.43967,693886582079.7864,247611290240.80353,100284958195.42444,116496523177.1059,65397336568.35398,57552284054.894905,40483582675.72973,432817587153.9155,45312114246.029884,39862978081.640495,693878592108.3972,247608228928.15036,100285486648.16882,116506919397.96196,65397320108.45645,57552362636.73183,40483687572.72843,432812281724.15454,0.906770963518377,0.9067710100079697,4.648959244346607e-08,2.9679390381231467e-06,0.15065555303262182
82.0%,3.0,0.0,84.3585077048765,0.3148188982680837,1839705044007.7654,1839699971452.4197,161908859533.09454,161911664814.5123,-5072555.345964355,42482792.12034279,0.09608261214226986,45312069776.31219,39862830085.43967,693886582079.7864,247611290240.80353,100284958195.42444,116496523177.1059,65397336568.35398,57552284054.894905,40483582675.72973,432817587153.9155,45312114246.029884,39862978081.640495,693878592108.3972,247608228928.15036,100285486648.16882,116506919397.96196,65397320108.45645,57552362636.73183,40483687572.72843,432812281724.15454,0.906770963518377,0.9067710100079697,4.648959244346607e-08,2.9679390381231467e-06,0.15065555303262182
82.5%,3.01,0.09949874371066197,84.39167316828402,0.3919917701806639,1869760209852.6921,1869754594669.6963,329856959131.318,329853826993.1826,-5615182.996430664,42796883.64912827,0.07546728203192894,46020906724.180695,39866895907.22294,720823064311.4792,249918823578.52032,100274483936.1262,116345511645.46008,65398131524.13437,57684078178.69984,40617589076.71165,432810724970.15784,46021067753.4367,39867031000.835785,720815121589.0961,249915021131.2471,100275013139.95926,116355904660.60664,65398115424.47663,57684165608.78368,40617692206.144104,432805462155.1103,0.9060047452604563,0.9060048323835642,8.712310766378905e-08,2.9942695530587225e-06,0.20453314479183926
83.0%,3.34,0.47370877129308087,85.4021012616444,1.2272363785179192,3159796450623.438,3159784273748.6436,1881645481793.0396,1881632126034.1104,-12176874.794267578,91193956.73697038,0.22223549128693643,68200124864.10656,42157850845.217545,1918832854332.8918,311395573108.17334,100500906932.80135,112021760970.18059,66005012799.95389,60870549755.55054,45555661884.19039,434256155130.3709,68202295784.5133,42159206220.98428,1918825491061.0674,311382671647.4978,100501349195.5637,112031025856.92775,66004994730.215,60870974854.04862,45555732370.5892,434250532027.2366,0.8794147123868674,0.8794148075676098,9.518074201908533e-08,5.505867582539353e-06,0.8824627520873338
83.5%,3.83,0.37563279941985916,86.81264484680132,0.9163459536858434,5002300309461.93,5002286778549.506,1699823331251.9,1699793869619.9197,-13530912.42283203,117323116.01375128,0.6278155248427884,107871738660.92047,47996865546.451,3597746904920.726,413431542015.74054,100643526518.66621,105009175214.47337,66986460361.05242,64919868794.46442,50859265242.79368,446834962186.6401,107878784814.55336,47997704536.234245,3597733345940.0757,413415705275.74756,100643959385.26021,105012985610.06201,66986434471.29303,64921392857.94858,50859296690.09668,446837168968.2333,0.8374072453579439,0.8374066559036539,-5.894542898587929e-07,6.054073836044798e-06,0.33914584701611805
84.0%,4.0,0.0,87.27494522974034,0.209245765952481,5731677425878.537,5731667558674.626,1316524105318.751,1316510839345.1453,-9867203.909125976,124714782.96781798,0.7206533187202941,121876101578.96304,49917627522.43371,4271567477099.455,448547918467.98334,100604391803.22514,102967023105.01097,67325414911.92628,66503379181.66618,52006805926.83216,450361286281.0402,121885223923.46812,49917874125.841156,4271557770825.8457,448532020108.4817,100604813532.44936,102968624753.08864,67325367635.953705,66505178465.07531,52006797364.33708,450363887940.0834,0.8232158637124999,0.8232151020290875,-7.616834123680416e-07,6.3925531708655285e-06,0.29749865120626195
84.5%,4.0,0.0,87.27494522974034,0.209245765952481,5731677425878.537,5731667558674.626,1316524105318.751,1316510839345.1453,-9867203.909125976,124714782.96781798,0.7206533187202941,121876101578.96304,49917627522.43371,4271567477099.455,448547918467.98334,100604391803.22514,102967023105.01097,67325414911.92628,66503379181.66618,52006805926.83216,450361286281.0402,121885223923.46812,49917874125.841156,4271557770825.8457,448532020108.4817,100604813532.44936,102968624753.08864,67325367635.953705,66505178465.07531,52006797364.33708,450363887940.0834,0.8232158637124999,0.8232151020290875,-7.616834123680416e-07,6.3925531708655285e-06,0.29749865120626195
85.0%,4.0,0.0,87.27494522974034,0.209245765952481,5731677425878.537,5731667558674.626,1316524105318.751,1316510839345.1453,-9867203.909125976,124714782.96781798,0.7206533187202941,121876101578.96304,49917627522.43371,4271567477099.455,448547918467.98334,100604391803.22514,102967023105.01097,67325414911.92628,66503379181.66618,52006805926.83216,450361286281.0402,121885223923.46812,49917874125.841156,4271557770825.8457,448532020108.4817,100604813532.44936,102968624753.08864,67325367635.953705,66505178465.07531,52006797364.33708,450363887940.0834,0.8232158637124999,0.8232151020290875,-7.616834123680416e-07,6.3925531708655285e-06,0.29749865120626195
