,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,2784661832399.408,2791372806725.888,6710974326.47998
dim11,2282327304167.6143,2283316266886.82,988962719.2055664
dim12,2233069805014.3325,2236762803204.6235,3692998190.291016
dim13,2230746106759.094,2238472338562.3027,7726231803.208496
dim14,2134811598382.8936,2144831803596.25,10020205213.356443
dim15,2078495621410.9136,2088580496559.3176,10084875148.404053
dim16,2048250722717.3044,2059309672940.142,11058950222.837646
dim17,2088295366388.711,2103704367367.142,15409000978.431152
dim18,2074005945214.416,2091437958033.6863,17432012819.270264
dim19,2054597168014.925,2072966755324.204,18369587309.279053
dim20,2028214185975.9707,2047934898956.653,19720712980.682373
dim21,2010745379074.329,2027693096618.8984,16947717544.569336
dim22,1978546731624.2808,1997069779140.446,18523047516.164795
dim23,1958414264846.7144,1977325889234.988,18911624388.27368
dim24,1933737341582.216,1951999994643.5225,18262653061.3064
dim25,1911109948907.452,1928583928643.5984,17473979736.146484
dim26,1881243461616.635,1897594155870.093,16350694253.458008
dim27,1869477967913.3303,1886823704834.317,17345736920.986572
dim28,1845636884557.8296,1860067545672.866,14430661115.036377
dim29,1830343849045.856,1845253513490.1228,14909664444.266846
dim30,1815579916312.2144,1829699208453.9104,14119292141.696045
dim31,1796530614890.1294,1809505818779.8728,12975203889.743408
dim32,1778455346992.781,1791256477334.2776,12801130341.496582
dim33,1767541210099.333,1778394597836.089,10853387736.756104
dim34,1760174737546.6165,1770885867681.4338,10711130134.817385
dim35,1746911450846.6875,1754412390460.435,7500939613.747559
dim36,1733374984430.964,1743086869424.032,9711884993.067871
dim37,1720193720111.495,1728160619380.1455,7966899268.650391
dim38,1709482857630.5122,1716999240482.241,7516382851.72876
dim39,1695135301264.8418,1701547323618.5078,6412022353.666016
dim40,1688068073441.4712,1694028515335.7434,5960441894.272217
dim41,1683013371139.2688,1689568984576.606,6555613437.337158
dim42,1675548927067.535,1680534989321.3992,4986062253.864258
dim43,1665635915002.6328,1670781785851.209,5145870848.576172
dim44,1660805657493.067,1667083669135.3372,6278011642.270264
dim45,1659622888548.9033,1663620185089.4546,3997296540.5512695
dim46,1650504620586.2046,1654608537260.423,4103916674.218506
dim47,1642760642721.8784,1646520040684.0042,3759397962.125733
dim48,1631555623035.6968,1634160775677.7666,2605152642.069824
dim49,1629340638747.9563,1631878144660.4287,2537505912.472412
dim50,1628203271652.576,1631184399441.8662,2981127789.290283
dim51,1620321126939.5046,1623232717763.7476,2911590824.24292
dim52,1609348189917.8284,1611378611670.054,2030421752.225586
dim53,1603042197500.9016,1603995517634.9165,953320134.0148926
dim54,1594288352745.9062,1594970337314.7234,681984568.8171387
dim55,1591639628734.994,1592388839068.0728,749210333.0788574
dim56,1580981238671.4275,1581062619884.5984,81381213.17089844
dim57,1573151990979.921,1572916201812.7407,-235789167.18017572
dim58,1573254970746.2468,1572156322869.691,-1098647876.5559082
dim59,1565745021925.4875,1565191675125.192,-553346800.2956543
dim60,1563517489904.041,1561231506515.5603,-2285983388.480713
dim61,1558897220409.6597,1556539872156.985,-2357348252.6745605
dim62,1554980568198.114,1553395274353.4268,-1585293844.687256
dim63,1556827694752.1738,1554086542003.5188,-2741152748.6550293
dim64,1552801744057.4834,1550092447588.8003,-2709296468.683105
dim65,1546845876323.7146,1543698528476.3623,-3147347847.352295
dim66,1543897268825.9675,1540717265216.955,-3180003609.012451
dim67,1540775012933.8694,1537698001052.078,-3077011881.791504
dim68,1539916436374.9875,1537161104931.211,-2755331443.776612
dim69,1540087168345.9275,1537298602960.6543,-2788565385.2731934
dim70,1537918722961.9338,1535232085052.7568,-2686637909.177002
dim71,1533660046685.7512,1530559968770.215,-3100077915.536133
dim72,1527582632433.3406,1524208482369.8738,-3374150063.466797
dim73,1527277358663.5984,1523884997392.7534,-3392361270.8449707
dim74,1523966213616.1704,1520490346873.9092,-3475866742.2612305
dim75,1522495675238.4788,1519300014331.5771,-3195660906.901612
dim76,1518753363148.9265,1515391250876.0747,-3362112272.851806
dim77,1517637636454.0637,1513635795786.8235,-4001840667.2402334
dim78,1513781340570.0627,1509759683918.017,-4021656652.0456543
dim79,1510535075444.0242,1506557087766.6543,-3977987677.369873
dim80,1515008913160.0256,1511214857739.8623,-3794055420.16333
dim81,1514206881209.3516,1510430593935.85,-3776287273.501465
dim82,1512949896407.0312,1508931198396.2412,-4018698010.790039
dim83,1511344118194.0603,1507089526591.2012,-4254591602.859131
dim84,1512907658000.8228,1508881502957.6533,-4026155043.1694336
dim85,1513361292611.4524,1508685965675.382,-4675326936.0703125
dim86,1509960575468.6946,1506387084036.541,-3573491432.1535645
dim87,1508903714071.5225,1505189799964.529,-3713914106.993408
