,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,2385285528078.9536,2389479192299.5205,4193664220.566895
dim11,1968945374022.047,1956912682569.393,-12032691452.654053
dim12,2148753271231.8203,2153313998966.5144,4560727734.694092
dim13,2172565021572.0007,2177649959426.852,5084937854.85083
dim14,2161621250169.5344,2168215307460.164,6594057290.629639
dim15,2042659014617.0627,2044687102284.4329,2028087667.3701167
dim16,2072223022778.0613,2082696278453.932,10473255675.870604
dim17,2198575389104.9016,2213359752024.78,14784362919.878174
dim18,2195009167892.312,2214413881995.707,19404714103.39502
dim19,2188362605063.243,2209146532302.625,20783927239.38208
dim20,2230113074641.638,2252851403465.4683,22738328823.83008
dim21,2204482102772.13,2225581304660.8564,21099201888.72656
dim22,2219317207046.532,2244484127883.8105,25166920837.27832
dim23,2246656543400.0063,2266603821493.5728,19947278093.566406
dim24,2229358913081.82,2260014941278.2827,30656028196.46289
dim25,2179325331406.0789,2209375093011.988,30049761605.908936
dim26,2117381953030.382,2141100425119.9663,23718472089.58423
dim27,2059739641300.736,2077854247964.08,18114606663.34448
dim28,1988042337046.5632,2003708423240.2368,15666086193.673584
dim29,1952745338595.5,1968607104401.069,15861765805.569092
dim30,1916583357921.544,1928631921242.7544,12048563321.21045
dim31,1898459440661.0432,1914076397334.298,15616956673.254885
dim32,1872656114689.6392,1885063999933.31,12407885243.670898
dim33,1846698961275.353,1860122270476.057,13423309200.703856
dim34,1826582295096.9463,1839851349385.6228,13269054288.676514
dim35,1812110733069.592,1819066727891.525,6955994821.933105
dim36,1794952325287.173,1807520215989.5425,12567890702.369385
dim37,1774087536824.3372,1785356530282.7686,11268993458.431396
dim38,1766982187798.337,1773407710771.5894,6425522973.252441
dim39,1759633897559.1353,1766180010083.261,6546112524.125732
dim40,1744353523189.8984,1750544161781.3516,6190638591.453125
dim41,1732807696042.2446,1738071137181.3853,5263441139.140625
dim42,1728089762556.0222,1729887973443.7085,1798210887.6862793
dim43,1714918413689.379,1719561700430.9053,4643286741.526367
dim44,1701642424497.9634,1705710765756.165,4068341258.20166
dim45,1696946899596.6216,1700851235812.4097,3904336215.788086
dim46,1689198660399.8804,1694895031449.1472,5696371049.266846
dim47,1683086363418.6924,1686222996714.9756,3136633296.283203
dim48,1678462955402.009,1681275021804.824,2812066402.8149414
dim49,1677762729088.8347,1680806190954.167,3043461865.3322754
dim50,1678573458883.8413,1680049121731.505,1475662847.6635742
dim51,1675772405094.818,1678945889125.1206,3173484030.30249
dim52,1672895446866.501,1676199315151.1787,3303868284.6777344
dim53,1665801602409.5825,1669019291169.0293,3217688759.4467773
dim54,1660191037485.7458,1661441391135.6943,1250353649.9484863
dim55,1652590839116.3877,1654434907907.0662,1844068790.6784668
dim56,1647034584182.9397,1648355675338.3494,1321091155.409668
dim57,1641363270287.0369,1643510142001.317,2146871714.2800293
dim58,1633925877616.1477,1635008267251.1653,1082389635.017578
dim59,1623875540187.0264,1624931250382.66,1055710195.6335448
dim60,1616057016854.5928,1614233145533.0715,-1823871321.52124
dim61,1608659590982.4688,1609955448807.7417,1295857825.2729492
dim62,1603878211967.192,1604885502876.1462,1007290908.9543456
dim63,1593016981033.0227,1593305832169.0466,288851136.0239258
dim64,1583930650494.955,1584377673904.569,447023409.6140137
dim65,1579248155203.068,1579478993896.0916,230838693.0234375
dim66,1574456618660.4731,1574969220460.3574,512601799.8842773
dim67,1570422996511.2422,1569789889905.7668,-633106605.4753418
dim68,1565844212178.9944,1565475291262.1929,-368920916.8015137
dim69,1562207761553.1768,1562053914161.2295,-153847391.94726562
dim70,1558132921439.475,1557336952516.0938,-795968923.3813477
dim71,1557663407451.442,1556469355793.879,-1194051657.5629883
dim72,1553394665751.295,1552843407992.1794,-551257759.1154785
dim73,1552232821995.179,1551211198219.924,-1021623775.2548828
dim74,1548326722375.1929,1547927818919.4282,-398903455.7646485
dim75,1543220348321.0527,1541859591771.0588,-1360756549.9938965
dim76,1539657748161.7217,1538113659593.6108,-1544088568.1108398
dim77,1534060583894.0757,1532465671324.2075,-1594912569.868164
dim78,1531202604997.2654,1529880451621.34,-1322153375.925293
dim79,1523822127866.703,1522314654970.5054,-1507472896.1975098
dim80,1518751995412.4854,1516743106687.6873,-2008888724.798096
dim81,1513431831969.796,1511568714326.6738,-1863117643.1220703
dim82,1509600951158.9485,1507690792142.4487,-1910159016.499756
dim83,1506605437917.5762,1504859126030.1228,-1746311887.4533691
dim84,1503613864139.2793,1501980650698.056,-1633213441.223389
dim85,1500238411237.9248,1497888908511.7698,-2349502726.1550293
dim86,1497266620184.5154,1494292815831.8953,-2973804352.620117
dim87,1494254461910.3804,1491836637026.019,-2417824884.361328
dim88,1489199304787.4568,1486212789953.5745,-2986514833.882324
dim89,1487834424097.6328,1484170787510.7178,-3663636586.915039
dim90,1483901326551.9663,1480904605694.9062,-2996720857.0600586
dim91,1482521660678.6338,1478738400727.171,-3783259951.4628906
dim92,1479899998089.3943,1476528607768.6538,-3371390320.7404785
dim93,1476654696100.559,1473372844048.682,-3281852051.8771973
dim94,1474428783985.029,1471182324685.1123,-3246459299.916748
dim95,1473810499402.3054,1470433734199.5483,-3376765202.75708
dim96,1473816866751.085,1470807650882.9685,-3009215868.116455
dim97,1471847959183.8274,1468334258934.905,-3513700248.922364
dim98,1469466596847.8103,1465653046624.5952,-3813550223.215088
dim99,1466878300437.6812,1463781074234.9844,-3097226202.6967773
dim100,1465357683571.001,1462153547732.6553,-3204135838.345703
dim101,1465242028027.854,1461737177020.4094,-3504851007.44458
dim102,1461966905001.6538,1458608701309.2742,-3358203692.3796387
dim103,1462340717171.5889,1459027154651.2644,-3313562520.324463
dim104,1459360042515.4253,1456158420340.9734,-3201622174.4519043
dim105,1459242668714.2363,1455672501301.9033,-3570167412.333008
dim106,1460032342568.79,1457221565455.0645,-2810777113.725586
dim107,1457670124403.8794,1453644195359.5398,-4025929044.3396
dim108,1458256891238.509,1454730083109.9543,-3526808128.5546875
dim109,1456851132395.0098,1453236007261.2458,-3615125133.763916
dim110,1456532308810.9478,1452788408425.377,-3743900385.570801
dim111,1458305921939.0547,1454531814523.4487,-3774107415.605957
dim112,1458563759514.307,1454986853462.8206,-3576906051.486328
dim113,1457565667270.8245,1453825465355.5647,-3740201915.2597656
dim114,1458624896701.874,1454734100577.1504,-3890796124.723633
dim115,1459297411956.6553,1455624021311.7578,-3673390644.897461
