diff,p,mode,shuffle_ID
1473971514513.0938,0.0009990009990009,PCA,0
1483550989641.7593,0.0009990009990009,NRM,0
1417818331636.1023,0.0009990009990009,PCA,1
1439721635166.3457,0.0009990009990009,NRM,1
1552333277568.8755,0.0009990009990009,PCA,2
1561096398430.4707,0.0009990009990009,NRM,2
1454046796816.3472,0.0009990009990009,PCA,3
1441067905324.8013,0.0009990009990009,NRM,3
1518782345918.008,0.0009990009990009,PCA,4
1519364900851.4392,0.0009990009990009,NRM,4
1434731977892.5928,0.0009990009990009,PCA,5
1445838374870.0938,0.0009990009990009,NRM,5
1355420663187.9822,0.0009990009990009,PCA,6
1323040298513.943,0.0009990009990009,NRM,6
1468258123978.6968,0.0009990009990009,PCA,7
1500597771520.9124,0.0009990009990009,NRM,7
1507133697301.9587,0.0009990009990009,PCA,8
1473171868315.7983,0.0009990009990009,NRM,8
1505731137912.777,0.0009990009990009,PCA,9
1483662027159.2493,0.0009990009990009,NRM,9
1498063443596.5105,0.0009990009990009,PCA,10
1483528193311.9016,0.0009990009990009,NRM,10
1373009635604.7522,0.0009990009990009,PCA,11
1429123141531.1494,0.0009990009990009,NRM,11
1439361965333.247,0.0009990009990009,PCA,12
1444353678401.6377,0.0009990009990009,NRM,12
1469541809297.073,0.0009990009990009,PCA,13
1478482151782.19,0.0009990009990009,NRM,13
1513376384178.535,0.0009990009990009,PCA,14
1470247580087.1304,0.0009990009990009,NRM,14
1401304770673.7998,0.0009990009990009,PCA,15
1429029261987.39,0.0009990009990009,NRM,15
1432800997149.81,0.0009990009990009,PCA,16
1448895501722.2075,0.0009990009990009,NRM,16
1471603106299.6948,0.0009990009990009,PCA,17
1451732322940.2837,0.0009990009990009,NRM,17
1349417704555.6553,0.0009990009990009,PCA,18
1337625187656.5083,0.0009990009990009,NRM,18
1468390918304.6748,0.0009990009990009,PCA,19
1523908753332.4043,0.0009990009990009,NRM,19
1501083482178.302,0.0009990009990009,PCA,20
1496558923949.4534,0.0009990009990009,NRM,20
1327312542572.3103,0.0009990009990009,PCA,21
1332987161110.6797,0.0009990009990009,NRM,21
1373253512445.6855,0.0009990009990009,PCA,22
1379318872099.0164,0.0009990009990009,NRM,22
1466316906029.3557,0.0009990009990009,PCA,23
