diff,p,mode,shuffle_ID
1584964368636.1538,0.0029970029970029,PCA,0
1582450950706.6487,0.0019980019980019,NRM,0
1917602821726.4863,0.0259740259740259,PCA,1
1885492925368.566,0.0239760239760239,NRM,1
1401690058483.9065,0.0009990009990009,PCA,2
1522175638312.1953,0.0009990009990009,NRM,2
1500728353896.4438,0.0009990009990009,PCA,3
1423113617892.493,0.0009990009990009,NRM,3
1951033580301.0288,0.0509490509490509,PCA,4
2231799527404.583,0.1118881118881118,NRM,4
1617528091896.6555,0.0019980019980019,PCA,5
1486931769530.5452,0.0019980019980019,NRM,5
1428664844617.5164,0.0009990009990009,PCA,6
1499272007858.8877,0.0009990009990009,NRM,6
1725580997756.4336,0.0079920079920079,PCA,7
1700803191880.8184,0.0059940059940059,NRM,7
1518435662836.1768,0.0019980019980019,PCA,8
1414171503422.1396,0.0009990009990009,NRM,8
1553798106275.2192,0.0009990009990009,PCA,9
1513683282491.7642,0.0009990009990009,NRM,9
1700673469016.2437,0.0059940059940059,PCA,10
1494824435705.0803,0.0039960039960039,NRM,10
1639406952956.8413,0.0039960039960039,PCA,11
1656984432970.43,0.0019980019980019,NRM,11
1723363261513.6943,0.0059940059940059,PCA,12
1678169283374.1003,0.0049950049950049,NRM,12
1478608026179.066,0.0009990009990009,PCA,13
1578958492633.5603,0.0009990009990009,NRM,13
1505259351036.788,0.0009990009990009,PCA,14
1520765973601.5188,0.0009990009990009,NRM,14
1792566252294.7993,0.0119880119880119,PCA,15
1768931000655.744,0.0089910089910089,NRM,15
1552821063949.957,0.0019980019980019,PCA,16
1807319177581.437,0.0129870129870129,NRM,16
1675148120718.318,0.0029970029970029,PCA,17
1675152233085.965,0.0039960039960039,NRM,17
1991568339746.503,0.0639360639360639,PCA,18
2153991510897.2144,0.1018981018981019,NRM,18
1527700924720.5205,0.0009990009990009,PCA,19
1638996816604.3606,0.0029970029970029,NRM,19
1796498140134.065,0.0129870129870129,PCA,20
1872981797404.6265,0.0109890109890109,NRM,20
1749518317179.6846,0.0079920079920079,PCA,21
1889261658990.1824,0.0129870129870129,NRM,21
1896990304263.172,0.0269730269730269,PCA,22
1673567344149.298,0.0019980019980019,NRM,22
1654455964423.728,0.0019980019980019,PCA,23
1683480541720.0913,0.0049950049950049,NRM,23
1635615537231.2769,0.0059940059940059,PCA,24
