diff,p,mode,shuffle_ID
1747751529189.3955,0.0059940059940059,PCA,0
1651862081213.5833,0.0009990009990009,NRM,0
1503924962003.9102,0.0009990009990009,PCA,1
1557138790275.2354,0.0009990009990009,NRM,1
1378992317249.1611,0.0009990009990009,PCA,2
1458623724522.1294,0.0009990009990009,NRM,2
1426827178878.5835,0.0019980019980019,PCA,3
1191567605381.239,0.0009990009990009,NRM,3
1536806606320.3967,0.0019980019980019,PCA,4
1726937206632.4712,0.0039960039960039,NRM,4
1992730474715.0227,0.0609390609390609,PCA,5
2022483832327.6528,0.0349650349650349,NRM,5
1935342183965.238,0.0219780219780219,PCA,6
2062000177929.5383,0.0139860139860139,NRM,6
1272819844859.4724,0.0009990009990009,PCA,7
1686119820633.7793,0.0029970029970029,NRM,7
1488580178400.6152,0.0019980019980019,PCA,8
1278154478469.285,0.0009990009990009,NRM,8
1990771223953.5164,0.0429570429570429,PCA,9
2083830759908.426,0.0379620379620379,NRM,9
1533042314093.53,0.0019980019980019,PCA,10
1817885791460.948,0.0089910089910089,NRM,10
1535498206127.3228,0.0019980019980019,PCA,11
1911583175582.1035,0.0139860139860139,NRM,11
1897761984708.4343,0.0369630369630369,PCA,12
1936422867294.0083,0.0209790209790209,NRM,12
1235078197286.1255,0.0009990009990009,PCA,13
1336390366720.3513,0.0009990009990009,NRM,13
1662738576339.0112,0.0029970029970029,PCA,14
1855346358012.5776,0.0119880119880119,NRM,14
1694858990425.4346,0.0019980019980019,PCA,15
1740664943948.4922,0.0089910089910089,NRM,15
1295636901389.049,0.0009990009990009,PCA,16
1546299428967.4832,0.0009990009990009,NRM,16
1574145118019.4023,0.0029970029970029,PCA,17
1549804243310.481,0.0009990009990009,NRM,17
1894804775464.684,0.0219780219780219,PCA,18
1957765013258.7783,0.0239760239760239,NRM,18
1798295429439.0664,0.0099900099900099,PCA,19
2065743655427.4504,0.0289710289710289,NRM,19
1518486893894.267,0.0009990009990009,PCA,20
1647216035099.1643,0.0049950049950049,NRM,20
1598035411918.9932,0.0009990009990009,PCA,21
1757426558557.1787,0.0089910089910089,NRM,21
1676659355249.018,0.0069930069930069,PCA,22
1526120510342.3225,0.0009990009990009,NRM,22
