n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
52.4,71.2,74.30000000000001,77.575,80.04,81.31666666666666,83.92857142857143,83.45,84.5777777777778
60.2,67.4,70.26666666666667,78.475,79.5,80.06666666666666,82.37142857142857,82.1375,82.82222222222222
49.6,62.0,72.03333333333333,78.375,79.78,79.91666666666666,81.25714285714287,81.7125,83.46666666666665
61.7,69.35,72.86666666666666,77.05,80.32,81.01666666666667,81.68571428571427,82.675,83.45555555555556
46.9,66.35,80.36666666666667,75.325,77.32,78.63333333333334,80.75714285714285,81.2875,83.77777777777777
71.6,69.0,72.96666666666668,77.3,77.16,81.05,82.2,82.7625,82.89999999999998
59.0,69.4,74.23333333333333,77.125,79.74,79.78333333333335,81.67142857142856,81.8125,83.17777777777778
55.7,67.1,76.9,77.825,79.02,81.51666666666668,81.85714285714285,82.475,82.4222222222222
55.8,73.2,74.56666666666666,79.5,79.82,80.28333333333335,80.85714285714285,82.5,84.3
55.7,69.5,71.63333333333333,78.3,80.76,81.33333333333331,83.0,83.2125,84.81111111111112
58.2,71.7,72.9,78.3,80.34,79.35000000000001,81.54285714285714,83.6125,82.78888888888889
58.5,71.3,73.53333333333333,77.625,81.06,82.35,81.04285714285716,83.4125,82.47777777777777
46.0,72.0,74.73333333333333,72.7,74.84,76.66666666666667,78.9,81.7125,83.06666666666666
54.3,61.05,67.83333333333331,73.225,74.22,77.28333333333332,79.9,83.4125,83.14444444444445
58.1,66.25,76.16666666666667,77.1,79.9,80.71666666666665,81.82857142857144,83.2875,83.6111111111111
62.6,68.7,70.93333333333334,75.2,76.82,79.55,81.61428571428571,84.225,85.1
57.2,64.5,72.4,76.65,77.9,79.43333333333334,82.1142857142857,83.025,84.64444444444443
59.0,72.4,72.96666666666665,75.225,78.36,80.01666666666667,81.32857142857141,82.55,83.41111111111111
58.2,69.2,73.1,77.225,80.52,82.38333333333334,84.32857142857144,84.7125,85.41111111111111
59.7,62.7,71.16666666666667,79.05,78.76,81.26666666666668,82.31428571428573,83.3625,83.83333333333331
54.7,64.8,72.0,77.725,81.6,82.26666666666667,82.3142857142857,82.1125,83.12222222222222
52.5,65.95,68.99999999999999,71.125,74.6,79.61666666666665,80.47142857142858,81.475,83.62222222222225
70.4,70.0,77.63333333333333,78.025,78.52,81.1,83.1142857142857,82.7125,84.32222222222221
46.3,66.8,76.16666666666667,78.1,78.6,81.83333333333333,82.5,83.3875,84.22222222222223
56.4,69.45,72.73333333333333,73.45,78.88,81.86666666666667,83.05714285714286,82.8875,82.9
66.4,67.7,71.36666666666667,77.1,78.5,80.08333333333334,82.35714285714286,82.35,83.11111111111111
55.8,69.65,70.3,74.7,76.32,79.01666666666667,81.22857142857144,83.1625,84.21111111111111
65.2,71.75,76.76666666666667,77.275,77.24,78.39999999999999,80.07142857142858,82.1375,82.83333333333331
55.6,64.3,69.83333333333333,76.025,79.64,81.1,82.77142857142859,83.8375,84.75555555555555
51.7,70.5,70.56666666666666,74.275,79.22,80.03333333333333,81.01428571428572,81.7625,84.22222222222223
55.9,65.55,75.63333333333333,77.55,79.24,81.18333333333335,83.04285714285716,83.3,82.5
57.8,65.25,73.63333333333334,79.65,80.02,82.1,81.78571428571429,82.6625,83.02222222222223
56.7,73.0,76.96666666666665,78.4,79.34,82.08333333333331,82.35714285714286,81.9125,82.6
60.2,69.5,74.43333333333334,74.3,76.66,79.2,83.92857142857142,84.9125,83.91111111111111
59.2,68.65,72.1,76.9,80.38,81.16666666666666,82.47142857142858,83.825,84.44444444444446
48.5,61.5,69.56666666666666,71.775,77.66,79.51666666666667,80.87142857142857,81.6375,82.45555555555555
57.5,68.75,71.4,75.65,77.1,80.18333333333334,82.3857142857143,82.825,83.4
43.7,69.55,75.63333333333334,77.35,79.76,81.78333333333333,81.05714285714286,82.7875,82.93333333333334
62.3,74.65,77.16666666666669,76.875,81.82,81.38333333333333,82.27142857142857,81.4375,82.63333333333333
53.9,62.7,67.2,72.95,75.3,78.13333333333333,80.51428571428572,83.4,83.43333333333332
59.6,70.85,75.0,76.55,78.5,81.18333333333334,82.04285714285714,82.6375,83.53333333333335
58.9,69.6,72.76666666666667,74.675,76.46,79.11666666666665,83.01428571428572,83.0875,83.66666666666669
51.4,74.05,77.93333333333334,79.6,80.3,79.51666666666667,82.37142857142858,84.05,82.95555555555556
65.2,70.5,72.23333333333332,78.35,78.38,79.6,81.7,81.425,83.5777777777778
71.7,70.35,79.10000000000001,78.875,79.16,82.15,83.3,82.425,84.46666666666664
65.2,73.55,71.86666666666666,73.875,76.92,78.78333333333335,79.88571428571429,82.5375,83.84444444444445
63.1,67.35,74.03333333333333,80.225,79.66,78.76666666666667,80.52857142857142,82.7125,83.18888888888891
48.1,60.0,71.3,72.85,74.62,76.98333333333333,80.21428571428572,83.5875,83.93333333333334
54.4,69.65,73.26666666666667,77.925,79.8,80.86666666666667,82.62857142857142,82.6125,83.17777777777779
51.1,64.9,73.53333333333333,77.425,80.06,78.23333333333333,80.7,82.1125,82.81111111111112
52.5,64.3,71.53333333333335,74.85,76.08,79.7,80.9,84.225,85.28888888888889
53.4,66.75,72.66666666666667,75.6,79.74,80.26666666666667,80.98571428571428,81.6375,82.55555555555557
64.6,68.0,75.13333333333334,77.125,78.2,80.53333333333333,82.58571428571429,82.7125,83.33333333333334
45.5,60.05,73.2,76.725,77.66,79.44999999999999,81.05714285714286,82.7625,82.17777777777778
52.4,65.05,70.03333333333332,74.425,78.88,81.2,83.32857142857144,83.525,83.17777777777778
61.5,72.5,77.2,81.25,80.04,82.15,82.39999999999998,82.5125,82.17777777777778
59.6,75.9,74.1,79.875,81.74,84.00000000000001,85.91428571428573,83.175,83.52222222222221
57.0,73.6,74.76666666666667,77.45,79.98,83.33333333333334,82.07142857142857,82.7,82.99999999999999
58.5,65.9,68.7,74.575,76.12,79.61666666666667,80.85714285714286,81.625,82.67777777777775
59.8,65.6,70.43333333333334,75.475,76.14,77.10000000000001,80.07142857142858,81.0625,82.73333333333333
56.9,67.15,74.03333333333333,75.45,78.74,81.56666666666666,82.6,83.3375,83.85555555555553
