n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
53.7,71.75,75.00000000000001,78.6,81.02,83.03333333333335,84.7,83.75,84.28888888888889
62.0,66.85,74.6,80.275,79.84,80.83333333333334,83.62857142857143,84.6,84.02222222222223
52.9,66.2,74.76666666666667,78.8,80.48,79.83333333333333,81.55714285714286,82.3625,84.47777777777777
67.2,69.65,73.93333333333334,79.05,81.3,81.7,81.77142857142857,82.9375,83.46666666666665
59.5,70.0,79.96666666666668,74.65,75.86,79.01666666666667,80.6142857142857,81.3375,83.11111111111111
71.5,68.9,74.4,79.45,79.74,83.48333333333332,82.44285714285715,84.0,84.14444444444445
63.6,75.0,75.6,79.8,80.94,80.33333333333333,82.24285714285716,82.2875,84.75555555555555
59.8,67.85,75.93333333333334,78.75,80.5,81.95,81.38571428571429,82.2875,83.06666666666666
62.6,72.35,74.16666666666666,79.875,80.58,81.63333333333333,82.34285714285716,82.575,83.11111111111111
52.8,68.9,72.76666666666667,77.125,78.5,80.6,82.4,82.0875,84.51111111111112
57.1,70.4,73.9,79.575,81.44,79.61666666666665,80.80000000000001,82.6375,82.15555555555555
56.6,76.25,74.23333333333333,76.925,80.72,79.91666666666666,81.65714285714286,82.1625,82.4222222222222
48.5,71.95,76.8,74.6,77.18,78.78333333333333,80.45714285714286,82.5875,84.5
56.2,59.9,70.13333333333333,73.75,74.44,78.78333333333335,79.92857142857142,82.25,83.64444444444445
57.7,66.0,74.96666666666667,76.7,80.34,81.38333333333334,83.4857142857143,84.05,83.56666666666668
62.7,67.15,75.53333333333335,78.3,78.2,81.68333333333335,82.92857142857143,84.4,84.7111111111111
54.6,65.75,72.23333333333333,76.35,77.32,80.4,82.6,83.825,84.87777777777778
56.0,74.1,72.63333333333333,75.375,79.5,82.41666666666669,82.1,83.5125,84.46666666666665
58.1,71.6,75.36666666666667,77.25,80.54,82.61666666666666,83.34285714285716,82.4125,83.61111111111113
55.4,63.5,73.86666666666667,80.225,81.16,81.56666666666666,82.77142857142857,84.275,83.93333333333334
53.8,67.65,73.96666666666665,77.875,83.08,82.0,82.57142857142857,82.2625,83.43333333333332
55.2,67.3,68.8,73.225,75.42,80.16666666666667,82.45714285714286,82.1625,83.12222222222222
68.4,71.65,79.63333333333334,78.825,79.36,81.00000000000001,84.77142857142859,84.35,85.18888888888888
47.7,66.1,76.4,79.775,81.52,81.73333333333333,82.35714285714286,83.1875,83.5777777777778
55.3,68.0,73.53333333333333,74.75,78.9,82.0,81.72857142857143,82.7875,84.28888888888889
68.3,69.65,71.73333333333332,76.675,76.86,80.58333333333333,82.44285714285714,82.475,83.36666666666666
