n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
49.9,69.15,69.26666666666667,72.95,75.86,77.13333333333334,78.6,79.3625,82.24444444444445
55.6,62.05,67.39999999999999,74.275,76.0,77.28333333333335,81.01428571428572,81.1125,82.63333333333333
61.7,64.95,67.23333333333333,72.1,72.7,75.39999999999999,81.32857142857144,79.925,83.63333333333333
62.1,62.8,66.16666666666669,70.725,78.26,77.44999999999999,81.95714285714286,78.525,82.31111111111112
58.3,62.95,72.6,71.3,75.64,82.36666666666667,78.50000000000001,79.75,82.22222222222223
58.5,62.8,69.93333333333334,73.05,75.7,79.61666666666666,80.3857142857143,81.225,81.27777777777777
54.9,63.8,68.06666666666666,72.4,79.34,78.56666666666668,79.04285714285714,80.9125,82.04444444444445
75.9,71.35,66.53333333333332,71.95,77.02,81.28333333333335,80.64285714285715,80.35,81.53333333333335
45.5,64.1,70.00000000000001,73.2,73.08,78.33333333333334,76.07142857142857,80.9,82.34444444444443
62.5,68.7,70.43333333333334,70.825,75.14,75.38333333333333,79.44285714285715,81.525,81.85555555555557
53.0,68.45,69.10000000000001,71.375,77.2,78.69999999999999,77.71428571428571,79.9375,83.82222222222222
61.1,66.15,66.49999999999999,71.8,73.84,79.33333333333331,80.11428571428571,81.575,83.32222222222222
56.4,64.4,70.36666666666666,72.675,77.74,77.16666666666666,80.4857142857143,80.0,82.73333333333332
50.2,66.05,68.16666666666666,72.5,74.96,80.15,81.4,81.9625,82.17777777777779
56.3,64.0,71.2,73.275,76.7,77.2,80.67142857142859,81.4625,81.98888888888888
55.1,56.8,65.13333333333333,69.85,75.02,77.81666666666666,79.95714285714286,83.15,82.47777777777777
50.6,60.05,73.36666666666667,73.2,72.6,82.16666666666666,78.25714285714287,81.6,81.52222222222223
58.5,71.5,65.33333333333333,70.45,74.8,76.48333333333333,81.21428571428572,81.6625,81.78888888888888
56.1,63.85,65.36666666666667,69.15,76.86,76.76666666666667,77.58571428571427,80.775,82.38888888888889
49.1,71.35,66.69999999999999,73.425,79.3,82.96666666666665,81.9,82.7875,83.47777777777777
62.4,58.8,75.33333333333331,66.225,74.06,80.39999999999999,84.14285714285715,81.35,81.37777777777777
48.8,63.2,67.26666666666667,73.175,78.18,78.08333333333333,79.75714285714287,79.0,82.93333333333332
61.5,64.5,66.16666666666666,69.725,76.28,76.94999999999999,80.52857142857142,80.6875,83.76666666666667
49.4,59.0,65.93333333333334,71.3,76.08,77.78333333333335,79.55714285714288,82.95,82.3
41.9,68.7,69.80000000000001,73.55,75.28,78.45,76.2,82.0,82.71111111111111
62.3,64.05,73.9,73.575,76.78,76.93333333333334,78.48571428571428,81.3375,83.18888888888887
61.6,66.7,66.23333333333333,74.825,76.52,71.61666666666665,79.72857142857143,80.0375,83.06666666666668
50.2,67.7,67.56666666666666,70.575,76.28,74.53333333333335,81.9857142857143,79.75,81.4888888888889
56.6,72.4,67.26666666666667,71.425,80.24,77.63333333333333,78.8857142857143,82.275,82.40000000000002
61.7,67.3,65.36666666666667,71.475,77.6,79.23333333333332,78.74285714285715,81.2375,83.02222222222221
64.5,66.45,69.03333333333333,69.7,75.04,78.81666666666666,76.05714285714285,80.8,82.45555555555555
47.0,65.1,61.93333333333334,73.575,78.5,78.10000000000001,80.98571428571428,81.0875,80.1888888888889
53.6,69.6,73.73333333333333,72.75,72.42,76.58333333333331,81.34285714285713,81.3875,82.52222222222223
60.4,57.45,65.8,75.95,72.68,79.69999999999999,81.05714285714285,82.075,84.0
55.9,68.8,71.3,72.65,77.62,81.2,80.30000000000001,82.575,82.78888888888889
59.8,71.05,65.26666666666667,72.55,78.64,80.65,81.55714285714285,80.6625,83.82222222222222
60.0,65.25,68.96666666666665,66.875,78.8,77.91666666666667,76.92857142857143,81.625,82.51111111111109
63.0,66.6,69.43333333333334,69.225,77.98,76.95,80.84285714285716,81.1875,83.14444444444443
56.5,60.1,70.63333333333333,68.25,76.72,77.46666666666667,79.15714285714286,81.15,81.4
49.4,65.15,70.53333333333335,66.85,78.7,77.06666666666666,79.12857142857143,80.3125,84.8888888888889
