n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
50.4,71.05,75.80000000000001,77.8,81.52,84.75000000000001,86.64285714285714,86.775,86.56666666666666
53.8,65.4,72.8,76.475,79.64,82.06666666666668,83.6142857142857,83.35,85.43333333333334
58.7,69.25,78.86666666666665,74.325,80.72,83.84999999999998,83.22857142857141,83.925,86.5888888888889
62.2,63.9,70.46666666666665,72.75,79.82,83.25,84.07142857142857,86.0875,87.87777777777778
65.8,60.15,75.73333333333333,71.55,81.32,82.58333333333334,86.17142857142856,84.8875,87.41111111111111
65.2,61.55,71.2,71.975,77.72,81.10000000000001,84.3142857142857,83.55,86.88888888888887
60.5,61.9,74.66666666666667,74.4,81.3,84.63333333333334,83.08571428571429,85.4625,86.38888888888889
62.2,70.35,69.93333333333334,73.2,83.2,82.65,84.0142857142857,84.55,86.65555555555557
47.3,72.45,72.73333333333333,76.15,79.34,84.8,84.0,85.3375,86.45555555555555
62.2,66.5,68.6,76.275,85.96,84.65,83.6857142857143,84.3125,86.13333333333333
