n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
49.3,64.1,66.8,70.925,77.84,78.58333333333331,80.32857142857144,81.4875,84.0777777777778
58.8,70.35,69.33333333333333,72.075,79.08,79.43333333333334,79.97142857142858,80.625,84.87777777777778
59.9,66.35,71.63333333333333,73.7,77.7,80.18333333333334,81.74285714285715,82.3,85.17777777777779
62.4,65.15,71.8,72.25,78.06,80.51666666666667,80.51428571428569,80.5375,84.01111111111109
51.5,63.8,72.66666666666667,73.75,77.06,78.61666666666666,81.04285714285714,79.925,83.91111111111111
58.6,70.45,69.2,72.85,74.46,79.31666666666666,80.58571428571427,80.9625,83.81111111111112
58.6,64.75,68.93333333333334,72.35,76.96,77.85000000000001,80.2,81.1875,84.52222222222221
59.8,63.8,71.53333333333335,69.1,76.96,79.36666666666667,81.52857142857142,81.4,84.05555555555557
58.6,63.05,71.5,75.525,76.7,79.46666666666667,78.98571428571428,81.35,85.23333333333332
58.8,61.5,68.76666666666667,69.525,77.74,77.75000000000001,80.95714285714287,81.675,84.16666666666669
57.4,66.5,68.53333333333333,72.15,79.2,76.48333333333333,80.08571428571429,81.5625,84.91111111111111
68.6,63.1,70.66666666666667,73.675,79.12,77.73333333333333,80.45714285714286,82.325,84.87777777777778
63.4,65.05,68.66666666666667,67.425,77.74,78.58333333333334,79.80000000000001,81.475,84.25555555555555
55.7,66.05,70.66666666666666,70.975,77.72,79.13333333333333,81.75714285714287,82.1375,83.51111111111112
50.8,72.1,70.66666666666667,71.55,79.42,80.93333333333334,82.6,80.9375,83.87777777777778
55.0,63.8,68.03333333333333,71.85,77.14,78.53333333333333,80.61428571428571,82.75,82.8
52.9,63.5,69.2,72.35,74.28,79.71666666666668,80.15714285714286,82.4875,84.77777777777779
54.8,71.5,66.13333333333333,71.375,79.02,80.85000000000001,81.8,81.275,83.4
61.8,64.65,68.93333333333334,72.025,76.92,81.58333333333333,81.44285714285715,82.7875,84.86666666666666
53.9,60.3,70.5,73.05,77.98,78.36666666666667,80.62857142857143,80.7,84.41111111111111
56.4,67.4,72.2,72.975,79.78,81.83333333333334,80.64285714285714,82.225,83.31111111111109
48.6,65.1,69.36666666666667,72.625,78.96,81.53333333333332,80.95714285714286,79.8,85.13333333333334
61.3,64.0,68.8,74.175,78.34,77.76666666666667,81.24285714285715,80.7375,84.4111111111111
44.9,64.35,70.2,68.225,75.16,78.38333333333333,80.87142857142858,80.85,84.22222222222224
47.4,67.7,72.19999999999999,71.175,78.88,79.11666666666667,79.85714285714288,81.275,84.44444444444443
62.5,64.6,68.43333333333334,74.8,76.28,80.65,82.5,80.875,83.71111111111111
48.2,62.65,68.86666666666667,73.625,78.62,78.18333333333334,78.92857142857142,81.05,83.99999999999999
58.6,61.8,66.63333333333334,73.175,79.52,79.38333333333334,79.48571428571428,81.1375,84.02222222222223
68.2,64.0,71.7,69.125,79.58,76.88333333333333,79.14285714285715,83.125,83.61111111111111
51.1,61.3,72.26666666666667,73.875,77.12,78.25,80.11428571428571,80.2,85.76666666666668
58.9,65.65,67.99999999999999,69.85,78.5,80.65,79.82857142857142,81.3125,83.76666666666668
65.7,64.55,70.3,73.7,77.6,81.98333333333333,81.55714285714286,81.8875,83.54444444444445
54.2,63.35,71.73333333333333,72.475,80.28,80.94999999999999,79.02857142857142,80.9375,84.28888888888886
55.5,63.85,74.30000000000001,70.75,78.0,81.16666666666667,81.75714285714287,82.475,83.82222222222221
64.0,71.05,69.19999999999999,76.4,77.4,79.95,81.52857142857144,82.575,84.62222222222222
58.8,65.4,63.36666666666667,73.95,76.74,76.35,79.67142857142858,80.05,84.3777777777778
69.9,65.05,69.69999999999999,76.025,77.86,80.4,79.55714285714286,82.0125,83.72222222222223
57.1,58.95,67.13333333333333,70.975,78.78,80.46666666666668,80.4,82.0875,84.12222222222222
62.4,69.0,67.63333333333334,69.325,79.64,80.1,82.02857142857142,82.7,84.23333333333333
61.5,63.7,71.86666666666667,71.25,79.58,80.81666666666666,80.22857142857143,80.4,84.37777777777778
