n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
49.3,60.45,59.63333333333333,62.325,66.0,68.61666666666666,67.84285714285714,69.675,70.75555555555556
46.5,56.5,54.53333333333333,62.8,67.88,68.55,68.64285714285712,69.9125,70.23333333333333
60.3,61.3,57.16666666666666,59.825,63.86,68.53333333333333,68.97142857142858,67.1375,70.4
45.6,56.55,58.3,60.0,65.6,65.85,68.9857142857143,70.625,70.9222222222222
48.2,65.95,60.49999999999999,63.875,66.0,65.1,67.57142857142857,69.0125,70.37777777777778
42.1,59.75,56.79999999999999,59.775,65.54,65.38333333333333,72.04285714285714,70.45,71.21111111111111
38.9,54.25,57.66666666666667,61.575,63.8,68.05,66.84285714285714,69.25,70.66666666666667
49.4,60.65,64.56666666666666,59.675,67.18,66.98333333333332,68.4857142857143,67.9375,69.93333333333334
56.0,57.9,65.19999999999999,64.6,64.6,64.89999999999999,67.14285714285714,67.4125,70.82222222222221
40.6,58.45,55.3,63.4,65.76,68.33333333333334,69.57142857142857,70.025,68.93333333333334
