n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
39.5,60.2,58.23333333333333,58.3,57.16,59.06666666666666,62.328571428571415,62.7125,63.11111111111111
51.0,50.9,55.3,53.3,65.42,60.88333333333333,66.18571428571428,62.6375,62.588888888888874
45.2,51.95,51.13333333333334,57.2,59.94,57.58333333333334,61.94285714285713,60.1125,63.83333333333334
53.2,60.55,48.73333333333333,51.525,61.88,59.18333333333333,62.21428571428571,62.65,63.16666666666666
42.6,47.7,56.89999999999999,51.775,60.3,60.93333333333333,61.92857142857142,64.2625,62.66666666666666
47.7,46.3,57.13333333333333,56.925,59.96,62.96666666666667,61.285714285714285,61.875,63.588888888888896
38.6,56.5,51.99999999999999,52.25,61.66,58.46666666666667,63.18571428571428,60.0875,62.55555555555556
53.1,51.3,50.6,51.35,58.22,59.25,61.357142857142854,62.3375,63.088888888888874
40.2,53.2,53.79999999999999,54.375,59.9,62.16666666666666,63.5,63.175,63.87777777777778
43.5,51.1,57.599999999999994,53.15,59.96,59.83333333333333,59.714285714285715,60.875,63.97777777777778
53.3,53.55,49.63333333333333,58.5,54.44,61.15,62.88571428571427,63.0,64.06666666666666
51.6,53.05,50.56666666666667,58.325,55.94,61.41666666666667,59.78571428571429,63.2,63.788888888888884
57.8,53.75,56.89999999999999,55.625,57.28,58.03333333333334,59.72857142857144,62.1125,64.67777777777778
29.6,56.95,52.29999999999999,51.3,62.22,61.466666666666676,60.18571428571428,61.475,64.01111111111112
44.0,43.55,55.06666666666667,56.675,62.28,60.5,61.35714285714286,61.85,63.56666666666666
52.4,40.55,54.36666666666667,52.525,62.16,59.41666666666668,62.77142857142857,62.9375,63.63333333333333
35.4,51.1,55.23333333333333,52.575,58.32,57.86666666666667,60.57142857142856,61.8,64.25555555555556
44.9,52.6,53.16666666666667,55.0,62.56,61.26666666666667,60.95714285714286,62.125,63.077777777777776
50.5,56.4,52.63333333333333,59.875,59.84,60.21666666666666,61.55714285714287,61.425,63.73333333333334
47.2,54.6,51.8,61.375,59.92,59.93333333333333,60.67142857142856,62.2375,63.744444444444454
50.2,59.65,56.79999999999999,53.175,56.92,59.56666666666666,60.457142857142856,60.775,63.61111111111111
45.6,44.1,50.36666666666666,55.95,58.32,61.49999999999998,63.21428571428571,60.475,63.422222222222224
47.8,52.95,52.20000000000001,53.9,60.92,63.716666666666654,63.414285714285704,59.8875,62.76666666666667
45.8,57.2,49.36666666666667,62.3,57.38,60.41666666666667,61.77142857142857,62.1875,64.97777777777777
44.3,57.15,51.66666666666666,60.175,56.32,58.05000000000001,61.78571428571429,61.2125,62.73333333333333
36.8,52.1,52.06666666666667,53.875,58.52,59.599999999999994,59.342857142857135,61.7625,64.23333333333333
55.3,50.15,52.46666666666666,50.4,59.58,60.716666666666654,63.72857142857142,61.45,69.08888888888887
54.2,49.05,54.29999999999999,59.5,55.9,60.53333333333333,59.47142857142857,62.8125,63.81111111111111
55.9,51.0,57.03333333333333,53.025,62.34,62.11666666666667,57.88571428571427,62.1375,63.511111111111106
40.5,49.9,51.76666666666668,58.65,64.0,59.85,60.51428571428573,61.95,64.32222222222222
39.5,57.25,60.46666666666667,56.65,59.86,64.11666666666667,61.6,63.2875,63.844444444444434
44.7,57.85,51.53333333333333,51.725,57.84,59.93333333333333,61.442857142857136,60.8875,62.76666666666666
59.8,52.75,53.3,57.075,64.44,58.15,60.1,59.6625,64.43333333333332
49.5,50.05,56.4,54.075,60.78,62.06666666666666,60.97142857142857,62.225,63.677777777777784
44.1,45.65,51.49999999999999,60.975,56.16,61.35,62.62857142857142,62.6875,63.277777777777764
44.1,53.0,52.86666666666666,55.15,58.74,65.08333333333333,60.414285714285725,60.425,62.188888888888876
42.8,43.9,57.900000000000006,56.375,58.34,61.08333333333335,62.885714285714286,61.05,64.43333333333335
39.0,46.25,52.76666666666667,57.275,58.92,58.48333333333332,61.44285714285715,60.025,63.022222222222226
39.4,47.85,50.6,53.625,59.94,62.56666666666666,61.92857142857143,59.7375,63.16666666666666
42.0,51.7,50.53333333333334,51.375,55.68,63.83333333333333,60.87142857142857,65.6375,63.92222222222222
