n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
18.4,22.9,16.400000000000006,39.525,20.28,20.25,20.15714285714286,20.525,21.888888888888886
39.0,20.45,23.13333333333334,20.25,21.74,20.45,23.5,20.8875,22.01111111111111
5.5,18.8,16.666666666666664,27.025,19.88,21.066666666666666,21.728571428571428,21.7875,21.677777777777777
21.2,19.1,25.63333333333333,35.525,25.02,24.700000000000003,20.899999999999995,21.3375,22.844444444444445
26.0,17.75,20.7,21.0,22.44,22.31666666666667,21.81428571428571,22.9375,21.199999999999996
31.4,21.5,37.86666666666667,39.125,23.56,21.3,21.91428571428571,20.9,20.35555555555555
13.9,21.4,16.46666666666667,20.475,41.02,22.55,22.72857142857143,21.0,22.744444444444444
31.7,22.75,22.06666666666666,22.275,21.4,20.966666666666665,23.57142857142857,19.575,21.85555555555555
13.4,22.15,19.8,17.125,23.88,20.65,23.442857142857143,24.5875,20.7
20.3,23.15,17.833333333333336,22.6,23.72,21.91666666666667,21.8,22.7375,21.133333333333336
17.1,22.2,41.9,20.575,20.28,19.683333333333334,19.614285714285714,23.275,23.111111111111107
20.9,40.5,35.06666666666666,20.55,20.9,24.216666666666665,21.928571428571427,22.3875,22.1
15.3,12.5,22.966666666666665,21.725,23.86,19.516666666666662,22.65714285714286,21.9875,22.1
42.1,16.7,22.633333333333336,17.225,19.32,21.983333333333338,21.685714285714283,23.125,22.677777777777777
37.4,17.0,18.466666666666665,21.025,24.38,24.199999999999996,21.342857142857145,22.0,20.855555555555558
34.3,24.75,34.099999999999994,21.625,18.08,19.35,21.62857142857143,21.8,20.644444444444442
16.7,19.1,23.066666666666666,22.7,22.86,20.05,20.757142857142856,21.8875,22.6
27.2,19.1,22.299999999999997,34.275,22.26,20.15,22.957142857142852,44.15,22.188888888888886
40.1,17.3,19.56666666666667,19.8,21.12,23.6,22.328571428571433,22.1375,21.388888888888893
22.2,21.6,20.93333333333333,26.35,41.34,20.416666666666664,21.171428571428567,21.9375,21.155555555555555
35.9,17.1,21.73333333333333,18.575,21.54,21.016666666666666,19.314285714285717,20.0375,21.55555555555556
14.7,20.7,20.5,16.575,19.82,21.783333333333335,21.599999999999994,21.9125,21.000000000000004
22.0,32.7,20.433333333333334,19.975,20.16,17.216666666666665,20.785714285714285,24.1875,21.155555555555555
8.9,22.75,23.6,17.125,22.68,19.916666666666664,22.685714285714283,21.75,21.97777777777778
20.3,23.15,24.466666666666665,21.75,21.9,23.849999999999994,22.77142857142857,21.1,21.644444444444442
30.9,22.8,16.466666666666665,25.725,18.82,21.016666666666666,22.98571428571428,19.8625,22.355555555555558
19.3,25.55,19.133333333333333,17.65,20.24,20.366666666666667,21.128571428571426,22.0125,21.366666666666664
31.3,18.8,18.766666666666666,21.375,42.28,22.016666666666666,21.485714285714284,22.8375,22.08888888888889
17.9,23.25,21.166666666666664,21.225,23.62,23.583333333333325,21.714285714285715,23.675,22.122222222222216
33.7,42.45,26.6,19.175,23.9,19.15,20.657142857142855,20.225,22.700000000000003
30.3,19.45,20.83333333333333,39.2,20.22,21.7,20.65714285714286,21.4375,21.311111111111103
17.1,23.8,17.53333333333333,21.575,20.22,20.5,21.54285714285714,22.3,21.477777777777778
17.7,19.15,25.93333333333333,20.175,18.66,23.366666666666664,22.171428571428574,22.475,21.66666666666667
18.4,17.55,21.5,18.4,22.98,21.06666666666667,20.528571428571432,21.2125,21.666666666666664
13.7,20.35,23.06666666666667,42.625,17.62,24.449999999999996,20.942857142857136,21.3625,22.744444444444444
19.5,21.75,21.7,23.15,22.82,20.866666666666664,22.21428571428572,21.85,21.95555555555555
12.5,22.55,24.766666666666662,20.0,21.2,22.716666666666665,21.814285714285717,21.25,21.855555555555558
32.0,21.5,18.266666666666666,18.1,21.68,22.81666666666667,21.71428571428571,20.05,21.73333333333333
25.4,13.4,21.83333333333334,38.2,23.24,21.26666666666667,19.685714285714283,22.8,22.277777777777775
18.5,25.0,25.400000000000006,21.225,20.92,24.16666666666666,20.542857142857137,22.15,21.733333333333334
