n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
30.7,47.0,48.6,49.825,51.52,52.35,57.05714285714287,57.9375,58.35555555555555
37.6,41.0,50.99999999999999,45.3,57.88,53.966666666666676,55.557142857142864,54.6375,58.88888888888888
36.6,51.9,50.26666666666665,47.55,48.8,56.51666666666667,43.99999999999999,57.9375,56.27777777777777
52.3,43.05,43.03333333333334,39.175,46.26,50.51666666666666,57.27142857142856,53.4625,59.511111111111106
31.9,37.3,40.93333333333334,36.3,55.98,50.68333333333333,58.342857142857135,56.6625,54.088888888888874
27.6,37.15,43.23333333333333,40.5,57.08,56.88333333333333,57.12857142857144,44.0625,53.30000000000001
42.8,39.1,40.89999999999999,52.45,54.62,59.80000000000001,50.72857142857143,56.9125,55.288888888888884
51.6,51.85,48.33333333333333,38.4,40.54,58.35,53.25714285714285,57.2,55.222222222222214
48.2,54.65,52.03333333333334,50.875,59.02,41.80000000000001,43.185714285714276,42.8875,54.15555555555556
42.6,51.15,39.33333333333334,54.975,47.0,49.64999999999999,54.12857142857143,43.975,55.83333333333333
34.4,44.45,54.0,38.225,48.92,54.61666666666667,57.71428571428571,57.15,57.12222222222223
38.9,40.0,40.96666666666666,45.9,41.06,56.58333333333332,52.87142857142857,53.7,56.944444444444436
36.1,53.7,52.4,41.9,46.62,51.65,57.60000000000001,53.8375,57.73333333333333
32.0,42.05,53.73333333333333,45.425,40.72,55.68333333333334,55.18571428571429,44.225,44.97777777777778
46.9,38.35,46.53333333333334,53.3,52.92,43.21666666666666,54.92857142857143,54.7375,56.36666666666667
45.4,47.1,49.86666666666667,37.075,41.68,56.58333333333334,58.114285714285714,54.5375,52.2888888888889
45.6,48.35,39.93333333333334,56.35,44.92,43.01666666666666,56.05714285714285,54.9875,54.83333333333334
56.9,38.95,46.33333333333333,44.45,54.22,53.1,56.47142857142857,54.975,54.8111111111111
40.7,51.95,42.96666666666667,48.3,52.92,54.93333333333333,54.52857142857143,50.6125,54.611111111111114
44.6,56.3,38.56666666666666,47.675,53.1,56.85,50.74285714285714,57.625,58.722222222222214
40.0,42.95,49.86666666666666,42.225,53.7,49.41666666666666,53.98571428571429,54.8625,54.077777777777776
41.7,37.7,47.69999999999999,53.15,53.12,40.53333333333333,50.07142857142857,55.3,56.588888888888874
46.9,46.05,53.10000000000001,43.5,57.76,51.83333333333334,59.6,58.2625,55.3
36.2,36.25,49.50000000000001,52.3,57.48,53.08333333333333,55.28571428571429,60.7,55.86666666666666
46.2,45.1,49.46666666666666,52.8,51.7,59.68333333333333,56.4,59.3375,56.42222222222222
36.3,44.45,48.29999999999998,51.975,54.5,56.48333333333333,42.28571428571429,54.7125,55.06666666666666
46.6,39.9,49.36666666666668,42.2,53.88,51.71666666666667,51.11428571428571,55.55,56.30000000000001
44.3,45.35,38.400000000000006,52.75,57.98,54.53333333333334,54.87142857142858,54.775,59.74444444444443
51.3,45.95,46.26666666666668,49.625,42.48,58.466666666666676,49.457142857142856,56.4625,55.83333333333334
36.4,38.95,57.53333333333334,44.625,42.24,54.36666666666666,59.75714285714286,50.7,60.22222222222223
37.2,53.85,37.56666666666666,53.15,56.58,58.21666666666667,53.37142857142857,57.9875,55.7
47.9,37.0,53.13333333333333,48.3,49.66,52.93333333333333,53.85714285714286,43.0375,56.42222222222224
50.2,49.15,51.599999999999994,43.85,55.16,44.43333333333333,44.87142857142857,54.3375,56.48888888888888
33.7,51.85,49.26666666666666,49.225,57.24,48.76666666666668,49.95714285714286,57.5625,55.63333333333333
49.2,36.6,46.76666666666667,45.9,41.78,59.7,54.071428571428584,56.8625,55.72222222222223
34.9,44.9,41.66666666666667,56.275,50.84,40.25000000000001,53.32857142857144,54.05,56.611111111111114
57.4,54.6,46.5,35.85,56.66,58.88333333333333,56.48571428571429,53.4375,55.544444444444444
41.7,40.95,41.6,44.1,53.52,53.55000000000001,59.61428571428571,55.875,56.088888888888896
34.8,36.85,39.99999999999999,47.25,55.26,55.41666666666667,58.97142857142857,58.375,56.611111111111114
44.8,42.65,38.599999999999994,53.0,53.64,60.91666666666667,42.31428571428572,59.05,55.888888888888886
