n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
39.5,53.8,53.13333333333334,53.875,57.16,59.06666666666666,62.328571428571415,62.7125,63.11111111111111
51.0,45.3,57.16666666666667,52.475,65.42,60.88333333333333,60.58571428571428,62.6375,62.588888888888874
45.2,46.5,52.43333333333334,56.05,59.94,57.58333333333334,61.84285714285715,60.1125,63.83333333333334
37.7,53.0,46.76666666666668,57.65,61.88,59.18333333333333,62.42857142857143,62.65,63.16666666666666
44.3,47.5,55.33333333333333,55.7,60.3,60.93333333333333,61.27142857142856,64.2625,62.66666666666666
39.2,55.45,54.4,56.6,59.96,62.96666666666667,62.25714285714285,61.875,63.588888888888896
38.6,49.95,53.06666666666666,56.7,57.1,58.46666666666667,59.22857142857142,60.0875,62.55555555555556
53.1,44.75,55.99999999999999,56.125,55.7,59.25,62.2,62.3375,63.088888888888874
40.2,48.95,52.00000000000001,55.075,57.84,62.16666666666666,60.52857142857143,63.175,63.87777777777778
39.0,53.25,53.63333333333333,54.525,57.44,59.83333333333333,61.35714285714286,60.875,63.97777777777778
56.9,56.5,52.60000000000001,53.475,60.68,61.15,59.35714285714286,63.0,64.06666666666666
47.0,52.55,55.7,58.35,58.48,61.41666666666667,61.01428571428571,63.2,63.788888888888884
54.1,55.55,53.86666666666667,53.975,60.12,58.03333333333334,61.342857142857135,62.1125,64.67777777777778
49.3,57.45,53.83333333333333,59.15,57.1,61.466666666666676,62.14285714285714,61.475,64.01111111111112
52.3,42.3,59.16666666666666,51.525,60.28,60.5,60.55714285714285,61.85,63.56666666666666
51.7,48.4,51.8,53.925,58.98,59.41666666666668,61.528571428571425,62.9375,63.63333333333333
47.9,50.15,58.20000000000001,54.25,60.18,57.86666666666667,61.31428571428572,61.8,64.25555555555556
56.5,58.05,49.53333333333334,54.85,57.06,61.26666666666667,61.32857142857142,62.125,63.077777777777776
39.1,50.4,53.89999999999999,58.15,57.54,60.21666666666666,62.97142857142857,61.425,63.73333333333334
39.5,59.35,52.06666666666666,56.9,57.26,59.93333333333333,61.24285714285715,62.2375,63.744444444444454
50.0,52.15,49.99999999999999,54.6,62.32,59.56666666666666,63.0,60.775,63.61111111111111
53.3,49.9,57.5,54.875,58.88,61.49999999999998,60.642857142857146,60.475,63.422222222222224
56.2,51.6,55.0,55.85,56.88,58.150000000000006,62.88571428571429,59.8875,62.76666666666667
45.9,44.15,52.6,56.8,57.4,60.46666666666666,62.114285714285714,62.1875,64.97777777777777
39.9,53.8,53.9,55.875,57.66,61.35000000000001,63.50000000000001,61.2125,62.73333333333333
50.4,51.05,52.43333333333333,51.725,58.48,57.01666666666667,62.07142857142857,61.7625,64.23333333333333
47.5,47.75,52.13333333333333,55.025,57.34,60.7,62.785714285714285,61.45,62.677777777777784
45.2,52.65,52.7,53.425,58.02,53.68333333333334,59.37142857142858,62.8125,63.23333333333333
41.4,53.25,54.099999999999994,57.925,61.92,61.88333333333333,57.5,62.1375,62.69999999999999
45.6,49.15,54.56666666666666,56.9,56.78,62.05,62.61428571428571,61.95,63.82222222222221
39.8,52.45,60.2,53.3,58.6,59.38333333333333,62.4142857142857,63.2875,64.36666666666667
43.2,55.85,48.66666666666667,56.225,62.06,58.44999999999999,61.17142857142857,60.8875,63.84444444444444
60.7,54.95,53.26666666666666,53.85,55.9,60.06666666666668,60.614285714285714,59.6625,63.855555555555554
40.7,52.5,54.63333333333334,56.85,54.8,58.44999999999999,60.0,62.225,63.3
46.8,50.95,57.10000000000001,55.375,55.14,60.76666666666668,60.00000000000001,62.6875,63.655555555555566
45.1,52.6,48.26666666666667,51.275,59.62,59.98333333333333,62.22857142857143,60.425,61.88888888888889
48.3,56.5,52.86666666666667,55.325,57.86,60.08333333333334,62.31428571428572,61.05,62.677777777777784
51.6,51.05,51.4,56.2,54.88,60.46666666666666,61.62857142857143,60.025,63.76666666666667
22.3,48.9,57.63333333333333,51.6,61.26,60.76666666666668,59.47142857142857,59.7375,63.05555555555555
45.2,54.7,45.10000000000001,53.075,59.1,60.849999999999994,61.19999999999999,60.6125,64.3
