n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
30.8,47.95,41.23333333333333,39.575,41.44,41.03333333333333,42.07142857142858,42.5375,45.60000000000001
37.7,40.6,34.6,39.475,40.66,45.16666666666668,42.88571428571429,42.2125,45.02222222222222
42.7,35.65,41.36666666666667,36.05,39.48,43.98333333333334,41.42857142857143,45.8,44.68888888888889
37.3,47.35,41.46666666666666,38.675,39.18,42.00000000000001,43.0,44.7625,46.08888888888889
41.9,42.55,45.29999999999999,40.925,43.88,45.05,45.357142857142854,45.3375,44.377777777777766
32.0,37.4,41.36666666666666,39.8,45.12,42.31666666666666,44.17142857142858,43.6375,44.13333333333333
39.3,38.85,41.1,41.875,43.46,43.58333333333333,44.2,45.4,43.1888888888889
37.8,36.6,45.99999999999999,40.275,40.36,43.533333333333324,43.77142857142858,43.7,44.73333333333333
34.0,35.3,40.800000000000004,41.45,39.54,45.216666666666676,40.98571428571429,45.8375,44.38888888888888
38.6,39.35,35.93333333333334,35.425,41.48,40.68333333333334,42.4,42.2875,44.355555555555554
20.7,37.25,46.93333333333334,41.675,42.62,41.01666666666667,44.17142857142856,44.5875,44.46666666666667
28.3,35.4,37.0,44.725,43.24,40.86666666666666,41.82857142857143,42.2875,43.63333333333335
16.5,34.1,41.76666666666667,42.225,39.56,42.88333333333334,43.3,43.9125,44.1
41.9,34.35,41.16666666666667,38.675,41.38,41.38333333333333,43.62857142857144,42.4125,44.07777777777776
27.4,33.9,36.96666666666667,39.4,42.08,46.283333333333324,43.78571428571429,45.15,43.62222222222223
41.3,40.8,41.36666666666667,39.475,46.14,42.03333333333333,44.51428571428573,42.25,43.76666666666667
32.1,34.9,44.73333333333333,40.0,42.38,39.56666666666666,44.028571428571425,44.4625,45.155555555555544
40.9,34.3,41.16666666666666,41.625,40.48,43.88333333333333,43.75714285714285,44.8375,43.677777777777784
38.8,40.45,48.1,42.975,43.7,41.41666666666667,40.714285714285715,43.8125,45.38888888888888
34.5,38.55,43.06666666666666,41.325,42.3,40.6,43.18571428571428,41.375,45.06666666666666
45.9,42.1,38.66666666666667,38.25,42.54,43.86666666666667,42.25714285714285,42.5375,43.9
37.0,34.8,40.63333333333333,40.8,44.14,42.33333333333334,43.01428571428571,43.7,44.14444444444443
31.9,40.2,38.63333333333333,41.475,43.5,42.28333333333333,45.914285714285725,42.575,43.63333333333334
37.3,38.5,41.73333333333334,41.225,43.32,44.98333333333333,41.17142857142857,42.625,43.911111111111104
32.5,41.1,41.2,40.775,42.4,42.68333333333334,42.442857142857136,42.3125,45.088888888888896
30.4,41.2,43.53333333333333,37.675,44.04,42.099999999999994,42.17142857142857,42.95,44.85555555555557
22.5,40.25,35.4,41.675,40.66,44.76666666666667,43.942857142857136,44.1125,44.96666666666667
32.8,42.8,39.36666666666667,37.35,39.48,40.166666666666664,43.528571428571425,41.75,44.23333333333334
38.1,39.9,38.400000000000006,44.325,42.82,40.56666666666667,43.17142857142857,43.1,46.62222222222222
49.0,27.05,35.666666666666664,42.175,40.78,41.63333333333333,44.9,44.1125,43.422222222222224
26.0,46.3,38.03333333333333,37.2,41.22,44.25000000000001,43.257142857142846,44.1875,42.94444444444444
35.3,40.65,42.73333333333333,38.125,40.9,43.54999999999999,41.17142857142857,42.9125,44.32222222222221
28.8,34.35,37.3,45.85,40.64,40.93333333333334,44.02857142857143,44.6125,44.288888888888884
30.8,33.8,35.93333333333333,34.75,38.78,41.58333333333334,43.74285714285715,42.525,43.588888888888874
46.7,37.7,42.46666666666667,42.25,43.28,40.83333333333333,43.514285714285705,42.4625,44.355555555555554
37.1,48.2,35.4,40.875,41.84,41.38333333333334,43.57142857142858,43.5625,43.17777777777778
25.1,33.3,40.9,43.225,43.12,41.26666666666666,43.4,41.6875,46.122222222222206
32.7,42.8,41.43333333333333,44.65,39.78,44.21666666666666,43.642857142857146,41.9625,44.72222222222223
20.0,30.25,37.7,39.2,43.38,43.4,42.285714285714285,42.6125,44.97777777777779
40.3,45.7,36.36666666666667,42.025,42.28,43.18333333333335,43.47142857142857,43.2125,43.25555555555556
