n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
57.8,74.0,77.8,81.675,85.64,86.55000000000001,87.72857142857141,86.2625,86.0777777777778
54.0,72.2,71.63333333333333,78.125,80.24,84.48333333333333,85.15714285714289,84.4875,85.84444444444443
65.6,67.25,75.13333333333334,79.625,80.8,82.33333333333331,85.05714285714288,84.825,86.54444444444445
63.2,67.7,75.93333333333332,76.55,81.46,85.36666666666666,83.78571428571428,85.425,86.03333333333335
51.1,67.1,73.13333333333333,79.525,81.8,84.25,85.11428571428573,85.3875,86.28888888888886
60.3,69.9,73.2,79.675,80.98,84.2,84.24285714285712,84.7125,87.18888888888888
60.8,64.7,75.10000000000001,75.975,83.98,84.95,84.42857142857143,85.825,86.35555555555555
57.8,70.95,78.63333333333334,75.825,82.28,82.06666666666668,85.00000000000001,85.2875,86.07777777777775
65.6,68.45,79.3,76.45,82.08,85.2,84.48571428571428,85.1125,87.2888888888889
53.2,69.5,75.03333333333333,76.025,83.72,83.50000000000001,87.12857142857142,85.6875,86.84444444444443
