n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
18.4,47.85,41.23333333333333,39.525,41.38,40.88333333333333,20.15714285714286,20.525,21.888888888888886
39.0,17.55,34.66666666666667,20.25,23.4,45.23333333333335,23.5,44.0,22.01111111111111
27.7,16.7,41.2,27.025,20.08,19.7,21.728571428571428,44.6875,21.677777777777777
34.5,40.0,41.5,35.525,41.08,20.6,40.51428571428571,22.0625,22.844444444444445
26.0,27.45,45.23333333333333,40.475,20.54,41.45,21.800000000000004,42.85,21.199999999999996
16.5,38.1,18.7,19.675,22.84,41.33333333333333,21.15714285714286,42.8625,43.35555555555557
38.5,14.15,41.7,19.85,20.16,42.400000000000006,21.157142857142855,22.225,22.14444444444444
18.7,37.6,39.43333333333334,41.7,21.0,21.16666666666667,41.72857142857143,21.85,21.977777777777778
37.0,17.85,44.599999999999994,20.475,19.58,23.48333333333333,43.72857142857142,23.1,44.788888888888884
21.4,36.0,41.63333333333334,21.05,19.76,21.383333333333336,39.94285714285714,45.025,43.91111111111111
22.4,35.85,19.099999999999998,40.8,20.74,42.75000000000001,21.08571428571428,21.7125,21.477777777777778
31.2,19.45,23.16666666666667,21.875,20.5,20.983333333333334,19.75714285714286,41.375,21.41111111111111
24.2,39.55,20.9,22.6,41.06,21.999999999999996,20.385714285714286,21.1875,22.36666666666667
34.6,34.2,21.333333333333336,21.375,24.52,23.96666666666667,22.328571428571426,21.825,21.07777777777778
34.4,38.7,39.6,20.425,41.58,41.85,41.64285714285715,20.7,21.711111111111112
33.6,20.95,22.399999999999995,20.975,19.16,20.03333333333333,21.185714285714283,20.9375,22.844444444444445
26.7,17.8,38.96666666666667,22.5,20.68,40.916666666666664,42.08571428571428,44.2,21.399999999999995
39.1,35.65,20.099999999999998,38.525,18.9,41.13333333333333,22.085714285714285,44.65,45.355555555555554
26.9,20.9,22.899999999999995,23.0,23.1,23.85,22.671428571428567,44.025,21.57777777777778
47.2,20.4,43.03333333333334,19.65,24.06,42.7,20.642857142857142,42.2625,22.177777777777777
26.6,21.0,38.36666666666667,23.975,40.52,40.5,20.142857142857142,22.05,22.099999999999994
45.7,15.85,21.26666666666667,19.525,24.54,40.43333333333333,42.94285714285715,23.3,45.67777777777778
19.9,18.0,26.200000000000003,41.075,40.26,19.950000000000003,41.24285714285715,21.9375,21.78888888888889
39.0,12.3,41.86666666666667,21.2,40.44,20.999999999999996,42.31428571428572,22.175,23.21111111111111
45.9,23.85,18.1,24.7,41.38,24.283333333333335,22.78571428571428,21.8625,22.677777777777777
27.1,44.2,41.93333333333333,39.4,21.28,38.66666666666667,21.242857142857137,20.925,22.522222222222226
40.1,24.7,20.166666666666668,22.9,44.74,41.25,20.628571428571426,42.275,43.20000000000001
16.6,20.75,20.133333333333333,24.225,22.54,21.383333333333336,23.04285714285714,44.15,44.3
27.0,39.45,37.83333333333333,40.05,22.7,43.35000000000001,21.57142857142857,22.1375,43.75555555555556
28.6,23.25,21.533333333333335,18.275,18.92,40.61666666666667,41.857142857142854,44.95,23.09999999999999
32.8,36.0,23.266666666666666,42.75,22.86,43.80000000000001,20.357142857142858,20.8875,21.633333333333336
38.2,27.6,37.56666666666666,42.825,43.2,40.43333333333334,21.84285714285714,22.175,21.611111111111107
22.4,42.35,39.3,43.15,47.24,21.466666666666665,23.685714285714283,22.8,23.07777777777778
20.1,29.0,41.70000000000001,18.775,40.56,39.81666666666667,19.499999999999996,21.475,22.255555555555553
28.3,18.4,19.266666666666662,36.65,22.36,20.95,43.85714285714286,22.5,22.177777777777777
19.0,18.5,40.53333333333334,19.975,21.6,46.466666666666676,42.02857142857143,43.325,22.666666666666664
39.7,22.5,22.5,40.625,21.42,19.616666666666664,20.18571428571429,40.45,22.322222222222223
29.9,22.5,40.16666666666666,43.75,22.9,42.78333333333334,22.34285714285714,22.0375,22.611111111111114
24.9,16.25,22.03333333333333,19.35,44.44,40.849999999999994,23.228571428571428,21.575,43.68888888888889
17.6,35.3,34.266666666666666,35.25,22.86,21.533333333333335,22.65714285714286,40.8625,43.15555555555556
