n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
54.8,67.15,70.96666666666668,74.65,80.26,80.73333333333333,82.37142857142857,84.175,85.33333333333331
54.4,64.75,74.8,75.6,80.52,82.33333333333334,82.2,84.2,86.07777777777777
68.4,71.25,69.49999999999999,74.575,78.94,80.78333333333333,82.91428571428571,84.7625,85.93333333333332
55.7,69.25,74.43333333333334,75.2,80.44,83.73333333333332,83.67142857142859,84.6875,86.17777777777778
51.7,69.05,68.53333333333333,77.325,80.28,79.93333333333334,82.12857142857143,83.9375,86.30000000000001
75.4,69.65,75.46666666666667,77.425,78.8,80.83333333333334,82.47142857142859,83.375,85.54444444444444
66.2,67.75,73.3,74.675,80.02,77.9,81.67142857142856,83.975,86.56666666666665
66.9,70.3,73.36666666666666,73.575,79.64,82.18333333333334,81.49999999999999,82.6125,86.27777777777776
63.3,64.05,72.96666666666667,74.975,82.96,82.5,81.87142857142857,85.0125,86.7888888888889
49.6,67.55,75.66666666666667,73.2,82.06,83.06666666666668,84.45714285714284,84.05,86.25555555555555
62.5,73.75,72.23333333333333,77.05,81.14,82.23333333333333,82.5142857142857,83.125,86.44444444444443
56.0,69.85,71.56666666666666,74.775,81.7,82.21666666666668,82.90000000000002,83.325,85.44444444444443
66.5,70.7,74.8,76.575,80.6,82.86666666666666,83.74285714285716,85.9375,85.91111111111111
57.4,66.1,69.26666666666667,72.375,81.2,82.75000000000001,82.82857142857141,84.6875,86.23333333333332
55.3,70.0,73.39999999999998,76.55,78.66,82.60000000000002,82.77142857142857,85.35,85.7111111111111
55.5,71.35,72.3,75.525,81.2,80.15,82.12857142857143,84.7375,85.33333333333331
67.7,64.3,75.66666666666669,77.725,82.78,80.78333333333335,81.82857142857142,83.0625,84.84444444444443
63.3,70.45,74.46666666666668,74.15,78.88,80.73333333333333,83.24285714285716,82.9375,85.92222222222223
52.8,64.35,76.2,77.45,85.14,80.78333333333333,84.45714285714284,84.4875,86.20000000000002
55.6,66.45,71.00000000000001,72.925,78.9,82.2,83.08571428571429,83.45,85.6111111111111
53.9,71.85,72.33333333333333,76.55,78.06,82.01666666666667,82.84285714285714,84.1125,86.3777777777778
58.7,67.8,73.43333333333334,79.35,82.22,83.26666666666667,82.37142857142857,83.3,85.55555555555557
55.9,70.0,74.1,77.9,80.72,80.46666666666665,81.4,83.65,85.61111111111111
53.4,70.75,70.63333333333333,72.95,79.82,82.16666666666666,81.85714285714285,85.625,85.47777777777779
52.9,65.7,71.06666666666668,74.075,78.62,84.93333333333335,82.65714285714286,82.4625,85.88888888888889
57.1,65.3,74.6,75.975,78.04,81.45,82.72857142857146,82.7875,85.77777777777779
60.8,71.5,71.13333333333333,71.95,80.56,81.65,82.62857142857142,83.275,86.7333333333333
68.0,62.0,69.3,79.725,80.34,82.25,83.75714285714287,84.8,86.41111111111111
57.4,68.7,73.93333333333334,79.45,81.16,82.28333333333335,83.42857142857143,84.55,86.63333333333334
58.1,64.4,73.23333333333333,74.5,81.08,81.51666666666667,84.01428571428572,84.1125,85.12222222222222
54.2,68.2,69.86666666666666,78.125,82.86,82.84999999999998,85.0142857142857,84.2,87.25555555555556
60.2,65.25,70.6,75.9,78.48,82.36666666666667,82.87142857142858,85.475,85.9222222222222
61.1,65.6,79.33333333333334,74.4,82.96,82.26666666666667,82.54285714285716,84.075,85.18888888888888
59.6,62.05,68.83333333333333,78.925,82.06,82.53333333333335,83.5142857142857,82.725,85.68888888888891
67.0,67.85,74.96666666666665,75.825,81.26,81.31666666666668,83.54285714285716,84.625,86.05555555555554
50.9,69.6,70.00000000000001,76.725,81.4,83.16666666666669,82.58571428571429,84.9875,86.73333333333333
58.7,68.6,72.26666666666667,76.125,80.8,83.75,81.91428571428571,85.7625,86.29999999999998
68.6,66.9,70.46666666666667,73.525,80.86,80.38333333333333,81.71428571428572,84.05,85.79999999999998
60.5,68.5,71.03333333333333,77.05,77.76,81.75,83.0,82.2125,84.73333333333333
56.7,67.25,70.86666666666667,78.425,82.8,80.15,80.67142857142859,83.75,86.26666666666667
