n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
48.7,60.35,59.6,62.25,65.96,68.5,67.82857142857144,69.65,70.72222222222221
46.3,56.45,54.26666666666666,63.0,67.86,68.63333333333333,68.64285714285714,69.95,70.21111111111111
60.0,63.25,56.06666666666667,59.85,63.9,66.41666666666667,68.95714285714286,67.1875,70.44444444444444
46.0,53.9,59.1,60.125,65.66,64.7,65.57142857142856,70.6625,70.96666666666665
48.0,54.65,58.56666666666667,63.875,65.98,68.71666666666667,65.28571428571428,69.0625,70.41111111111111
41.9,58.95,59.5,59.75,62.96,66.38333333333333,65.84285714285714,66.55,71.2
40.0,59.05,59.63333333333333,61.6,65.04,67.16666666666669,62.614285714285714,66.8875,70.67777777777778
47.8,56.65,61.26666666666667,57.775,65.34,65.01666666666667,68.08571428571429,67.35,69.94444444444446
35.0,54.7,59.56666666666666,61.45,63.28,65.6,66.18571428571428,67.8375,70.77777777777777
55.9,57.45,57.33333333333332,57.8,60.0,66.26666666666667,65.6,67.275,68.97777777777779
